Rank,Team,Conf,Wins,Losses,AdjEM,AdjO,AdjO Rank,AdjD,AdjD Rank,AdjT,AdjT Rank,Luck,Luck Rank,OppAdjEM,OppAdjEM Rank,OppO,OppO Rank,OppD,OppD Rank,NCSOS AdjEM,NCSOS AdjEM Rank
109,Eastern Washington,BSky,17,13,+5.29,102.9,155,97.6,81,67.9,123,-.031,250,+0.29,147,101.4,187,101.1,108,+3.78,64
110,George Washington,A10,12,17,+5.18,107.2,83,102.1,163,68.6,96,-.078,302,+5.12,79,104.0,112,98.9,64,+2.41,97
111,Drexel,CAA,18,12,+5.02,101.7,173,96.7,65,67.6,138,+.013,129,+0.22,150,101.3,193,101.0,106,+4.16,61
112,Rice,WAC,17,10,+4.73,105.8,102,101.1,144,69.2,73,+.063,40,+0.02,152,101.0,201,101.0,105,-0.22,158
113,West Virginia,BE,14,15,+4.71,104.7,120,99.9,126,65.0,253,+.055,49,+7.74,45,106.0,52,98.3,46,-3.49,238
114,South Florida,CUSA,14,14,+4.49,101.3,184,96.8,67,67.9,124,+.007,143,+4.25,90,104.0,113,99.8,84,+1.29,125
115,Hawaii,WAC,19,12,+4.33,102.9,156,98.5,95,65.8,213,+.057,45,+1.30,132,103.4,135,102.1,138,-1.42,187
116,Rhode Island,A10,19,12,+4.33,101.6,176,97.3,75,68.5,100,+.112,7,+3.30,102,104.4,101,101.1,107,+0.91,132
117,George Mason,CAA,16,12,+4.26,98.1,241,93.8,27,64.9,262,-.022,222,-1.20,178,100.9,204,102.1,143,+3.68,68
118,San Francisco,WCC,14,14,+4.19,109.1,55,104.9,219,63.2,293,-.020,215,+2.16,120,103.0,146,100.8,101,+3.15,84
119,UC Irvine,BW,19,9,+4.10,103.6,137,99.5,115,65.5,237,+.077,23,-2.03,196,100.9,208,102.9,180,+2.39,98
120,College of Charleston,SC,23,8,+4.08,102.5,159,98.4,92,67.1,161,+.079,22,-2.83,214,101.3,192,104.1,231,-0.12,156
121,VCU,CAA,18,10,+4.06,103.4,144,99.3,111,69.1,78,-.009,189,-4.26,240,98.7,267,103.0,182,-6.63,297
122,Siena,MAAC,21,11,+3.89,105.3,110,101.4,150,68.9,83,-.013,199,-2.78,213,100.7,211,103.5,207,-2.16,208
123,Tennessee Tech,OVC,17,12,+3.86,102.8,157,99.0,106,68.7,87,-.016,207,-2.01,194,102.7,153,104.7,262,+5.90,41
124,Loyola Chicago,Horz,15,16,+3.85,105.7,103,101.9,159,70.1,52,-.015,204,+2.80,111,104.5,98,101.6,124,+4.20,60
125,Boston University,AE,20,11,+3.64,102.4,161,98.7,100,64.4,274,+.013,133,-3.75,232,99.6,239,103.4,200,+5.48,48
126,Middle Tennessee St.,SB,14,14,+3.36,103.8,133,100.5,131,66.0,206,-.006,180,+1.85,125,103.3,136,101.5,118,+1.07,129
127,Chattanooga,SC,19,9,+3.34,110.6,36,107.3,258,69.2,72,+.034,83,-3.70,230,100.6,216,104.3,239,+1.78,114
128,Oregon St.,P10,12,15,+3.21,100.7,196,97.5,79,66.9,172,+.006,146,+5.54,72,104.9,78,99.4,72,-6.57,295
129,UCF,ASun,20,11,+3.18,102.9,154,99.7,118,65.4,239,-.032,255,-5.67,262,99.7,237,105.3,280,-4.35,261
130,Washington,P10,10,17,+3.12,102.6,158,99.4,112,70.1,51,-.057,287,+6.39,65,105.8,61,99.4,71,-1.70,194
131,Wichita St.,MVC,18,12,+3.05,107.7,76,104.6,207,67.7,129,+.050,55,+0.07,151,101.7,184,101.6,122,-6.53,294
132,Toledo,MAC,13,16,+3.03,103.6,139,100.6,133,67.2,154,-.043,272,+2.62,113,104.7,85,102.0,137,+5.44,49
133,Princeton,Ivy,15,11,+2.99,109.2,54,106.2,241,59.9,319,-.027,235,-1.98,192,99.8,234,101.7,128,+3.33,80
134,Arkansas,SEC,9,19,+2.95,98.0,243,95.1,46,65.8,211,-.038,266,+10.25,11,107.4,8,97.2,15,+0.58,141
135,Austin Peay,OVC,20,8,+2.65,100.7,197,98.0,86,64.4,273,+.171,1,-0.97,170,104.2,108,105.2,279,+7.41,27
136,Denver,SB,17,15,+2.53,102.4,162,99.8,121,67.3,153,-.027,232,-0.56,161,102.9,150,103.4,202,-3.69,244
137,Northern Illinois,MAC,17,14,+2.52,104.6,123,102.1,162,64.8,264,+.050,54,+1.28,133,103.8,120,102.5,158,+3.43,75
138,Nebraska,B12,11,18,+2.47,97.4,252,94.9,42,66.6,183,+.014,127,+8.97,25,106.9,25,97.9,32,-1.84,201
139,Miami OH,MAC,12,15,+2.42,101.1,190,98.7,99,56.7,326,-.027,231,+3.14,106,105.8,60,102.7,165,+13.07,4
140,SMU,WAC,17,13,+2.36,103.6,140,101.2,146,68.2,114,+.070,28,+1.45,129,102.7,155,101.3,110,+3.56,70
141,Virginia Tech,BE,11,18,+2.34,106.3,97,104.0,191,66.8,176,-.044,274,+6.28,66,105.6,64,99.3,68,-3.47,237
142,Saint Mary's,WCC,14,15,+2.18,98.5,232,96.3,62,65.6,230,-.045,275,+0.42,146,102.8,151,102.4,153,-1.56,192
143,Davidson,SC,14,10,+2.18,103.2,148,101.0,143,70.3,48,+.004,154,-2.28,204,101.0,200,103.3,197,+11.96,9
144,Stephen F. Austin,Slnd,19,8,+2.14,105.6,104,103.5,189,62.6,300,+.003,155,-8.51,293,96.6,306,105.1,278,-5.37,283
145,Bradley,MVC,12,18,+1.95,103.1,152,101.2,145,68.6,93,-.125,325,+1.11,137,104.0,115,102.8,176,+1.41,122
146,American,Pat,16,14,+1.95,103.6,141,101.6,153,62.9,297,-.101,314,-5.66,261,98.0,281,103.7,208,-2.26,212
147,East Tennessee St.,SC,17,11,+1.75,101.3,186,99.6,116,75.2,3,+.036,76,-1.80,188,102.1,169,103.9,219,+4.80,57
148,Pepperdine,WCC,15,13,+1.69,110.2,42,108.5,279,70.8,35,+.042,69,+1.33,131,102.9,148,101.6,123,+1.19,127
149,Arkansas Little Rock,SB,16,12,+1.63,102.3,163,100.7,138,66.1,205,+.035,81,-0.50,160,102.0,174,102.5,157,-3.58,241
150,Vermont,AE,19,11,+1.57,101.1,191,99.5,114,64.4,271,+.019,119,-5.13,251,99.3,249,104.4,245,-2.29,213
151,Morehead St.,OVC,17,9,+1.53,109.6,47,108.1,272,67.6,136,+.048,64,-3.68,229,101.9,179,105.6,286,+1.84,111
152,Air Force,MWC,12,16,+1.27,105.2,111,104.0,192,52.9,327,-.073,299,+1.98,123,104.1,111,102.1,141,-6.09,290
153,Oral Roberts,MCon,17,10,+1.21,104.6,121,103.4,188,68.1,116,-.030,243,-6.92,274,100.3,227,107.2,310,-5.13,274
154,Fairfield,MAAC,19,12,+0.94,99.2,220,98.2,89,69.2,77,+.082,17,-1.34,179,102.1,172,103.4,201,+1.77,115
155,Yale,Ivy,13,13,+0.85,100.1,206,99.2,108,68.7,90,-.038,267,-1.02,174,100.9,203,101.9,132,+5.21,51
156,South Alabama,SB,12,14,+0.85,105.4,108,104.6,204,65.7,224,-.001,166,+2.51,114,103.9,119,101.4,112,+3.10,85
157,Sam Houston St.,Slnd,21,7,+0.82,101.5,179,100.6,136,67.2,158,+.088,13,-7.41,280,97.0,296,104.5,246,-2.00,204
158,Brown,Ivy,17,12,+0.76,105.6,105,104.8,215,70.6,41,+.042,70,-2.43,208,100.7,214,103.1,190,-0.20,157
159,Iona,MAAC,17,12,+0.55,102.2,165,101.7,154,69.0,82,-.033,257,-4.38,241,100.7,213,105.1,275,-3.76,248
160,Arkansas St.,SB,11,15,+0.48,107.7,77,107.2,256,66.5,185,-.101,318,-0.48,158,101.6,185,102.1,144,-4.54,264
161,IUPUI,MCon,19,14,+0.46,102.9,153,102.5,171,67.0,164,+.071,27,-2.19,201,102.6,156,104.8,265,+2.78,90
162,Old Dominion,CAA,12,15,+0.30,99.2,219,98.9,103,66.6,182,-.113,320,-2.21,203,100.0,232,102.2,149,-1.40,186
163,La Salle,A10,12,17,+0.27,102.4,160,102.1,164,67.6,137,+.001,165,+3.99,92,104.3,105,100.3,92,-0.34,160
164,East Carolina,CUSA,10,15,+0.22,99.3,216,99.1,107,65.2,249,-.018,210,+5.63,71,105.0,73,99.4,73,-5.50,286
165,Belmont,ASun,17,12,+0.18,103.2,149,103.0,180,67.2,155,+.020,118,-3.18,222,101.2,196,104.4,240,+5.99,40
166,Southern Miss,CUSA,13,16,+0.16,98.9,224,98.8,101,67.4,147,+.049,60,+3.63,98,103.4,133,99.8,83,-1.79,197
167,Northwestern,B10,12,17,+0.05,105.0,117,104.9,218,60.4,317,-.003,169,+4.99,82,104.7,84,99.7,82,-11.03,319
168,Ohio,MAC,14,16,-0.22,104.5,124,104.7,212,65.6,229,+.090,12,+3.25,104,105.3,67,102.1,139,+10.45,17
169,Ball St.,MAC,13,17,-0.35,106.5,94,106.8,251,70.1,54,+.012,135,+2.41,116,104.2,106,101.8,129,+5.76,45
170,TCU,CUSA,9,19,-0.41,106.0,99,106.5,243,71.3,27,-.027,237,+4.82,85,104.1,110,99.3,69,+0.43,146
171,Delaware,CAA,15,14,-0.43,99.5,212,99.9,125,69.0,79,+.007,144,-0.97,171,100.5,220,101.5,116,+0.47,143
172,New Orleans,SB,13,14,-0.49,101.7,175,102.2,167,66.3,193,+.005,150,-0.03,154,102.5,160,102.5,156,-3.24,230
173,Appalachian St.,SC,16,10,-0.69,103.5,142,104.2,199,76.1,1,+.081,19,-3.51,224,100.7,215,104.2,234,+3.37,77
174,Marshall,MAC,13,15,-0.77,102.2,166,102.9,178,67.5,143,-.027,236,-0.61,162,103.4,131,104.0,224,-2.90,223
175,Mercer,ASun,22,6,-0.84,106.4,95,107.3,257,69.5,65,+.170,2,-9.07,299,96.5,308,105.5,283,-12.14,321
176,Pacific,BW,12,16,-0.86,99.9,207,100.8,139,66.3,191,-.066,296,-1.06,175,101.6,186,102.7,166,+3.27,82
177,Niagara,MAAC,17,12,-0.90,109.5,50,110.4,296,66.5,184,+.091,11,-1.85,190,100.4,224,102.2,150,+0.23,150
178,Akron,MAC,14,14,-0.92,110.0,44,110.9,302,67.0,168,-.025,230,-1.77,187,102.3,168,104.1,228,-6.51,293
179,Wagner,NEC,21,11,-1.16,104.7,118,105.9,238,67.6,134,+.049,61,-7.45,282,98.9,261,106.3,294,+2.38,100
180,Eastern Illinois,OVC,13,15,-1.29,106.8,89,108.1,273,69.8,62,-.008,187,-0.82,166,103.2,139,104.1,227,+6.02,38
181,Cal Poly,BW,15,14,-1.38,98.4,234,99.7,119,69.2,75,+.045,65,-1.64,183,101.2,194,102.8,175,+0.71,136
182,Evansville,MVC,12,16,-1.55,105.9,101,107.5,263,67.5,141,+.048,63,+3.33,101,104.5,95,101.2,109,+6.65,34
183,Boise St.,WAC,12,16,-1.56,96.0,263,97.5,80,66.7,178,-.032,253,-0.89,167,101.8,180,102.7,167,-4.14,256
184,Bowling Green,MAC,11,16,-1.88,98.7,230,100.6,134,66.1,202,+.050,58,+3.27,103,105.8,62,102.5,155,+8.25,25
185,Oakland,MCon,15,11,-2.07,103.7,136,105.7,231,71.3,25,+.007,142,-6.76,273,100.1,228,106.9,306,-5.00,271
186,Idaho St.,BSky,13,14,-2.21,99.6,208,101.8,158,70.4,46,+.013,131,-2.05,198,100.6,217,102.6,164,-0.43,162
187,New Mexico,MWC,9,18,-2.27,107.7,75,110.0,293,65.6,228,-.023,225,+3.68,97,104.6,87,101.0,104,-4.24,259
188,Louisiana Tech,WAC,10,15,-2.35,101.8,171,104.1,197,67.6,135,+.035,80,+3.04,107,103.3,138,100.2,91,+12.10,8
189,Cal St. Northridge,BW,13,15,-2.53,100.6,198,103.1,183,67.8,126,-.019,213,-2.31,205,100.6,218,102.9,177,-0.95,177
190,Northern Arizona,BSky,13,13,-2.60,99.5,211,102.1,165,68.1,115,+.005,148,-3.70,231,100.7,212,104.4,243,-5.22,278
191,Jacksonville St.,ASun,19,10,-2.72,103.5,143,106.2,240,68.4,102,+.065,38,-7.69,287,98.0,282,105.7,288,-7.68,304
192,UT Arlington,Slnd,14,13,-2.73,97.8,246,100.5,132,62.2,304,+.007,141,-5.69,263,98.0,279,103.7,209,+11.01,14
193,Montana,BSky,12,16,-2.75,104.3,127,107.1,254,66.1,204,-.020,217,-1.12,176,100.8,209,101.9,133,+2.42,96
