Rank,Team,Conf,Wins,Losses,AdjEM,AdjO,AdjO Rank,AdjD,AdjD Rank,AdjT,AdjT Rank,Luck,Luck Rank,OppAdjEM,OppAdjEM Rank,OppO,OppO Rank,OppD,OppD Rank,NCSOS AdjEM,NCSOS AdjEM Rank
1,Kentucky,SEC,32,4,+29.18,116.5,5,87.4,4,67.7,132,+.051,53,+11.20,4,108.6,3,97.4,16,+6.77,33
2,Kansas,B12,30,8,+28.62,115.0,12,86.4,3,72.2,14,-.017,208,+11.84,2,108.7,2,96.8,9,+6.08,35
3,Pittsburgh,BE,28,5,+28.61,114.8,14,86.2,2,64.7,266,-.023,224,+7.07,56,105.5,66,98.4,49,-8.24,310
4,Arizona,P10,28,4,+26.80,115.6,10,88.8,8,72.7,11,-.007,181,+8.69,31,107.2,14,98.5,53,+8.19,26
5,Illinois,B10,25,7,+24.47,113.2,22,88.7,7,67.8,127,-.029,242,+7.29,52,105.8,59,98.5,54,-4.18,257
6,Duke,ACC,26,7,+23.75,115.0,13,91.3,15,70.7,40,-.030,246,+8.85,27,107.1,17,98.3,43,+0.64,138
7,Texas,B12,26,7,+23.49,119.3,3,95.8,58,69.4,67,-.009,188,+10.36,9,107.1,16,96.8,7,+2.16,104
8,Syracuse,BE,30,5,+23.28,114.4,17,91.1,14,71.0,32,+.083,16,+10.32,10,106.6,34,96.3,4,-3.63,242
9,Oklahoma,B12,27,7,+23.01,112.1,25,89.1,10,62.7,299,+.034,84,+9.01,24,106.7,31,97.7,26,-2.32,214
10,Louisville,CUSA,25,7,+22.75,115.8,9,93.0,25,72.5,12,-.029,241,+6.82,61,105.3,69,98.4,50,+5.99,39
11,Florida,SEC,25,8,+22.14,116.5,6,94.4,36,65.0,256,+.008,140,+8.30,36,106.0,55,97.7,24,-0.89,174
12,Wisconsin,B10,24,8,+22.07,114.4,16,92.4,21,61.9,310,-.024,228,+6.46,64,106.1,51,99.6,79,-1.01,179
13,Maryland,ACC,21,10,+22.00,110.9,34,88.9,9,71.5,23,-.078,301,+8.23,38,106.6,35,98.4,47,-5.28,282
14,Mississippi St.,SEC,21,10,+21.53,107.4,79,85.8,1,64.8,263,-.060,290,+8.85,28,106.9,24,98.0,36,-2.62,218
15,Marquette,CUSA,27,6,+21.30,120.5,2,99.2,109,65.7,219,+.070,30,+7.94,42,106.0,54,98.0,35,-1.46,188
16,Georgia,SEC,19,8,+20.93,120.9,1,99.9,124,67.1,159,+.012,136,+12.71,1,108.7,1,96.0,2,+10.85,15
17,Saint Joseph's,A10,23,7,+20.75,109.0,58,88.3,6,64.1,281,-.049,279,+4.61,88,105.0,74,100.4,94,+5.80,43
18,Notre Dame,BE,24,10,+20.31,116.5,7,96.2,60,69.2,74,+.009,139,+11.00,6,107.3,11,96.3,5,+3.78,65
19,Michigan St.,B10,22,13,+20.26,110.1,43,89.9,12,63.6,286,-.050,280,+10.11,13,107.3,12,97.2,14,+3.19,83
20,Xavier,A10,26,6,+19.88,113.8,19,94.0,29,67.7,131,+.018,120,+4.80,86,105.0,76,100.2,89,+4.84,56
21,Wake Forest,ACC,25,6,+19.87,114.5,15,94.6,37,67.7,130,+.073,25,+7.83,44,105.9,58,98.0,37,-3.80,249
22,Connecticut,BE,23,10,+19.54,111.6,26,92.0,17,71.2,29,+.005,152,+8.75,29,107.3,10,98.6,57,-3.47,236
23,LSU,SEC,21,11,+18.15,111.0,33,92.8,24,67.5,140,-.035,262,+6.27,67,104.8,80,98.6,56,-8.36,311
24,BYU,MWC,23,9,+17.68,109.4,52,91.7,16,65.5,234,-.031,247,+5.49,74,107.4,9,101.9,130,+5.20,52
25,Oklahoma St.,B12,22,10,+17.67,105.9,100,88.2,5,66.7,177,+.003,157,+9.08,22,106.3,44,97.2,13,-1.14,183
26,Creighton,MVC,29,5,+17.54,112.4,24,94.9,40,68.4,103,+.026,99,-0.19,155,102.5,159,102.7,168,-0.51,164
27,Purdue,B10,19,11,+17.42,107.0,87,89.6,11,69.3,71,-.012,194,+9.53,17,107.6,6,98.0,38,+4.87,55
28,Missouri,B12,22,11,+17.32,111.5,27,94.2,34,66.9,173,+.043,68,+11.14,5,107.1,18,96.0,1,+2.97,87
29,Memphis,CUSA,23,7,+16.72,110.9,35,94.1,33,68.3,109,+.005,151,+4.84,84,103.4,134,98.5,55,+3.33,81
30,Arizona St.,P10,20,12,+16.49,113.9,18,97.4,78,66.9,169,-.014,201,+8.74,30,106.4,41,97.7,25,+5.44,50
31,Butler,Horz,27,6,+16.09,115.4,11,99.3,110,58.6,325,+.073,24,+4.10,91,104.5,93,100.4,95,+1.83,112
32,Texas Tech,B12,21,13,+15.89,109.3,53,93.4,26,66.2,197,-.027,233,+8.92,26,106.9,26,97.9,33,-2.11,206
33,Gonzaga,WCC,24,9,+15.58,113.2,21,97.7,82,66.9,170,-.021,220,+3.93,93,103.9,116,100.0,87,+5.83,42
34,Colorado,B12,20,12,+15.27,109.1,56,93.8,28,69.9,56,+.001,162,+9.02,23,106.9,23,97.9,30,+0.22,151
35,Georgetown,BE,19,15,+14.91,107.1,86,92.2,19,70.7,38,-.101,317,+7.95,41,105.6,63,97.6,21,-10.72,317
36,Cincinnati,CUSA,17,12,+14.69,105.0,116,90.3,13,66.4,188,-.069,297,+7.35,50,106.6,33,99.3,67,+3.74,67
37,UNC Wilmington,CAA,24,7,+14.62,109.5,49,94.9,43,64.1,279,-.031,248,-2.47,209,99.3,252,101.7,127,-0.81,173
38,Alabama,SEC,17,12,+14.60,110.3,39,95.7,54,65.3,243,-.015,205,+9.55,16,106.6,32,97.1,11,+2.31,102
39,Stanford,P10,24,9,+14.57,109.8,46,95.2,49,65.6,226,+.066,35,+7.26,53,106.2,47,98.9,65,+3.76,66
40,Dayton,A10,24,6,+14.53,116.4,8,101.9,161,64.4,270,+.084,14,+4.93,83,104.4,99,99.5,75,+5.54,47
41,Indiana,B10,21,13,+14.48,113.4,20,98.9,102,63.7,284,+.050,57,+10.49,8,107.3,13,96.8,8,+9.29,20
42,Oregon,P10,23,10,+14.25,111.4,29,97.1,73,71.2,28,+.032,87,+5.24,75,105.0,72,99.8,85,-4.41,262
43,Georgia Tech,ACC,16,15,+14.23,109.1,57,94.8,39,69.0,80,-.092,310,+9.23,20,106.8,28,97.5,19,-1.56,191
44,Utah,MWC,25,8,+14.04,106.6,91,92.6,23,62.1,308,+.069,32,+5.23,76,106.8,27,101.6,120,+1.55,117
45,Providence,BE,18,14,+13.85,108.0,69,94.1,32,67.0,166,-.051,282,+7.91,43,106.1,49,98.2,41,+1.44,121
46,Auburn,SEC,22,12,+13.63,107.7,74,94.1,31,66.6,181,+.051,52,+8.22,39,106.0,53,97.8,27,-4.71,267
47,California,P10,22,9,+13.59,109.9,45,96.3,63,65.9,208,+.061,42,+7.06,57,106.7,30,99.6,81,+0.30,147
48,Penn,Ivy,22,6,+13.35,110.3,41,96.9,68,63.3,290,+.035,82,-1.53,182,100.4,221,102.0,134,+3.49,71
49,Boston College,BE,19,12,+13.30,117.7,4,104.4,203,68.2,112,+.034,85,+8.51,33,106.1,48,97.6,22,+2.55,93
50,North Carolina St.,ACC,18,13,+13.18,111.2,30,98.1,88,65.0,257,-.023,223,+8.48,34,106.9,22,98.4,48,-6.47,292
51,Tulsa,WAC,23,10,+13.04,107.9,70,94.9,41,67.4,150,-.061,291,+1.05,139,102.7,154,101.7,125,+4.16,62
52,Milwaukee,Horz,23,8,+12.97,109.0,60,96.0,59,71.2,31,+.025,101,+2.06,121,104.9,79,102.8,172,+1.05,130
53,Seton Hall,BE,17,13,+12.26,104.6,122,92.3,20,65.7,223,+.022,111,+9.26,19,106.4,43,97.1,12,-0.57,167
54,North Carolina,ACC,19,16,+12.15,107.9,72,95.8,57,68.3,110,+.024,104,+11.23,3,107.4,7,96.2,3,+7.32,28
55,Southern Illinois,MVC,24,7,+11.76,110.3,40,98.6,96,67.8,125,+.063,39,+1.97,124,103.5,129,101.5,119,+3.35,79
56,Western Kentucky,SB,24,9,+11.75,108.0,65,96.3,61,67.2,156,+.035,78,+1.09,138,103.1,143,102.0,136,+2.09,107
57,Villanova,BE,15,16,+11.17,106.6,93,95.4,51,68.8,86,-.059,289,+9.49,18,107.0,20,97.5,20,+7.22,29
58,Tennessee,SEC,17,12,+10.99,108.0,66,97.0,71,64.7,268,+.026,98,+8.54,32,106.4,42,97.8,29,-4.46,263
59,Mississippi,SEC,14,15,+10.89,111.2,31,100.3,130,62.8,298,-.099,313,+7.19,54,103.9,117,96.7,6,-7.96,306
60,Kansas St.,B12,13,17,+10.87,107.9,73,97.0,70,65.7,222,-.154,327,+6.95,59,104.6,90,97.7,23,-4.60,266
61,Michigan,B10,17,13,+10.71,109.0,59,98.3,91,65.1,252,+.024,107,+7.33,51,106.1,50,98.8,59,+1.27,126
62,Illinois Chicago,Horz,21,9,+10.64,110.5,38,99.9,123,68.4,106,+.024,105,+1.02,140,103.6,125,102.5,160,-0.93,176
63,Detroit,Horz,18,12,+10.60,109.6,48,99.0,105,64.4,272,-.089,309,+1.19,134,103.8,121,102.6,162,+0.83,133
64,Iowa St.,B12,16,14,+10.59,106.3,98,95.7,53,66.3,192,-.045,276,+6.18,69,104.5,97,98.3,45,-11.54,320
65,Louisiana Lafayette,SB,19,10,+10.52,107.9,71,97.4,76,69.8,60,-.014,202,+2.75,112,103.4,132,100.6,97,+5.63,46
66,Holy Cross,Pat,25,5,+10.40,105.5,107,95.1,45,65.1,250,+.065,37,-5.57,260,99.0,257,104.6,253,-0.64,170
67,St. John's,BE,21,13,+10.06,105.4,109,95.3,50,67.0,165,+.035,77,+6.76,62,106.3,45,99.5,76,-0.51,163
68,Manhattan,MAAC,23,7,+10.04,105.5,106,95.4,52,68.1,117,+.014,125,-1.71,184,101.7,182,103.4,203,+2.51,94
69,DePaul,CUSA,16,13,+10.04,105.1,115,95.1,47,65.8,214,-.004,173,+6.51,63,105.1,70,98.6,58,+1.93,110
70,Central Michigan,MAC,25,7,+10.01,109.5,51,99.4,113,71.7,20,+.137,3,+2.06,122,104.3,104,102.3,152,+2.87,89
71,UNLV,MWC,21,11,+9.84,108.1,63,98.2,90,70.3,49,+.022,112,+3.16,105,104.6,89,101.4,114,+0.20,152
72,Minnesota,B10,19,14,+9.68,107.4,80,97.7,83,70.7,39,+.018,121,+7.04,58,105.9,56,98.9,62,-2.99,226
73,UAB,CUSA,20,13,+9.45,105.2,113,95.8,56,73.9,4,-.008,185,+3.90,94,103.8,123,99.9,86,-7.02,298
74,Temple,A10,18,16,+9.34,108.0,68,98.6,97,63.2,291,+.028,92,+8.09,40,106.5,37,98.5,51,+12.80,7
75,Ohio St.,B10,17,15,+8.93,103.2,147,94.3,35,64.2,277,+.052,50,+9.62,15,107.1,19,97.4,18,-0.60,168
76,Weber St.,BSky,25,5,+8.88,111.4,28,102.5,172,66.5,186,+.073,26,-1.73,185,100.5,219,102.2,151,+1.29,124
77,Florida St.,ACC,14,15,+8.84,100.9,194,92.0,18,67.5,144,-.052,283,+7.40,48,106.7,29,99.3,70,-5.79,288
78,Iowa,B10,17,14,+8.50,106.4,96,97.9,85,67.1,160,-.018,209,+5.72,70,104.5,94,98.8,61,-5.06,272
79,Saint Louis,CUSA,16,14,+8.34,104.1,131,95.8,55,58.9,323,+.026,100,+7.12,55,105.9,57,98.8,60,+2.93,88
80,San Diego,WCC,17,12,+8.32,104.7,119,96.4,64,70.9,34,+.003,160,+3.37,100,104.8,81,101.4,113,+6.03,37
81,South Carolina,SEC,12,16,+8.31,103.1,150,94.8,38,65.5,235,-.028,239,+9.76,14,108.0,5,98.2,42,+0.29,148
82,Virginia,ACC,16,16,+8.20,108.8,61,100.6,135,68.4,101,+.026,96,+10.13,12,107.2,15,97.0,10,+2.09,108
83,Nevada,WAC,17,14,+8.19,108.0,64,99.9,122,68.8,85,-.097,311,+2.29,118,103.2,141,100.9,102,+4.98,53
84,St. Bonaventure,A10,13,14,+8.07,112.8,23,104.8,213,71.3,24,-.070,298,+5.51,73,105.1,71,99.6,77,+6.97,32
85,Southwest Missouri St.,MVC,17,12,+8.04,100.6,199,92.5,22,63.5,287,-.075,300,-0.01,153,103.9,118,103.9,217,-1.55,190
86,Western Michigan,MAC,20,11,+7.66,101.7,174,94.0,30,65.3,242,+.015,124,+1.19,135,104.5,91,103.3,198,+2.71,91
87,New Mexico St.,SB,19,9,+7.51,107.7,78,100.2,128,67.2,157,-.005,177,-0.93,169,102.0,178,102.9,178,-7.35,300
88,Utah St.,BW,22,9,+7.41,107.1,85,99.7,117,61.0,315,+.003,159,-2.00,193,101.1,198,103.1,188,-0.07,155
89,Texas A&M,B12,14,14,+6.97,104.4,126,97.4,77,70.4,44,+.022,113,+7.68,46,106.2,46,98.5,52,-5.28,280
90,Vanderbilt,SEC,11,18,+6.78,103.7,135,96.9,69,69.3,68,-.049,278,+10.95,7,108.4,4,97.4,17,-1.36,185
91,USC,P10,13,17,+6.74,105.2,114,98.4,93,73.3,5,-.055,284,+7.38,49,106.6,36,99.2,66,+0.12,154
92,San Diego St.,MWC,15,13,+6.69,108.0,67,101.3,149,66.9,171,-.023,226,+3.60,99,104.4,100,100.8,100,-3.20,228
93,Valparaiso,MCon,20,11,+6.66,103.7,134,97.1,72,65.8,215,+.021,116,-1.51,181,102.6,158,104.1,232,+8.69,22
94,Kent St.,MAC,20,10,+6.51,111.2,32,104.7,210,66.7,179,+.023,110,+0.52,144,103.6,124,103.1,187,+3.36,78
95,UC Santa Barbara,BW,18,14,+6.46,104.2,129,97.7,84,61.4,314,-.080,304,-0.90,168,102.1,173,103.0,181,+3.39,76
96,Wyoming,MWC,21,11,+6.34,108.5,62,102.2,168,68.0,121,+.081,21,+3.04,109,103.8,122,100.8,99,-2.52,216
97,Richmond,A10,15,14,+6.28,101.4,180,95.2,48,62.1,306,-.037,264,+3.77,95,104.5,96,100.7,98,+0.67,137
98,Fresno St.,WAC,20,8,+6.26,105.2,112,98.9,104,65.7,221,+.061,43,-0.82,165,101.3,191,102.1,146,-1.87,202
99,Troy St.,ASun,25,6,+6.15,106.9,88,100.8,140,70.3,47,+.105,9,-5.20,253,99.3,250,104.5,248,-2.77,222
100,Miami FL,BE,11,17,+6.10,103.3,146,97.2,74,65.8,212,-.118,324,+6.88,60,104.8,82,97.9,31,-3.73,246
101,Rutgers,BE,12,16,+6.01,100.9,193,94.9,44,68.7,91,-.041,270,+8.36,35,106.4,40,98.1,39,-5.21,277
102,Baylor,B12,14,14,+5.97,106.6,92,100.7,137,65.6,225,-.006,178,+5.20,77,103.5,130,98.3,44,-12.74,324
103,Charlotte,CUSA,13,16,+5.97,104.5,125,98.5,94,65.8,217,-.007,182,+7.58,47,105.6,65,98.0,34,+4.64,58
104,Colorado St.,MWC,17,14,+5.96,110.6,37,104.6,205,67.1,162,+.031,88,+4.39,89,104.7,83,100.3,93,-3.45,235
105,Clemson,ACC,15,13,+5.75,107.3,82,101.6,152,63.6,285,+.026,94,+5.06,80,104.0,114,98.9,63,-12.27,323
106,Murray St.,OVC,15,12,+5.53,107.3,81,101.8,157,65.5,233,-.082,306,-1.81,189,102.8,152,104.6,256,+7.12,31
107,UCLA,P10,10,19,+5.46,107.2,84,101.7,156,69.3,69,-.065,294,+9.15,21,107.0,21,97.8,28,+4.89,54
108,Tulane,CUSA,15,15,+5.36,106.8,90,101.4,151,65.5,236,-.064,293,+3.04,108,102.4,162,99.4,74,-2.33,215
