School,G,SRS,SOS,Tm.,Opp.,MP,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Air Force,32,4.18,4.28,2241,2170,1285,764,1702,.449,224,703,.319,418,621,.673,325,1053,458,180,100,412,530,795,1690,.470,272,712,.382,379,531,.714,240,889,508,206,55,380,557
Akron,33,8.11,0.18,2369,2071,1340,723,1831,.395,176,544,.324,449,629,.714,358,1060,358,229,96,449,621,852,1874,.455,229,689,.332,436,678,.643,425,1145,485,231,189,458,577
Alabama A&M,31,-18.40,-9.82,1957,2160,1255,783,1753,.447,163,466,.350,431,653,.660,337,1124,390,228,106,384,558,696,1746,.399,155,528,.294,410,651,.630,377,992,367,182,102,444,550
Alabama-Birmingham,33,0.26,1.51,2357,2351,1325,816,1848,.442,215,604,.356,504,718,.702,353,1155,446,276,127,527,543,857,1980,.433,219,655,.334,424,586,.724,408,1078,529,269,85,510,621
Alabama State,32,-17.88,-9.01,1979,2231,1290,780,1808,.431,215,619,.347,456,685,.666,392,1170,428,254,103,428,530,734,1800,.408,168,557,.302,343,575,.597,398,1025,371,202,103,479,598
Alabama,36,9.79,5.93,2268,2102,1455,750,1853,.405,184,597,.308,418,602,.694,393,1202,361,202,135,521,592,808,1887,.428,197,588,.335,455,648,.702,381,1051,380,294,160,451,619
Albany (NY),35,-0.87,-4.53,2251,2123,1405,787,1848,.426,212,640,.331,337,514,.656,324,1069,367,212,119,438,666,761,1748,.435,213,575,.370,516,700,.737,345,1022,394,192,71,468,564
Alcorn State,34,-14.26,-7.11,2055,2248,1366,740,1876,.394,189,609,.310,579,878,.659,421,1236,367,231,120,447,604,726,1888,.385,165,562,.294,438,705,.621,342,1025,308,221,130,512,677
American,30,-8.56,-2.53,1735,1916,1215,695,1576,.441,228,555,.411,298,439,.679,260,937,416,195,111,281,469,616,1491,.413,177,489,.362,326,460,.709,270,885,348,101,75,364,431
Appalachian State,31,-7.91,-5.77,2211,2221,1270,814,1781,.457,172,523,.329,421,608,.692,322,1084,408,229,105,423,580,777,1781,.436,201,560,.359,456,662,.689,352,986,356,212,119,420,575
Arizona State,35,8.86,4.60,2512,2363,1425,861,2098,.410,227,673,.337,414,559,.741,396,1251,449,241,116,434,669,902,1964,.459,250,722,.346,458,706,.649,338,1168,497,222,211,445,553
Arizona,35,17.30,7.47,2570,2226,1405,784,1909,.411,211,589,.358,447,629,.711,321,1051,386,215,112,465,624,880,1933,.455,269,725,.371,541,722,.749,393,1172,476,234,134,458,584
Little Rock,32,-4.36,-2.23,2127,2132,1280,718,1701,.422,198,595,.333,498,721,.691,352,1119,366,208,90,522,666,732,1736,.422,162,481,.337,501,741,.676,361,977,372,215,121,488,632
