School,G,SRS,SOS,Tm.,Opp.,MP,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Air Force,31,-4.90,3.13,1773,1957,1240,665,1474,.451,225,648,.347,402,590,.681,276,966,398,180,87,365,518,632,1428,.443,176,562,.313,333,524,.635,220,851,389,155,51,394,547
Akron,35,2.82,-1.50,2472,2293,1430,787,1887,.417,177,553,.320,542,764,.709,401,1188,377,239,88,496,670,877,2024,.433,235,694,.339,483,735,.657,467,1269,473,213,114,464,682
Alabama A&M,27,-20.19,-13.71,1778,1881,1085,666,1570,.424,140,448,.313,409,653,.626,408,1141,378,225,136,511,561,599,1568,.382,108,371,.291,472,743,.635,376,1004,288,249,143,444,550
Alabama-Birmingham,34,9.46,2.90,2276,2053,1370,713,1752,.407,156,498,.313,471,658,.716,325,1082,344,225,137,476,689,763,1806,.422,177,569,.311,573,826,.694,420,1248,390,223,91,451,611
Alabama State,31,-14.41,-12.02,1998,2043,1245,692,1591,.435,150,430,.349,509,762,.668,321,1046,340,247,109,486,646,667,1651,.404,190,587,.324,474,739,.641,400,1101,400,228,129,501,634
Alabama,32,10.34,6.62,2192,2073,1280,736,1734,.424,181,570,.318,420,633,.664,384,1102,358,186,131,446,533,791,1794,.441,175,500,.350,435,615,.707,386,1126,429,249,127,410,583
Albany (NY),32,-11.94,-5.53,2007,2212,1290,778,1788,.435,222,609,.365,434,628,.691,355,1065,433,260,129,392,536,710,1736,.409,194,585,.332,393,545,.721,399,1156,380,187,97,517,602
Alcorn State,31,-30.36,-9.00,1880,2542,1245,888,1912,.464,223,582,.383,543,855,.635,467,1329,566,334,168,488,629,651,1717,.379,135,437,.309,443,725,.611,356,1065,269,214,98,642,670
American,31,-11.47,-6.89,1941,2083,1265,732,1709,.428,169,477,.354,450,664,.678,294,997,387,245,90,297,534,681,1603,.425,184,534,.345,395,571,.692,304,1097,447,109,81,458,590
Appalachian State,37,1.80,-2.76,2766,2567,1490,908,2164,.420,288,840,.343,463,704,.658,382,1134,507,265,96,400,707,954,2006,.476,279,703,.397,579,785,.738,411,1424,447,201,102,544,652
Arizona State,33,13.80,5.83,2202,1938,1320,678,1687,.402,181,571,.317,401,587,.683,345,1056,405,184,81,426,581,743,1645,.452,271,735,.369,445,625,.712,281,1050,461,216,80,392,542
Arizona,31,7.97,8.10,2229,2233,1270,787,1800,.437,180,574,.314,479,689,.695,350,1067,395,181,108,399,621,745,1681,.443,194,542,.358,545,744,.733,302,1062,384,186,78,436,595
Little Rock,30,-10.06,-2.23,2028,2194,1210,751,1703,.441,229,648,.353,463,663,.698,338,1061,453,157,102,359,593,670,1576,.425,185,501,.369,503,720,.699,296,1019,363,141,81,402,597
Arkansas-Pine Bluff NCAA,34,-8.29,-7.68,2166,2187,1380,698,1720,.406,170,528,.322,621,938,.662,321,1086,392,261,149,473,707,725,1778,.408,141,466,.303,575,861,.668,422,1286,421,229,121,569,764
Arkansas State,31,-4.01,-4.39,2160,2065,1250,738,1804,.409,161,550,.293,428,608,.704,354,1072,387,222,100,377,611,768,1721,.446,172,493,.349,452,682,.663,367,1188,406,159,129,430,562
