School,G,SRS,SOS,Tm.,Opp.,MP,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Troy,33,-1.50,-2.11,2475,2408,1330,865,1993,.434,255,748,.341,423,607,.697,354,1202,406,209,84,386,575,848,1930,.439,292,866,.337,487,662,.736,319,1194,435,165,124,408,570
Tulane,31,1.21,2.08,2269,2296,1250,815,1828,.446,215,623,.345,451,632,.714,330,1111,385,214,91,374,571,800,1779,.450,232,663,.350,437,613,.713,294,1068,483,156,126,409,557
Tulsa,31,4.96,2.38,2277,2197,1255,793,1888,.420,282,821,.343,329,478,.688,350,1085,442,197,117,382,625,754,1730,.436,247,710,.348,522,720,.725,346,1177,391,139,68,399,495
UCLA,33,12.07,6.86,2679,2507,1350,891,2105,.423,287,829,.346,438,625,.701,347,1195,451,201,81,351,630,927,2014,.460,310,813,.381,515,715,.720,335,1283,495,184,131,399,592
Utah State,34,2.31,2.65,2489,2466,1365,868,1932,.449,261,726,.360,469,631,.743,300,1143,452,218,97,411,609,865,1904,.454,317,870,.364,442,627,.705,290,1131,474,170,68,441,617
Utah Valley,34,5.08,-1.76,2657,2310,1365,846,2047,.413,231,721,.320,387,554,.699,329,1073,495,251,107,419,648,926,1919,.483,267,692,.386,538,725,.742,351,1297,549,203,140,474,558
Utah,35,11.40,6.40,2571,2396,1410,855,2043,.419,264,786,.336,422,589,.716,360,1211,406,212,105,415,679,876,1903,.460,322,870,.370,497,655,.759,266,1174,532,180,115,414,567
Valparaiso,32,0.63,0.93,2252,2182,1280,732,1739,.421,192,611,.314,526,741,.710,309,1075,406,201,88,450,606,781,1740,.449,213,623,.342,477,674,.708,294,1115,399,235,105,469,679
Vanderbilt,32,8.52,10.14,2316,2368,1290,841,1806,.466,210,562,.374,476,660,.721,293,1065,393,155,133,316,572,775,1775,.437,289,819,.353,477,642,.743,311,1081,392,154,108,379,632
Vermont,35,4.89,-3.17,2587,2277,1400,844,1928,.438,248,726,.342,341,478,.713,255,1007,417,195,110,386,698,879,1803,.488,260,649,.401,569,755,.754,269,1160,468,134,89,388,528
Villanova,40,26.64,10.24,3463,2807,1615,1028,2401,.428,272,858,.317,479,641,.747,378,1306,532,193,105,512,698,1220,2440,.500,464,1158,.401,559,718,.779,380,1436,655,259,162,426,645
Virginia Commonwealth,33,3.55,2.42,2507,2470,1335,897,1992,.450,258,736,.351,418,585,.715,318,1155,470,230,87,425,552,921,2013,.458,274,778,.352,391,566,.691,342,1203,510,210,93,446,561
VMI,30,-15.43,-4.25,1954,2214,1200,767,1729,.444,247,727,.340,433,602,.719,312,1141,417,213,94,410,469,688,1729,.398,225,704,.320,353,477,.740,283,1028,356,221,87,442,539
Virginia Tech,33,14.35,6.72,2634,2382,1335,844,1965,.430,292,842,.347,402,577,.697,346,1130,460,174,124,433,572,931,1865,.499,289,745,.388,483,681,.709,244,1078,542,191,74,395,523
Virginia,34,22.21,9.07,2283,1836,1365,647,1703,.380,215,694,.310,327,447,.732,280,1048,308,130,87,432,510,848,1844,.460,247,645,.383,340,451,.754,282,1099,458,232,124,290,480
Wagner,33,-3.19,-6.90,2448,2256,1325,731,1774,.412,232,649,.357,562,816,.689,331,1112,380,186,125,479,675,839,1963,.427,269,769,.350,501,705,.711,446,1290,440,218,129,451,729
Wake Forest,31,7.76,8.79,2273,2305,1240,770,1751,.440,265,702,.377,500,683,.732,296,1064,440,202,112,380,548,801,1826,.439,241,644,.374,430,583,.738,337,1108,432,181,109,407,604
Washington State,31,0.67,5.22,2270,2411,1250,882,1897,.465,265,759,.349,382,541,.706,340,1129,453,188,92,354,501,801,1795,.446,341,905,.377,327,444,.736,258,1007,450,164,71,421,532
Washington,34,7.65,6.06,2535,2481,1375,887,1983,.447,236,704,.335,472,682,.692,392,1200,533,207,113,513,656,900,1963,.458,230,664,.346,505,720,.701,328,1114,398,274,177,453,640
Weber State,31,0.01,-2.88,2434,2195,1255,794,1851,.429,199,601,.331,408,587,.695,298,1070,381,183,73,369,567,846,1722,.491,280,672,.417,462,603,.766,182,1039,430,161,120,368,551
West Virginia,37,19.88,9.36,2964,2575,1485,835,1962,.426,288,758,.380,617,866,.712,375,1268,462,204,148,612,695,1036,2374,.436,322,911,.353,570,744,.766,513,1401,561,301,192,420,798
Western Carolina,32,-11.90,-1.63,2190,2419,1280,839,1824,.460,282,790,.357,459,636,.722,344,1191,489,250,124,490,548,774,1885,.411,234,703,.333,408,597,.683,371,1101,427,254,92,476,561
Western Illinois,28,-11.07,-2.28,2012,2009,1135,723,1701,.425,237,665,.356,326,467,.698,255,991,349,180,65,319,454,749,1607,.466,188,527,.357,326,456,.715,196,990,308,136,109,350,432
Western Kentucky,38,11.08,3.65,2979,2674,1525,989,2304,.429,301,846,.356,395,545,.725,403,1275,523,199,125,488,734,1075,2183,.492,206,587,.351,623,869,.717,369,1356,515,271,140,441,569
Western Michigan,32,-2.22,-1.99,2402,2349,1285,818,1803,.454,290,780,.372,423,585,.723,287,1096,424,166,94,440,576,845,1926,.439,233,678,.344,479,659,.727,356,1130,405,209,100,342,559
Wichita State,33,16.58,5.46,2731,2364,1330,809,1922,.421,282,776,.363,464,639,.726,271,1005,356,200,111,379,658,957,2009,.476,300,787,.381,517,700,.739,404,1336,610,154,127,385,580
William & Mary,31,-1.36,-1.32,2636,2531,1255,928,1907,.487,260,717,.363,415,596,.696,276,1002,469,199,94,332,523,910,1782,.511,337,777,.434,479,591,.810,209,1020,548,174,125,382,530
Winthrop,31,-1.63,-5.84,2464,2219,1240,772,1847,.418,229,689,.332,446,598,.746,311,1070,347,229,88,425,592,859,1803,.476,296,792,.374,450,623,.722,283,1125,455,211,144,429,539
Wisconsin,33,10.38,9.50,2206,2177,1325,798,1740,.459,185,528,.350,396,526,.753,271,1023,378,175,122,386,611,793,1770,.448,216,644,.335,404,578,.699,299,1010,411,180,117,353,543
Wofford,34,-0.96,-2.45,2578,2405,1360,833,1857,.449,287,803,.357,452,616,.734,282,1088,474,210,81,438,535,901,1906,.473,357,865,.413,419,538,.779,272,1099,522,220,88,413,585
Wright State,35,0.58,-3.64,2500,2307,1410,816,1965,.415,268,775,.346,407,573,.710,303,1178,420,204,102,531,702,873,2019,.432,237,703,.337,517,723,.715,354,1266,460,231,77,459,558
Wyoming,33,4.26,3.54,2633,2597,1365,898,2022,.444,260,700,.371,541,752,.719,315,1288,461,203,79,483,708,873,1959,.446,304,881,.345,583,790,.738,231,1148,518,215,130,449,654
Xavier,35,19.08,9.45,2953,2616,1415,944,2192,.431,301,902,.334,427,562,.760,296,1095,492,238,127,400,731,1011,2055,.492,274,736,.372,657,843,.779,340,1342,579,205,109,441,602
Yale,31,-4.19,-2.83,2312,2288,1250,824,1793,.460,214,631,.339,426,589,.723,277,1061,428,214,80,397,539,831,1797,.462,252,759,.332,398,551,.722,275,1052,507,204,95,407,541
Youngstown State,32,-13.66,-2.56,2410,2647,1290,943,1852,.509,258,642,.402,503,724,.695,294,1122,524,225,145,497,565,902,2110,.427,235,712,.330,371,583,.636,457,1159,445,266,126,460,672
