School,G,SRS,SOS,Tm.,Opp.,MP,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Canisius,34,-2.82,-3.50,2665,2642,1370,962,1976,.487,229,668,.343,489,667,.733,359,1200,468,191,112,508,639,943,2066,.456,309,832,.371,470,639,.736,364,1120,601,230,64,446,659
Central Arkansas,32,-13.04,-3.76,2395,2692,1295,945,2031,.465,350,892,.392,452,650,.695,378,1210,598,206,96,366,581,836,1910,.438,230,613,.375,493,687,.718,337,1151,465,178,84,446,606
Central Connecticut State,29,-17.51,-7.68,1827,2112,1170,749,1602,.468,233,613,.380,381,555,.686,304,1026,414,183,113,392,540,675,1602,.421,146,418,.349,331,534,.620,332,966,341,166,68,413,539
Central Florida,36,9.58,3.69,2414,2202,1445,793,2175,.365,273,873,.313,343,485,.707,370,1174,483,231,103,351,708,825,1898,.435,263,748,.352,501,758,.661,389,1471,400,144,145,525,548
Central Michigan,32,-5.76,-2.63,2826,2807,1295,1022,2222,.460,282,815,.346,481,688,.699,423,1366,466,188,109,398,654,912,2153,.424,399,1115,.358,603,762,.791,364,1244,362,181,93,362,612
Charleston Southern,31,-12.28,-6.21,2304,2343,1255,795,1725,.461,238,663,.359,515,699,.737,267,1088,429,155,113,391,552,824,1868,.441,228,669,.341,428,643,.666,336,1092,341,176,89,358,620
Charlotte,30,-5.24,-0.93,2295,2407,1205,870,1860,.468,207,566,.366,460,656,.701,339,1204,408,190,100,413,563,800,1803,.444,237,630,.376,458,614,.746,224,979,361,190,94,366,578
Chattanooga,31,1.10,-2.08,2314,2132,1245,748,1682,.445,175,511,.342,461,610,.756,325,1040,365,196,106,463,602,801,1718,.466,231,667,.346,481,677,.710,322,1005,377,241,145,413,570
Chicago State,32,-16.67,-0.19,2089,2511,1300,870,1870,.465,302,835,.362,469,664,.706,337,1278,565,194,124,435,579,739,1923,.384,212,681,.311,399,569,.701,344,1123,360,215,68,440,616
Cincinnati NCAA,36,18.43,5.49,2674,2208,1450,767,1974,.389,251,731,.343,423,575,.736,368,1162,405,130,113,475,606,969,2116,.458,264,764,.346,472,688,.686,437,1328,557,261,173,361,566
Citadel,33,-12.86,-2.93,2964,3121,1335,1106,2162,.512,282,728,.387,627,891,.704,410,1450,626,238,135,578,701,980,2357,.416,397,1165,.341,607,802,.757,448,1232,561,306,85,473,737
Clemson,33,13.22,9.98,2468,2361,1325,875,1930,.453,254,713,.356,357,467,.764,360,1158,424,168,112,451,627,871,1939,.449,239,669,.357,487,666,.731,365,1124,414,235,130,354,501
Cleveland State,31,-6.73,-1.53,2083,2222,1260,771,1685,.458,212,606,.350,468,684,.684,324,1153,463,157,105,485,557,745,1838,.405,219,709,.309,374,541,.691,339,1024,327,221,94,405,636
Coastal Carolina,39,-3.94,-1.48,2833,2858,1570,979,2345,.417,369,1098,.336,531,751,.707,385,1449,512,232,131,470,700,1021,2416,.423,318,963,.330,473,719,.658,480,1571,467,237,109,508,709
Colgate,32,-8.47,-3.60,2145,2273,1305,782,1732,.452,252,672,.375,457,660,.692,263,1049,419,239,100,380,560,745,1693,.440,271,732,.370,384,567,.677,263,1037,414,164,82,470,603
College of Charleston,35,3.99,-0.19,2416,2260,1405,813,1942,.419,229,744,.308,405,612,.662,360,1237,393,135,116,432,677,804,1862,.432,220,670,.328,588,799,.736,302,1194,355,194,117,364,604
Colorado State,36,6.03,2.17,2611,2447,1440,860,2115,.407,272,858,.317,455,663,.686,388,1274,418,198,109,418,717,879,2070,.425,257,758,.339,596,815,.731,409,1374,397,218,123,392,618
Colorado,34,9.12,6.00,2568,2455,1370,855,1978,.432,277,754,.367,468,662,.707,340,1171,423,192,131,407,717,888,1993,.446,250,718,.348,542,770,.704,403,1276,474,172,146,410,632
Columbia,27,-5.67,-3.13,1940,1964,1090,673,1552,.434,251,695,.361,367,536,.685,303,1001,417,158,99,385,485,700,1603,.437,211,584,.361,329,465,.708,273,941,418,190,79,347,506
Connecticut,33,7.23,6.61,2220,2189,1330,754,1919,.393,255,763,.334,426,606,.703,376,1164,402,200,93,349,551,778,1809,.430,223,628,.355,441,619,.712,336,1209,432,146,177,402,575
Coppin State,32,-21.51,-8.01,2119,2521,1290,872,1856,.470,256,732,.350,521,747,.697,367,1291,460,186,109,433,657,705,1846,.382,225,708,.318,484,745,.650,367,1115,335,182,72,440,664
Cornell,29,-8.40,-1.55,2074,2238,1165,807,1769,.456,214,605,.354,410,556,.737,277,1030,405,220,101,323,485,746,1646,.453,244,720,.339,338,484,.698,219,976,417,150,78,419,529
Creighton NCAA,35,17.27,8.95,2864,2549,1400,933,2134,.437,259,786,.330,424,615,.689,379,1257,449,234,103,489,608,1078,2137,.504,304,766,.397,404,592,.682,289,1223,598,213,102,435,582
Dartmouth,27,-11.15,-3.45,1812,2020,1085,740,1575,.470,197,562,.351,343,484,.709,246,899,324,184,127,293,510,631,1463,.431,199,565,.352,351,495,.709,249,917,301,124,48,401,493
Davidson,32,6.45,4.26,2362,2292,1290,810,1874,.432,241,632,.381,431,625,.690,318,1167,417,215,109,382,580,814,1861,.437,292,856,.341,442,587,.753,285,1149,499,163,106,390,583
Dayton NCAA,32,12.98,4.27,2428,2126,1285,731,1772,.413,227,699,.325,437,618,.707,312,1110,404,139,116,479,633,820,1763,.465,258,671,.385,530,768,.690,277,1097,500,249,128,376,601
Delaware State,32,-18.81,-9.37,2186,2399,1295,814,1826,.446,273,779,.350,498,689,.723,392,1232,487,207,105,458,541,782,1865,.419,263,727,.362,359,545,.659,348,1057,429,177,89,436,608
Delaware,33,-9.97,-1.42,2157,2381,1325,813,1823,.446,280,772,.363,475,711,.668,306,1155,483,188,118,330,562,775,1838,.422,196,643,.305,411,599,.686,322,1159,385,176,102,396,625
Denver,30,-2.99,-4.19,2275,2239,1210,756,1700,.445,236,659,.358,491,664,.739,257,933,349,206,101,323,586,811,1684,.482,223,555,.402,428,583,.734,273,1058,452,150,64,404,603
DePaul,32,2.09,7.78,2206,2388,1285,812,1743,.466,253,701,.361,511,700,.730,308,1101,493,204,106,444,622,775,1804,.430,184,564,.326,472,642,.735,339,1057,366,213,92,451,635
Detroit Mercy,31,-10.72,-1.62,2387,2630,1255,894,1789,.500,252,663,.380,590,853,.692,323,1164,456,201,121,455,632,830,1867,.445,251,675,.372,476,717,.664,320,1036,398,203,78,451,741
Drake,31,-4.71,1.91,2208,2390,1255,866,1878,.461,259,702,.369,399,574,.695,338,1185,430,211,129,384,527,760,1856,.409,270,782,.345,418,553,.756,311,1070,404,188,75,389,563
Drexel,32,-7.43,-2.56,2397,2508,1300,877,1899,.462,244,684,.357,510,739,.690,340,1186,447,207,112,405,604,865,1987,.435,256,741,.345,411,617,.666,379,1177,470,187,98,425,644
Duke NCAA,37,21.56,10.91,2991,2597,1480,959,2218,.432,187,639,.293,492,693,.710,399,1245,447,176,88,447,737,1019,2144,.475,311,822,.378,642,842,.762,390,1341,484,226,172,421,675
Duquesne,32,-3.06,0.69,2256,2376,1280,843,1926,.438,237,661,.359,453,641,.707,357,1195,510,189,152,400,614,785,1835,.428,226,677,.334,460,680,.676,343,1167,401,157,127,454,593
East Carolina,33,-0.49,1.33,2088,2148,1320,771,1969,.392,218,670,.325,388,535,.725,397,1231,410,215,109,374,605,716,1797,.398,214,668,.320,442,673,.657,370,1252,394,168,171,459,550
East Tennessee State NCAA,35,7.31,-2.11,2782,2438,1415,819,1962,.417,274,773,.354,526,729,.722,340,1123,387,242,126,548,729,960,1967,.488,265,693,.382,597,850,.702,357,1269,516,293,162,519,698
Eastern Illinois,29,-5.35,-5.05,2169,2083,1195,718,1667,.431,197,557,.354,450,642,.701,330,1127,373,171,92,459,532,772,1852,.417,259,696,.372,366,501,.731,348,1081,444,198,119,370,559
Eastern Kentucky,31,-8.65,-2.44,2197,2330,1265,785,1770,.444,224,641,.349,536,734,.730,348,1155,437,228,95,428,605,750,1751,.428,235,733,.321,462,655,.705,286,1018,422,185,113,432,619
Eastern Michigan,33,-0.18,0.16,2566,2409,1330,772,1829,.422,242,730,.332,623,869,.717,403,1208,498,215,86,533,630,918,2046,.449,211,616,.343,519,716,.725,420,1201,443,317,144,399,704
Eastern Washington,34,-2.77,-4.43,2695,2592,1410,897,2031,.442,271,731,.371,527,733,.719,343,1154,464,218,91,359,660,947,1975,.479,281,741,.379,520,675,.770,309,1196,421,158,162,415,679
Elon,32,0.24,-1.39,2403,2292,1310,836,1989,.420,251,786,.319,369,524,.704,328,1199,352,191,100,353,581,850,1911,.445,308,868,.355,395,577,.685,291,1209,466,165,73,374,532
Evansville,33,1.45,2.42,2288,2261,1335,758,1800,.421,242,714,.339,503,712,.706,313,1111,420,181,155,420,683,800,1762,.454,127,347,.366,561,787,.713,298,1136,442,172,99,389,659
Fairfield,31,-4.75,-3.85,2251,2279,1250,830,1890,.439,210,634,.331,409,604,.677,329,1182,392,200,76,392,528,822,1859,.442,262,782,.335,345,506,.682,275,1115,464,166,92,416,567
Fairleigh Dickinson,30,-9.28,-5.31,2183,2250,1205,769,1704,.451,202,591,.342,510,734,.695,350,1105,437,185,76,412,563,754,1713,.440,201,606,.332,474,620,.765,291,993,366,189,78,398,637
Florida A&M,30,-20.88,-11.85,2153,2365,1220,836,1834,.456,270,746,.362,423,626,.676,373,1246,432,203,83,426,599,762,1800,.423,187,538,.348,442,671,.659,304,1047,379,197,99,407,568
Florida Atlantic,30,-7.95,-1.98,2108,2221,1215,799,1772,.451,189,518,.365,434,624,.696,331,1186,339,178,92,391,516,756,1838,.411,204,639,.319,392,558,.703,316,1066,369,171,93,348,570
Florida Gulf Coast NCAA,34,2.26,-3.42,2701,2356,1370,830,1953,.425,232,757,.306,464,682,.680,347,1085,412,209,98,441,604,1007,2017,.499,221,636,.347,466,664,.702,379,1269,527,207,116,421,635
Florida International,31,-8.10,-3.27,2178,2282,1270,809,1738,.465,214,604,.354,450,620,.726,283,1000,426,205,120,359,493,805,1773,.454,181,545,.332,387,516,.750,315,1051,346,185,67,413,570
Florida State NCAA,35,18.87,8.87,2873,2523,1400,857,2060,.416,259,743,.349,550,769,.715,382,1189,424,176,104,494,688,1036,2146,.483,233,671,.347,568,824,.689,409,1324,511,259,180,415,684
Florida NCAA,36,22.40,11.01,2804,2394,1455,849,2070,.410,198,649,.305,498,705,.706,375,1266,347,200,101,533,746,953,2118,.450,278,776,.358,620,851,.729,416,1331,450,272,167,431,661
Fordham,32,-1.97,1.36,2090,2167,1300,732,1585,.462,218,608,.359,485,678,.715,293,1147,481,209,113,561,521,741,1783,.416,264,791,.334,344,474,.726,261,913,429,314,91,418,611
Fresno State,33,4.37,2.31,2426,2315,1350,755,1817,.416,230,692,.332,575,810,.710,318,1145,405,197,102,486,677,852,1872,.455,209,593,.352,513,763,.672,314,1175,414,277,127,444,718
Furman,35,1.46,-3.75,2590,2319,1410,812,1915,.424,245,785,.312,450,643,.700,314,1130,418,209,80,473,615,918,1941,.473,319,828,.385,435,624,.697,317,1211,524,245,82,451,613
Gardner-Webb,33,-3.08,-5.71,2546,2319,1345,787,1885,.418,230,670,.343,515,748,.689,333,1127,448,216,120,496,676,913,1905,.479,209,552,.379,511,819,.624,372,1259,486,291,118,474,670
George Mason,34,3.01,1.28,2519,2437,1385,888,2090,.425,252,764,.330,409,587,.697,312,1123,461,206,138,344,642,879,1962,.448,182,542,.336,579,775,.747,381,1370,398,169,96,440,570
George Washington,35,2.37,2.11,2447,2438,1400,904,2031,.445,233,659,.354,397,546,.727,312,1132,507,243,113,379,636,821,1938,.424,276,743,.371,529,710,.745,394,1279,466,192,136,453,541
Georgetown,32,11.18,9.31,2369,2309,1290,798,1893,.422,199,614,.324,514,735,.699,364,1116,399,221,110,393,667,808,1752,.461,206,590,.349,547,746,.733,305,1142,480,175,147,454,672
Georgia Southern,33,-3.63,-2.83,2492,2420,1325,851,1962,.434,273,806,.339,445,667,.667,397,1306,440,158,107,451,637,841,1909,.441,303,837,.362,507,763,.664,320,1147,342,224,102,388,641
Georgia State,33,-0.33,-2.17,2442,2312,1325,758,1844,.411,274,846,.324,522,734,.711,336,1100,440,203,90,474,607,885,1888,.469,246,690,.357,426,658,.647,334,1174,399,236,140,463,673
Georgia Tech,37,7.82,8.21,2496,2472,1485,887,2231,.398,272,824,.330,426,608,.701,429,1343,490,252,145,485,662,910,2079,.438,171,516,.331,505,740,.682,356,1330,570,245,221,494,592
Georgia,34,11.13,10.28,2435,2393,1370,832,2024,.411,246,734,.335,483,692,.698,365,1184,393,217,119,402,689,836,1903,.439,175,538,.325,588,777,.757,330,1259,429,182,126,444,632
Gonzaga NCAA,39,25.26,4.13,3222,2398,1560,875,2400,.365,223,771,.289,425,646,.658,421,1312,378,209,120,475,770,1149,2280,.504,286,749,.382,638,890,.717,378,1587,595,265,183,448,660
Grambling,33,-17.29,-11.89,2361,2412,1340,834,1761,.474,245,660,.371,499,736,.678,359,1222,462,198,115,572,657,841,1943,.433,184,581,.317,495,747,.663,398,1108,368,292,76,450,658
Grand Canyon,31,-0.16,-4.22,2282,2103,1250,759,1805,.420,206,632,.326,379,544,.697,308,1124,376,205,99,466,662,790,1812,.436,205,619,.331,497,747,.665,335,1166,423,233,79,397,539
Green Bay,32,-2.77,-2.83,2565,2479,1295,880,2037,.432,281,780,.360,438,658,.666,359,1252,449,197,99,485,651,913,2061,.443,197,612,.322,542,787,.689,387,1312,446,247,133,448,632
Hampton,31,-13.23,-9.92,2149,2219,1250,751,1729,.434,219,608,.360,498,733,.679,311,1111,333,175,99,454,581,751,1844,.407,196,620,.316,451,633,.712,371,1143,364,152,113,435,633
Hartford,32,-15.85,-5.56,2136,2465,1295,874,1923,.454,250,643,.389,467,671,.696,393,1278,511,207,115,419,567,730,1814,.402,263,777,.338,413,591,.699,292,1046,367,228,118,462,603
Harvard,28,2.30,-2.24,2012,1842,1120,634,1539,.412,168,537,.313,406,596,.681,292,960,341,186,71,356,493,699,1564,.447,229,645,.355,385,518,.743,275,1005,403,176,133,359,531
Hawaii,30,-6.19,-4.92,2042,2048,1210,726,1618,.449,181,534,.339,415,622,.667,273,1000,322,206,90,425,613,698,1650,.423,214,658,.325,432,604,.715,287,966,418,150,57,414,570
High Point,31,-9.06,-6.28,2133,2136,1260,754,1715,.440,254,699,.363,374,552,.678,284,1037,399,209,117,419,599,732,1693,.432,196,520,.377,473,636,.744,307,1088,389,184,96,407,539
Hofstra,32,-2.35,-1.90,2473,2454,1290,904,1955,.462,242,661,.366,404,558,.724,326,1149,471,163,93,339,644,846,1908,.443,291,792,.367,490,716,.684,371,1164,419,142,82,341,544
Holy Cross,32,-5.26,-3.51,1932,1988,1285,702,1551,.453,248,724,.343,336,471,.713,297,1084,457,153,93,508,553,663,1552,.427,236,685,.345,370,534,.693,189,811,426,302,76,351,515
Houston Baptist,31,-7.30,-4.44,2441,2398,1240,837,1825,.459,236,661,.357,488,662,.737,288,1016,439,215,107,417,623,871,1924,.453,195,574,.340,504,721,.699,425,1199,457,195,81,410,597
Houston,32,12.20,3.42,2358,2077,1285,701,1717,.408,218,662,.329,457,633,.722,342,1115,360,153,98,437,578,850,1902,.447,268,681,.394,390,544,.717,362,1138,406,170,113,315,601
Howard,34,-16.97,-7.97,2163,2433,1360,841,1973,.426,258,727,.355,495,711,.696,418,1289,487,234,106,426,710,723,1856,.390,172,591,.291,547,833,.657,420,1257,307,179,126,500,636
Idaho State,31,-15.10,-3.37,2164,2486,1250,879,1827,.481,289,730,.396,439,610,.720,322,1154,454,206,102,402,593,742,1708,.434,237,660,.359,443,648,.684,225,921,316,224,73,400,578
Idaho,33,-5.34,-5.89,2412,2346,1350,752,1810,.415,276,788,.350,566,764,.741,283,1094,396,178,104,410,667,809,1870,.433,255,694,.367,539,746,.723,362,1213,422,164,81,421,697
Illinois-Chicago,36,-5.95,-3.63,2749,2754,1455,984,2329,.422,245,686,.357,541,739,.732,425,1313,507,272,139,447,738,939,2113,.444,272,746,.365,599,843,.711,422,1429,524,197,183,589,678
Illinois State,35,10.30,2.71,2418,2146,1405,733,1934,.379,246,750,.328,434,627,.692,369,1206,387,204,91,448,576,865,1972,.439,294,797,.369,394,593,.664,369,1293,483,250,170,427,620
Illinois,35,10.54,9.25,2508,2417,1405,869,2002,.434,245,734,.334,434,597,.727,311,1161,396,186,97,448,651,898,2019,.445,270,731,.369,442,643,.687,342,1217,472,197,83,433,641
Incarnate Word,29,-12.14,-5.62,2212,2320,1165,829,1798,.461,165,487,.339,497,684,.727,343,1127,393,201,107,363,583,736,1617,.455,233,601,.388,507,731,.694,229,950,362,168,136,391,583
Indiana State,31,-1.02,3.18,2170,2255,1275,758,1807,.419,209,560,.373,530,766,.692,343,1267,369,173,129,401,547,762,1832,.416,254,727,.349,392,576,.681,264,1111,417,204,126,396,660
Indiana,34,14.63,8.16,2711,2491,1390,867,2021,.429,233,692,.337,524,743,.705,355,1081,410,214,136,379,650,959,2004,.479,295,776,.380,498,683,.729,413,1328,488,209,157,517,682
Iona NCAA,35,1.08,-2.47,2813,2689,1415,951,2183,.436,280,776,.361,507,729,.695,429,1345,504,170,101,461,602,979,2155,.454,342,862,.397,513,668,.768,338,1250,541,239,108,421,669
Iowa State NCAA,35,20.51,11.94,2829,2529,1425,933,2178,.428,270,781,.346,393,558,.704,416,1339,484,167,121,491,578,1031,2186,.472,344,860,.400,423,604,.700,318,1219,553,272,124,355,557
Iowa,34,10.01,7.54,2738,2654,1395,976,2195,.445,289,807,.358,413,603,.685,427,1303,587,265,117,486,673,964,2121,.455,300,791,.379,510,741,.688,408,1306,602,252,130,472,608
Fort Wayne,33,0.38,-3.19,2869,2602,1340,900,2031,.443,327,854,.383,475,636,.747,277,1089,490,209,82,467,559,1055,2127,.496,352,876,.402,407,561,.725,334,1245,576,255,129,450,592
