School,G,SRS,SOS,Tm.,Opp.,MP,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Abilene Christian,29,-11.86,-7.10,2009,2073,1180,708,1557,.455,210,581,.361,447,671,.666,294,1017,393,178,88,427,502,721,1555,.464,207,550,.376,360,543,.663,222,904,408,210,83,412,631
Air Force,33,-3.06,1.00,2411,2477,1335,861,1883,.457,320,880,.364,435,613,.710,275,1135,514,199,113,407,684,817,1876,.436,264,728,.363,513,715,.717,304,1149,494,197,57,390,594
Akron,36,3.59,-1.21,2772,2550,1440,913,2058,.444,249,683,.365,475,673,.706,347,1188,411,210,72,415,671,949,2035,.466,366,984,.372,508,744,.683,357,1246,517,198,118,422,653
Alabama A&M,29,-26.99,-11.09,1794,2255,1175,821,1724,.476,214,588,.364,399,586,.681,356,1055,410,199,100,268,532,628,1549,.405,125,447,.280,411,614,.669,299,914,326,100,50,384,526
Alabama-Birmingham,33,-1.17,-1.83,2369,2316,1330,836,1941,.431,250,731,.342,394,569,.692,339,1080,420,219,100,381,593,835,1809,.462,203,583,.348,496,674,.736,321,1188,503,157,160,444,527
Alabama State,31,-19.75,-10.75,2042,2305,1260,798,1799,.444,196,572,.343,513,755,.679,363,1170,392,230,93,394,568,719,1834,.392,200,674,.297,404,634,.637,427,1188,300,150,98,488,629
Alabama,34,11.29,7.47,2330,2200,1380,748,1848,.405,209,628,.333,495,738,.671,329,1138,325,215,100,460,662,809,1909,.424,225,710,.317,487,746,.653,418,1327,390,200,141,474,664
Albany (NY),35,-0.16,-4.69,2496,2301,1400,808,1873,.431,276,809,.341,409,578,.708,262,1008,442,197,144,399,630,907,1941,.467,192,516,.372,490,647,.757,379,1257,444,178,60,416,617
Alcorn State,32,-12.33,-10.95,2221,2175,1285,768,1838,.418,181,592,.306,458,707,.648,370,1173,424,220,82,418,555,800,1866,.429,222,669,.332,399,612,.652,387,1243,425,209,115,452,610
American,30,-10.30,-3.50,1845,2049,1205,716,1528,.469,172,468,.368,445,632,.704,258,996,384,198,84,397,493,692,1542,.449,168,529,.318,293,474,.618,204,868,339,209,73,396,548
Appalachian State,30,-8.67,-1.60,2208,2279,1205,788,1718,.459,194,516,.376,509,742,.686,284,1097,394,180,105,382,621,749,1781,.421,251,742,.338,459,674,.681,339,1126,414,167,91,414,641
Arizona State,33,4.02,7.11,2593,2695,1325,978,2040,.479,304,835,.364,435,611,.712,366,1310,621,171,130,440,604,888,2047,.434,328,896,.366,489,653,.749,304,1075,430,194,106,344,556
Arizona NCAA,37,18.25,7.63,2833,2440,1480,893,2121,.421,239,772,.310,415,607,.684,339,1107,477,175,109,432,729,977,2048,.477,244,625,.390,635,830,.765,380,1358,501,201,119,413,625
Little Rock,32,-6.07,-3.80,2188,2185,1290,739,1661,.445,228,633,.360,479,668,.717,280,1034,404,172,79,430,528,775,1749,.443,207,599,.346,431,582,.741,305,1058,379,183,120,412,591
Arkansas-Pine Bluff,32,-22.81,-10.28,1977,2320,1305,731,1631,.448,207,651,.318,651,920,.708,364,1153,432,305,93,535,528,695,1725,.403,208,621,.335,379,581,.652,335,1013,334,279,93,578,718
Arkansas State,32,0.87,-2.10,2346,2211,1285,760,1755,.433,195,617,.316,496,724,.685,306,1074,411,181,125,422,656,826,1792,.461,220,579,.380,474,743,.638,352,1169,397,172,83,414,652
Arkansas NCAA,36,14.04,8.60,2855,2659,1440,901,2159,.417,263,792,.332,594,843,.705,460,1322,454,187,118,477,670,997,2165,.461,233,638,.365,628,825,.761,401,1298,497,278,170,428,739
Army,32,-5.84,-4.10,2324,2340,1295,839,1907,.440,220,666,.330,442,641,.690,275,1128,434,239,123,403,548,842,1906,.442,291,825,.353,349,533,.655,317,1213,520,178,61,483,620
Auburn,32,8.17,7.33,2573,2546,1290,861,1972,.437,273,765,.357,551,765,.720,398,1248,435,197,93,482,725,861,1969,.437,289,789,.366,562,836,.672,369,1171,416,234,162,434,668
Austin Peay,30,-11.00,-2.32,2331,2515,1215,922,1877,.491,264,714,.370,407,558,.729,364,1122,473,167,85,407,616,806,1718,.469,227,640,.355,492,695,.708,245,913,324,171,73,373,547
Ball State,34,-1.45,-3.57,2677,2567,1380,885,2097,.422,267,751,.356,530,738,.718,372,1222,415,247,112,435,661,929,2014,.461,319,841,.379,500,696,.718,335,1281,529,203,118,496,658
Baylor NCAA,35,19.75,11.87,2550,2228,1400,794,1960,.405,222,687,.323,418,586,.713,351,1023,462,189,126,397,645,921,1956,.471,230,641,.359,478,661,.723,451,1329,544,180,166,469,617
Belmont,30,4.28,-1.69,2302,2078,1205,742,1739,.427,178,559,.318,416,558,.746,263,973,340,171,87,340,534,798,1703,.469,306,895,.342,400,521,.768,254,1057,481,131,80,380,531
Bethune-Cookman,32,-19.44,-11.21,2275,2490,1315,886,1889,.469,225,672,.335,493,733,.673,398,1279,528,186,123,467,523,840,2022,.415,228,712,.320,367,554,.662,397,1135,448,245,96,413,644
Binghamton,32,-11.99,-5.79,2175,2270,1285,815,1813,.450,248,687,.361,392,574,.683,294,1117,448,186,97,373,542,768,1757,.437,248,685,.362,391,555,.705,251,1055,410,167,78,397,545
Boise State,32,5.52,2.72,2404,2278,1280,775,1815,.427,183,544,.336,545,748,.729,296,1081,378,192,147,378,650,811,1802,.450,253,726,.348,529,743,.712,309,1139,387,158,77,409,662
Boston College,32,2.20,8.08,2320,2508,1280,864,1840,.470,229,647,.354,551,729,.756,263,1109,501,246,120,398,527,843,1880,.448,256,685,.374,378,556,.680,292,1119,473,179,87,467,597
Boston University,32,-2.43,-3.66,2339,2264,1300,769,1809,.425,274,755,.363,452,661,.684,321,1138,441,225,104,473,556,817,1844,.443,274,773,.354,431,619,.696,311,1141,449,265,81,444,610
Bowling Green State,32,-6.00,-2.00,2355,2453,1295,879,1893,.464,231,675,.342,464,638,.727,311,1210,420,201,126,472,663,832,1957,.425,220,644,.342,471,706,.667,353,1153,390,221,87,408,623
Bradley,33,-2.84,2.94,2163,2333,1325,775,1854,.418,248,725,.342,535,748,.715,359,1195,453,258,103,432,652,731,1722,.425,217,609,.356,484,719,.673,297,1156,372,203,118,499,672
Brigham Young,34,8.22,1.87,2741,2525,1360,906,2175,.417,274,846,.324,437,677,.645,349,1230,484,237,101,416,726,937,2057,.456,230,668,.344,637,869,.733,363,1418,534,224,156,469,657
Brown,30,-8.55,-4.08,2275,2338,1200,832,1669,.499,229,616,.372,445,623,.714,277,1017,444,209,127,474,660,735,1660,.443,244,665,.367,561,739,.759,275,933,399,228,56,430,597
Bryant,32,-9.69,-5.43,2373,2478,1315,860,1904,.452,234,704,.332,524,713,.735,351,1175,432,197,118,407,599,839,1917,.438,237,701,.338,458,636,.720,345,1148,460,218,69,428,680
Bucknell NCAA,35,5.89,-2.48,2669,2376,1400,860,2017,.426,216,631,.342,440,667,.660,347,1176,424,246,105,487,673,942,1961,.480,286,754,.379,497,730,.681,302,1203,510,252,134,466,655
Buffalo,32,0.92,-1.01,2486,2375,1285,794,1914,.415,233,671,.347,554,812,.682,362,1144,405,204,106,410,630,877,1945,.451,240,727,.330,492,711,.692,385,1295,459,181,127,453,735
Butler NCAA,34,17.70,10.23,2595,2341,1370,818,1837,.445,231,693,.333,474,680,.697,293,1065,366,171,87,451,653,906,1898,.477,261,714,.366,522,704,.741,287,1091,453,206,96,346,640
Cal Poly,31,-10.71,-4.22,2082,2242,1250,791,1696,.466,184,471,.391,476,664,.717,300,1155,397,147,94,372,553,726,1800,.403,258,758,.340,372,534,.697,300,1003,322,162,113,333,574
Cal State Bakersfield,35,3.21,-1.94,2502,2235,1425,696,1874,.371,242,762,.318,601,870,.691,389,1232,385,213,118,584,686,895,2035,.440,229,652,.351,483,755,.640,433,1349,507,286,137,519,794
Cal State Fullerton,32,-7.55,-6.85,2351,2280,1315,771,1823,.423,212,639,.332,526,729,.722,297,1094,384,196,105,457,642,821,1850,.444,196,631,.311,513,747,.687,341,1196,387,223,117,465,666
Cal State Northridge,30,-8.34,-4.13,2341,2440,1200,842,1832,.460,209,541,.386,547,760,.720,340,1097,413,182,105,391,645,806,1747,.461,145,415,.349,584,801,.729,295,1052,411,207,90,399,638
UC-Davis NCAA,36,-5.21,-4.68,2525,2506,1455,889,2086,.426,253,768,.329,475,666,.713,347,1241,479,248,122,503,759,873,2008,.435,221,635,.348,558,828,.674,364,1280,461,202,118,513,688
UC-Irvine,36,0.18,-2.70,2514,2331,1450,779,2034,.383,221,682,.324,552,789,.700,352,1191,407,201,97,379,638,915,2062,.444,265,734,.361,419,611,.686,402,1429,460,176,154,481,748
UC-Riverside,29,-11.39,-3.87,1895,2016,1165,693,1660,.417,224,663,.338,406,560,.725,292,1056,401,161,82,396,514,689,1671,.412,173,553,.313,344,495,.695,264,1011,338,198,88,387,572
UC-Santa Barbara,28,-13.49,-2.00,1701,1987,1125,702,1572,.447,236,698,.338,347,502,.691,275,1049,449,151,87,326,452,622,1651,.377,154,531,.290,303,478,.634,356,1028,338,148,59,341,502
University of California,34,11.11,6.34,2316,2154,1380,757,1893,.400,202,616,.328,438,647,.677,292,1095,390,162,123,379,636,807,1911,.422,226,664,.340,476,720,.661,394,1323,409,165,155,428,656
Campbell,37,-9.68,-7.59,2653,2605,1490,896,2057,.436,245,726,.337,568,793,.716,347,1252,461,254,92,442,631,909,1992,.456,294,798,.368,541,720,.751,292,1219,432,244,151,476,662
