School,G,SRS,SOS,Tm.,Opp.,MP,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Abilene Christian,31,-13.93,-7.53,2209,2272,1250,792,1662,.477,168,486,.346,520,735,.707,266,1031,376,160,98,448,596,771,1704,.452,209,570,.367,458,653,.701,269,991,422,233,78,418,681
Air Force,32,-5.51,0.66,2189,2330,1300,784,1823,.430,290,843,.344,472,667,.708,326,1187,470,211,133,436,664,752,1758,.428,202,596,.339,483,707,.683,283,1107,420,196,58,423,617
Akron,35,5.55,-1.24,2682,2381,1405,862,2103,.410,205,698,.294,452,667,.678,401,1315,393,206,80,408,630,911,2111,.432,409,1069,.383,451,659,.684,373,1310,507,190,137,381,618
Alabama A&M,29,-13.47,-10.75,1974,2042,1175,726,1599,.454,168,520,.323,422,637,.662,307,1025,351,171,84,316,590,681,1632,.417,175,599,.292,439,642,.684,330,1000,366,163,61,340,561
Alabama-Birmingham,33,3.50,-3.07,2606,2323,1340,841,2017,.417,233,712,.327,408,589,.693,390,1144,430,205,103,417,590,942,1970,.478,250,671,.373,472,654,.722,366,1259,607,213,201,414,579
Alabama State,31,-13.11,-9.35,2217,2308,1260,808,1744,.463,193,569,.339,499,768,.650,324,1170,404,187,106,400,548,788,1918,.411,215,647,.332,426,623,.684,389,1153,372,181,107,371,646
Alabama,33,7.14,8.62,2193,2242,1330,769,1878,.409,211,642,.329,493,735,.671,431,1259,370,189,96,402,647,738,1750,.422,259,763,.339,458,712,.643,327,1141,347,192,175,438,631
Albany (NY),33,0.93,-7.57,2495,2180,1335,801,1899,.422,229,750,.305,349,516,.676,310,1027,404,177,131,428,695,848,1850,.458,188,587,.320,611,814,.751,387,1276,410,216,52,413,581
Alcorn State,30,-16.01,-9.94,2014,2164,1225,748,1673,.447,215,592,.363,453,646,.701,324,1038,384,205,95,357,583,691,1692,.408,174,566,.307,458,676,.678,384,1072,272,134,111,429,548
American,31,-14.18,-6.08,1785,2036,1250,735,1568,.469,147,473,.311,419,628,.667,284,992,362,225,75,370,530,631,1487,.424,195,572,.341,328,471,.696,218,874,348,176,69,428,566
Appalachian State,31,-7.91,-1.10,2187,2398,1240,856,1852,.462,183,474,.386,503,738,.682,357,1157,373,197,116,349,673,719,1795,.401,256,720,.356,493,701,.703,393,1142,357,127,103,462,666
Arizona State,32,8.28,8.96,2345,2367,1290,830,1812,.458,224,633,.354,483,690,.700,302,1159,483,186,150,411,670,796,1919,.415,254,757,.336,499,726,.687,394,1177,405,170,86,384,649
Arizona NCAA,34,18.79,7.23,2735,2342,1390,853,2067,.413,204,646,.316,432,606,.713,320,1055,412,187,117,388,743,946,1970,.480,221,580,.381,622,863,.721,394,1368,485,164,161,442,621
Little Rock NCAA,35,7.12,-1.76,2487,2129,1415,720,1825,.395,226,721,.313,463,677,.684,353,1190,377,140,96,486,609,886,1958,.453,266,693,.384,449,616,.729,315,1195,451,230,106,355,640
