School,G,SRS,SOS,Tm.,Opp.,MP,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Abilene Christian,34,-1.91,-7.34,2502,2161,1370,753,1737,.434,191,578,.330,464,643,.722,295,1098,356,192,92,560,592,897,1911,.469,251,660,.380,457,642,.712,325,1110,525,297,93,407,635
Air Force,32,-4.28,0.24,2179,2294,1300,821,1820,.451,299,841,.356,353,520,.679,258,1073,443,231,87,386,550,802,1776,.452,234,711,.329,341,503,.678,253,1077,434,154,57,423,543
Akron,33,4.86,1.09,2271,2107,1325,760,1919,.396,215,734,.293,372,569,.654,370,1292,343,187,89,436,578,797,1948,.409,297,929,.320,380,539,.705,312,1204,399,185,106,388,569
Alabama A&M,32,-19.23,-8.38,1938,2285,1295,811,1730,.469,235,665,.353,428,672,.637,333,1158,434,246,109,458,463,736,1809,.407,182,578,.315,284,453,.627,314,1032,385,234,50,487,587
Alabama-Birmingham,35,0.36,-1.52,2470,2370,1410,811,1960,.414,297,873,.340,451,616,.732,310,1149,444,178,110,421,562,906,2003,.452,234,694,.337,424,630,.673,367,1279,401,218,82,399,578
Alabama State,31,-15.60,-7.84,2086,2235,1250,788,1732,.455,217,638,.340,442,625,.707,324,1140,426,224,103,470,621,712,1764,.404,216,673,.321,446,684,.652,365,1094,313,203,102,451,565
Alabama,34,9.45,9.01,2448,2433,1365,890,2047,.435,223,670,.333,430,605,.711,350,1185,384,221,144,402,644,856,1945,.440,244,718,.340,492,739,.666,384,1285,418,157,160,465,572
Albany (NY),32,-9.38,-6.70,2150,2216,1300,807,1797,.449,253,703,.360,349,533,.655,301,1092,462,206,118,406,556,728,1750,.416,274,790,.347,420,564,.745,294,1081,402,195,78,454,566
Alcorn State,31,-22.08,-8.97,1995,2194,1245,782,1744,.448,205,657,.312,425,619,.687,306,1082,489,245,83,414,497,709,1721,.412,211,646,.327,366,543,.674,334,1079,391,229,107,492,548
American,30,-4.19,-7.23,2161,2070,1220,747,1709,.437,152,520,.292,424,595,.713,287,999,375,191,98,366,526,780,1645,.474,190,584,.325,411,589,.698,251,1014,402,221,131,386,520
Appalachian State,32,-3.73,0.10,2557,2539,1290,916,1960,.467,242,659,.367,465,659,.706,329,1190,418,225,100,428,636,880,1938,.454,292,814,.359,505,706,.715,310,1127,406,171,90,418,585
Arizona State,34,10.28,6.04,2638,2494,1380,828,2007,.413,292,874,.334,546,774,.705,343,1218,449,221,113,476,735,899,2012,.447,240,714,.336,600,882,.680,399,1351,459,213,109,466,675
Arizona,32,8.32,6.32,2269,2205,1290,787,1756,.448,213,648,.329,418,615,.680,277,1094,376,173,123,450,621,794,1861,.427,235,699,.336,446,620,.719,324,1115,398,165,73,370,594
Little Rock,31,-4.87,-2.07,2301,2353,1250,792,1799,.440,278,788,.353,491,692,.710,301,1068,434,175,79,439,648,817,1687,.484,206,582,.354,461,703,.656,244,1060,443,169,87,503,622
Arkansas-Pine Bluff,32,-14.43,-8.18,2108,2269,1300,779,1713,.455,201,566,.355,510,756,.675,318,1090,434,240,106,442,608,719,1685,.427,194,574,.338,476,702,.678,317,1063,365,216,109,478,629
Arkansas State,32,-7.10,-1.23,2359,2475,1310,823,1862,.442,240,685,.350,589,794,.742,331,1142,419,192,113,399,632,796,1904,.418,237,709,.334,530,721,.735,403,1211,363,183,139,448,684
Arkansas,34,11.75,8.78,2559,2458,1370,817,1929,.424,270,811,.333,554,804,.689,426,1301,441,212,113,553,729,893,2004,.446,259,751,.345,514,769,.668,345,1152,543,276,172,450,693
Army,32,-7.57,-4.73,2268,2305,1280,843,1853,.455,266,755,.352,353,520,.679,246,1175,444,215,135,436,503,837,1956,.428,272,863,.315,322,471,.684,259,1125,499,198,50,376,544
Auburn,40,20.84,10.92,3188,2750,1615,940,2153,.437,323,937,.345,547,774,.707,424,1412,491,226,144,683,690,1097,2439,.450,454,1204,.377,540,760,.711,457,1369,572,369,190,466,731
Austin Peay,33,0.59,-4.41,2712,2413,1335,863,1913,.451,240,723,.332,447,645,.693,335,1136,448,187,107,521,650,973,2060,.472,268,702,.382,498,705,.706,397,1215,454,252,110,392,596
Ball State,33,3.39,1.21,2478,2362,1340,851,2053,.415,228,717,.318,432,613,.705,365,1169,386,224,110,426,641,889,1892,.470,202,621,.325,498,709,.702,308,1243,426,217,118,480,579
Baylor,34,13.38,9.26,2442,2302,1365,795,1869,.425,246,714,.345,466,682,.683,338,1086,442,202,146,421,612,869,1966,.442,274,803,.341,430,635,.677,450,1281,473,209,159,446,636
Belmont,33,9.12,-2.60,2868,2439,1330,895,2110,.424,253,743,.341,396,569,.696,314,1166,402,200,116,403,552,1042,2094,.498,343,922,.372,441,598,.737,286,1275,645,220,125,376,509
