Home,Away
Villanova,Mount St. Mary's
Wisconsin,Virginia Tech
Virginia,UNC Wilmington
Florida,East Tennessee St.
SMU,USC
Baylor,New Mexico St.
South Carolina,Marquette
Duke,Troy
Gonzaga,South Dakota St.
Northwestern,Vanderbilt
Notre Dame,Princeton
West Virginia,Bucknell
Maryland,Xavier
Florida St.,Florida Gulf Coast
Saint Mary's,VCU
Arizona,North Dakota
Kansas,UC Davis
Miami FL,Michigan St.
Iowa St.,Nevada
Purdue,Vermont
Creighton,Rhode Island
Oregon,Iona
Michigan,Oklahoma St.
Louisville,Jacksonville St.
North Carolina,Texas Southern
Arkansas,Seton Hall
Minnesota,Middle Tennessee
Butler,Winthrop
Cincinnati,Kansas St.
UCLA,Kent St.
Dayton,Wichita St.
Kentucky,Northern Kentucky
