Home,Away
Duke,North Dakota
VCU,UCF
Mississippi State,Liberty
Virginia Tech,Saint Louis
Maryland,Belmont
LSU,Yale
Louisville,Minnesota
Michigan State,Bradley
Gonzaga,Fairleigh Dickinson
Syracuse,Baylor
Marquette,Murray State
Florida State,Vermont
Buffalo,Arizona State
Texas Tech,Northern Kentucky
Nevada,Florida
Michigan,Montana
Virginia,Gardner-Webb
Ole Miss,Oklahoma
Wisconsin,Oregon
Kansas State,UC-Irvine
Villanova,Saint Mary's
Purdue,Old Dominion
Cincinnati,Iowa
Tennessee,Colgate
UNC,Iona
Utah State,Washington
Auburn,New Mexico State
Kansas,Northeastern
Iowa State,Ohio State
Houston,Georgia State
Wofford,Seton Hall
Kentucky,Abilene Christian
