Home,Away,Home_Score,Away_Score
Hampton,Maryland,75,102
Vermont,New Orleans,82,65
Brown,Michigan State,34,45
Hampton,New Orleans,74,73
Vermont,Maryland,63,81
Youngstown State,Central Michigan,74,50
Alcorn State,Texas,44,103
Central Michigan,Brown,71,58
Chicago State,St. Bonaventure,98,95
Youngstown State,Michigan State,61,86
Samford,Florida,54,79
VMI,Ohio State,69,107
Jackson State,Alabama,65,96
Prairie View,Texas A&M,49,81
New Hampshire,Boston College,47,86
Hillsdale,Marquette,66,76
Quinnipiac,UConn,46,53
St. Francis (NY),Syracuse,51,83
Chicago State,Texas,66,92
Elon,Georgia Tech,49,83
Alaska-Anchorage,Nevada,62,85
Middle Tennessee,Tennessee,52,83
Abilene Christian,New Mexico,54,91
American,Fairfield,59,54
Arkansas-Pine Bluff,Air Force,45,81
Army,Stetson,80,68
Asbury,Eastern Kentucky,46,63
Bethany (CA),Sacramento State,73,107
Buffalo,Canisius,72,69
Butler,Tulane,77,37
Cal State Maritime,Cal State Fullerton,56,108
Cal State Northridge,Portland State,90,65
UC-Riverside,Iowa State,61,69
Cameron,North Texas,47,85
Central Connecticut,Michigan,40,60
Central Methodist,Little Rock,54,83
Clark Atlanta,Savannah State,59,66
Clemson,Arkansas State,83,44
Colorado Christian,Weber State,57,83
Coppin State,Virginia Tech,43,94
Cornell,Northwestern,64,61
Dallas Baptist,Texas State,93,106
Davidson,Eastern Michigan,81,77
Defiance,Oakland,42,81
Denver,Colorado,64,78
Eastern Washington,Gonzaga,75,90
Florida Atlantic,Oklahoma State,50,95
George Washington,Boston University,70,57
Hawaii,UNLV,59,73
Howard,Cincinnati,39,70
Incarnate Word,Texas-Rio Grande Valley,55,76
Purdue-Fort Wayne,Notre Dame,49,92
IUPUI,Alabama A&M,86,47
Kent State,South Dakota State,105,50
Lafayette,Wagner,76,70
Lehigh,Oregon,65,77
Louisiana-Monroe,Eastern Illinois,70,60
Loyola (IL),Princeton,68,57
Mississippi Valley State,Ole Miss,49,72
Monmouth,Old Dominion,40,54
Montana State,Utah Valley,37,69
Montana State-Northern,Montana,42,83
Montreat,UNC Asheville,72,87
Morehead State,Penn State,46,63
Mount St. Mary's,West Virginia,42,50
Navy,Loyola (MD),73,61
Norfolk State,Oklahoma,36,99
North Carolina A&T,Missouri,80,101
North Dakota State,Idaho,91,76
North Florida,St. John's (NY),53,74
North Greenville,Winthrop,46,89
Ohio Valley,Citadel,58,79
Oral Roberts,Loyola Marymount,65,68
Ouachita Baptist,Louisiana,68,76
Portland,Oregon State,48,65
Radford,Milwaukee,60,72
Sacred Heart,Fordham,68,70
San Diego State,Murray State,87,84
San Jose State,UCSB,67,75
Seattle Pacific,Saint Mary's,60,71
South Alabama,UC-Irvine,67,63
South Carolina State,South Carolina,52,55
Southeast Missouri State,Arkansas,52,92
Southeastern Louisiana,Cal Poly,76,69
Southern,Georgia,37,97
Southern Colorado,Colorado State,67,76
Southern Utah,Utah,76,73
St. Bonaventure,Alcorn State,68,59
Stonehill,Rhode Island,62,86
Stony Brook,Colgate,65,59
UT-Martin,High Point,64,61
Texas A&M-International,UTSA,46,50
UTEP,Penn,69,66
Troy,Auburn,68,71
Utah State,Northwestern State,71,88
Virginia Wise,ETSU,43,90
Washington (MO),Southern Illinois,28,59
Washington State,Alabama-Birmingham,71,60
Winston-Salem,Fresno State,63,85
Wofford,NC State,88,92
Northern Arizona,Kansas,57,91
Loyola (IL),Ohio State,75,87
Hartford,Georgetown,59,69
Penn,Syracuse,60,78
Alabama A&M,South Dakota State,70,66
Alabama-Birmingham,Radford,76,63
Angelo State,Baylor,65,90
Arkansas State,Old Dominion,61,69
Army,Missouri,58,67
Austin Peay,Dayton,62,78
Belhaven (MS),Southern Miss,38,63
Binghamton,LIU-Brooklyn,59,73
Boise State,Wyoming,79,94
Bucknell,Albany (NY),49,55
Cal Poly,Portland,56,53
Cal State Bakersfield,Pacific,67,75
Cal State Northridge,Oregon,73,84
Caldwell,Seton Hall,52,91
UC-Irvine,Winston-Salem,53,41
UC-Riverside,Eastern Illinois,64,55
Calumet College,Valparaiso,65,84
Centenary (LA),TCU,66,72
Central Connecticut,Eastern Michigan,69,76
Central Methodist,Central Arkansas,53,71
Charleston Southern,Furman,69,88
Clemson,Monmouth,77,65
Coastal Carolina,Xavier,46,79
College of Charleston,Georgia State,72,66
Dartmouth,UMass,61,98
Davidson,Michigan,68,78
Denison,Bowling Green State,52,89
DePaul,Bradley,58,78
Florida International,Miami (FL),50,73
George Mason,Cleveland State,79,74
High Point,Howard,81,62
