Home,Away,Home_Score,Away_Score
Presbyterian,Duke,49,80
Georgia Southern,Houston,65,63
Georgia Southern,Duke,54,97
California (PA),Southern Illinois,52,66
Houston,Presbyterian,76,57
UMass,Arkansas-Monticello,90,71
Michigan Tech,Michigan,55,77
Northeastern,IUPUI,73,60
Prairie View,UCLA,58,82
IUPUI,Michigan Tech,65,51
UMass,Southern Illinois,73,80
Miami (OH),Weber State,70,66
Northeastern,Michigan,56,76
Miami (OH),UCLA,59,64
Weber State,Prairie View,78,68
Western Carolina,UConn,55,81
Fairleigh Dickinson,Pitt,63,86
Stetson,Texas,38,68
Detroit,Purdue,50,82
American,Oklahoma,54,83
Mississippi Valley State,Arizona State,64,80
Houston Baptist,Marquette,64,95
Toledo,Florida,58,80
Guilford,Davidson,83,107
North Carolina Central,Wake Forest,48,94
Albany (NY),Villanova,60,78
Alcorn State,South Alabama,79,87
Appalachian State,UNC Wilmington,101,108
Little Rock,Cal Poly,67,40
Arkansas-Pine Bluff,Colorado,56,76
Arkansas State,Ole Miss,52,65
Belmont Abbey,UNC Asheville,63,75
Bowling Green State,Georgia State,77,76
Brevard,Radford,55,74
Brewton-Parker,Savannah State,45,83
Brown,Rhode Island,74,76
Bucknell,Maryland,52,81
Cal Lutheran,Cal State Northridge,62,73
Cal State Bakersfield,Wyoming,58,84
Cal State Hayward,Santa Clara,40,68
Cal State Los Angeles,UCSB,55,64
Cal State Monterey Bay,Pepperdine,82,91
UC-Davis,Iowa State,58,61
Cameron,North Texas,66,87
Central Connecticut,Boston College,65,80
Central Michigan,Princeton,55,53
Charleston Southern,Iowa,48,68
Clemson,Hofstra,98,69
Coker,East Carolina,56,71
Columbia,Fordham,65,62
Concordia-St. Paul,Minnesota,51,76
Cumberland University,Tennessee State,93,85
Eastern Kentucky,Florida International,54,57
Eastern Oregon,Idaho State,70,75
Eastern Washington,Illinois,50,66
Emory,Furman,51,67
Erskine,South Carolina State,53,71
Evergreen State,Idaho,69,91
Florida A&M,Kansas State,57,96
Gardner-Webb,Virginia Tech,62,65
George Washington,Boston University,63,58
Grace Bible,Citadel,72,81
Hampton,Iona,46,59
High Point,Duquesne,55,84
Howard Payne,Stephen F. Austin,38,77
UIC,Bradley,61,67
Purdue-Fort Wayne,Xavier,43,71
Jacksonville State,South Carolina,76,89
Lafayette,Wagner,73,67
Long Beach State,BYU,65,75
LIU-Brooklyn,St. John's (NY),63,73
Maine,Northern Illinois,77,64
Marist,Rutgers,61,63
Marygrove,Eastern Michigan,48,119
Maryland-Eastern Shore,Stony Brook,44,60
Maryville (MO),UT-Martin,56,121
Merchant Marine Academy,North Carolina A&T,36,82
Milwaukee,Loyola Marymount,75,51
Missouri-St. Louis,Saint Louis,33,48
Missouri State,Auburn,60,75
Monmouth,Florida Atlantic,69,72
Montana,Colorado State,55,85
Montana State-Northern,Utah State,50,71
Montreat,Liberty,77,97
Morehead State,Louisiana-Monroe,54,56
Mount St. Mary's,Loyola (MD),84,76
Navy,Towson,68,86
UNC Greensboro,Charlotte,59,77
North Dakota,UMKC,61,56
North Greenville,Winthrop,42,67
Northern Arizona,Utah Valley,62,68
Northern Colorado,Oregon,64,66
Oregon State,Howard,45,47
Pacific (OR),Boise State,68,100
Piedmont,Mercer,63,89
Quinnipiac,Hartford,63,62
Reinhardt,Georgia Southern,61,96
Rider,St. Joseph's,57,69
Robert Morris,St. Bonaventure,62,72
Rockhurst,Loyola (IL),86,79
Sacramento State,Fresno State,65,77
Sacred Heart,Holy Cross,58,67
Saint Francis (PA),Texas Tech,47,81
Saint Xavier (IL),Chicago State,83,112
Samford,Belmont,60,78
San Francisco,Hawaii,75,70
San Jose State,South Dakota State,70,62
Schreiner,Sam Houston State,42,100
Seattle Pacific,Saint Mary's,55,86
USC Upstate,Georgia,48,72
South Dakota,Cornell,69,79
Southeast Missouri State,New Mexico,59,102
Southeastern Louisiana,Arkansas,87,91
SIU-Edwardsville,College of Charleston,66,72
SMU,South Florida,46,60
St. Francis (NY),Seton Hall,61,88
Stanford,Yale,75,67
Temple,ETSU,79,65
Texas A&M-Kingsville,Texas A&M-Corpus Christi,64,83
TCU,Western Michigan,67,63
