Home,Away,Home_Score,Away_Score
USC,Providence,75,71
UC-Davis,North Carolina Central,67,63
Akron,Houston,78,75
Ball State,Purdue-Fort Wayne,80,88
Belmont,Georgia,78,69
UC-Irvine,Illinois State,71,85
Colorado,UCF,74,79
Eastern Washington,Wyoming,81,91
Fairfield,UMBC,83,88
Fresno State,TCU,59,66
Georgia State,Texas A&M-Corpus Christi,64,80
Green Bay,UMKC,82,92
Hampton,Coastal Carolina,67,83
Loyola (MD),George Mason,73,58
UNC Greensboro,Syracuse,77,90
San Francisco,Rice,76,85
South Dakota,Iowa,75,87
Stephen F. Austin,Idaho,50,73
Texas-Arlington,BYU,105,89
Toledo,George Washington,69,73
Utah Valley,Georgia Southern,74,49
Mount St. Mary's,Villanova,56,76
South Dakota State,Gonzaga,46,66
North Dakota,Arizona,82,100
Florida Gulf Coast,Florida State,80,86
Bucknell,West Virginia,80,86
ETSU,Florida,65,80
Vermont,Purdue,70,80
Winthrop,Butler,64,76
Middle Tennessee,Minnesota,81,72
Nevada,Iowa State,73,84
UNC Wilmington,Virginia,71,76
Princeton,Notre Dame,58,60
Xavier,Maryland,76,65
VCU,Saint Mary's,77,85
Vanderbilt,Northwestern,66,68
Virginia Tech,Wisconsin,74,84
Furman,USC Upstate,79,57
Lamar,Texas State,60,70
UNC Asheville,UT-Martin,75,89
St. Peter's,Albany (NY),59,55
Stony Brook,UIC,69,71
Weber State,Cal State Fullerton,80,76
UC-Davis,Kansas,62,100
Texas Southern,UNC,64,103
Jacksonville State,Louisville,63,78
Northern Kentucky,Kentucky,70,79
Troy,Duke,65,87
Iona,Oregon,77,93
Kent State,UCLA,80,97
New Mexico State,Baylor,73,91
Kansas State,Cincinnati,61,75
Rhode Island,Creighton,84,72
USC,SMU,66,65
Marquette,South Carolina,73,93
Oklahoma State,Michigan,91,92
Wichita State,Dayton,64,58
Michigan State,Miami (FL),78,58
Seton Hall,Arkansas,71,77
Northwestern,Gonzaga,73,79
Wisconsin,Villanova,65,62
Saint Mary's,Arizona,60,69
Xavier,Florida State,91,66
Iowa State,Purdue,76,80
Middle Tennessee,Butler,65,74
Notre Dame,West Virginia,71,83
Virginia,Florida,39,65
Ole Miss,Syracuse,85,80
Saint Francis (PA),UMBC,79,87
Arkansas,UNC,65,72
Michigan State,Kansas,70,90
Michigan,Louisville,73,69
South Carolina,Duke,88,81
Wichita State,Kentucky,62,65
Cincinnati,UCLA,67,79
Rhode Island,Oregon,72,75
USC,Baylor,78,82
Belmont,Georgia Tech,57,71
Oakland,Richmond,83,87
TCU,Iowa,94,92
Akron,Texas-Arlington,69,85
Boise State,Illinois,56,71
Cal State Bakersfield,Colorado State,81,63
UCF,Illinois State,63,62
George Washington,UIC,71,80
Loyola (MD),Coastal Carolina,63,72
UMKC,Wyoming,61,72
Samford,Liberty,58,66
UT-Martin,Campbell,56,73
Utah Valley,Rice,85,79
Weber State,Texas A&M-Corpus Christi,73,82
Georgia Tech,Ole Miss,74,66
Richmond,TCU,68,86
Cal State Bakersfield,Texas-Arlington,80,76
Idaho,Texas State,55,64
Illinois,UCF,58,68
UIC,Coastal Carolina,78,89
Utah Valley,Wyoming,68,74
Purdue,Kansas,66,98
West Virginia,Gonzaga,58,61
Xavier,Arizona,73,71
Michigan,Oregon,68,69
Butler,UNC,80,92
UCLA,Kentucky,75,86
South Carolina,Baylor,70,50
Wisconsin,Florida,83,84
Oregon,Kansas,74,60
Xavier,Gonzaga,59,83
Furman,Campbell,79,64
St. Peter's,Texas State,49,44
Kentucky,UNC,73,75
South Carolina,Florida,77,70
Purdue-Fort Wayne,Texas A&M-Corpus Christi,62,78
Liberty,UMBC,68,80
Wyoming,Coastal Carolina,81,91
Cal State Bakersfield,Georgia Tech,61,76
TCU,UCF,68,53
Coastal Carolina,Wyoming,57,81
Furman,St. Peter's,51,77
Texas A&M-Corpus Christi,UMBC,79,61
Georgia Tech,TCU,56,88
Coastal Carolina,Wyoming,59,83
St. Peter's,Texas A&M-Corpus Christi,62,61
Oregon,UNC,76,77
South Carolina,Gonzaga,73,77
Gonzaga,UNC,65,71
