Home,Away,Home_Score,Away_Score
Marist,Duke,49,94
Stephen F. Austin,Kentucky,64,87
Indiana,Kansas,103,99
Lafayette,Villanova,48,88
Army,Oregon,77,91
UNC,Tulane,95,75
Lehigh,Xavier,81,84
Virginia,UNC Greensboro,76,51
Central Arkansas,Wisconsin,47,79
Arizona,Michigan State,65,63
Evansville,Louisville,47,78
Utah Valley,Gonzaga,69,92
McNeese State,Purdue,65,109
Pacific,UCLA,80,119
Nevada,Saint Mary's,63,81
Wagner,UConn,67,58
Colgate,Syracuse,55,83
Mount St. Mary's,West Virginia,59,87
Incarnate Word,Texas,73,78
UMKC,Creighton,82,89
Dartmouth,Rhode Island,61,84
Savannah State,Iowa State,71,113
American,Maryland,56,62
Adrian,Detroit,69,99
Alabama A&M,Missouri State,62,96
Albany (NY),Penn State,87,81
Alcorn State,Loyola (IL),44,69
Antelope Valley,Weber State,65,128
Arizona Christian,New Mexico State,52,100
Arkansas-Pine Bluff,Alabama-Birmingham,66,86
Arkansas State,North Dakota State,66,76
Austin Peay,Dayton,68,96
Ball State,Saint Louis,85,64
Bethune-Cookman,St. John's (NY),53,100
Boston University,Northeastern,77,87
Bowling Green State,Oakland,70,78
Brewton-Parker,Mercer,53,87
Brown,Cincinnati,55,84
Buffalo,Niagara,76,66
Cairn,Liberty,53,81
Cal Poly,Pepperdine,68,77
Cal State Los Angeles,Long Beach State,59,95
Cal Tech,Cal State Fullerton,28,77
UC-Riverside,Portland,55,71
Campbell,Oklahoma State,65,102
Centenary (LA),Louisiana-Monroe,63,96
Chattanooga,Tennessee,82,69
Citadel,College of Charleston,68,81
Claflin,UNC Wilmington,64,110
Clarks Summit,Delaware State,56,103
Coastal Carolina,Alabama,53,70
Columbia,Stony Brook,73,66
Coppin State,Hofstra,72,74
Cornell,Binghamton,62,68
Crown College,North Dakota,48,98
Drexel,Monmouth,65,78
Earlham,Northern Kentucky,56,96
Eastern Michigan,Pitt,90,93
Fairleigh Dickinson,Seton Hall,70,91
Florida A&M,South Florida,73,84
Florida Gulf Coast,Florida,59,80
Florida Memorial,Florida International,57,76
Fordham,ETSU,59,96
Furman,Presbyterian,71,73
Gardner-Webb,SMU,44,72
Georgia,Clemson,64,74
Georgia Southern,NC State,79,81
Goldey-Beacom,Delaware,56,64
Grambling,East Carolina,57,72
Greensboro,North Carolina A&T,50,67
Hartford,Central Connecticut,60,75
Harvard,Stanford,70,80
Hood,UMBC,61,92
Houston Baptist,Texas Tech,67,93
Howard,Michigan,58,76
Howard Payne,Lamar,47,90
Idaho State,New Mexico,70,81
UIC,San Francisco,80,82
Illinois-Springfield,Bradley,55,70
Illinois State,Murray State,70,73
Indiana-Kokomo,Central Michigan,53,117
Indiana State,Northern Illinois,78,80
Purdue-Fort Wayne,Arkansas,83,92
IUPUI,Eastern Kentucky,87,97
Jacksonville State,Tulsa,84,73
James Madison,Old Dominion,55,62
John Jay,LIU-Brooklyn,40,78
Kennesaw State,Iowa,74,91
Kentucky Christian,Morehead State,41,106
La Salle,Temple,92,97
LaGrange,New Orleans,67,103
Lesley,New Hampshire,60,85
Linfield,Eastern Washington,47,70
Louisiana,Minnesota,74,86
Louisiana Tech,South Carolina,76,85
Loyola (MD),Duquesne,60,65
Maine,Virginia Tech,67,80
Manhattan,Bucknell,64,76
Marygrove,Western Michigan,74,90
Maryland-Eastern Shore,George Washington,71,75
UMass-Lowell,UMass,76,90
McPherson,Air Force,71,88
Milligan,Middle Tennessee,64,102
Millsaps,Southeastern Louisiana,39,85
Milwaukee Engineering,Milwaukee,58,88
Mississippi Valley State,Northwestern,63,94
Molloy,Rutgers,57,86
Montana,USC,61,75
Montana State,Washington State,65,69
Morgan State,Houston,52,93
Muskingum,Miami (OH),57,84
Newberry,Charlotte,88,101
Nicholls State,Boston College,79,73
Norfolk State,Mississippi State,74,78
UNC Asheville,VCU,65,80
North Florida,Auburn,66,83
Northern Arizona,Santa Clara,64,67
Northwestern State,Texas A&M,44,72
Ohio State,Navy,78,68
Oral Roberts,Baylor,61,76
Our Lady of the Lake,Texas A&M-Corpus Christi,100,115
Pacific Lutheran,Seattle,65,76
Peace,Elon,68,101
Penn,Robert Morris,67,50
Pomona-Pitzer,Cal State Northridge,72,96
Portland State,Arizona State,70,88
Prairie View,Oregon State,58,78
Radford,Wake Forest,59,80
Rider,Hampton,67,56
Sacramento State,Colorado,53,90
Sacred Heart,Fairfield,63,85
San Diego,San Diego State,59,69
Sarah Lawrence,NJIT,38,100
Schreiner,Abilene Christian,59,73
Sewanee,Lipscomb,53,96
South Alabama,UNLV,76,68
South Carolina State,Wichita State,39,85
South Dakota,Drake,79,74
South Dakota State,California,53,82
Southeast Missouri State,Illinois,62,81
SIU-Edwardsville,Hawaii,69,68
Southern Utah,Valparaiso,65,79
St. Francis (IL),Eastern Illinois,41,83
St. Thomas (TX),TCU,64,82
Sul Ross State,North Texas,77,85
UT-Martin,Ole Miss,83,86
Tennessee State,UC-Davis,78,64
Tennessee Tech,Georgia Tech,55,70
UTSA,Fresno State,66,69
Texas State,Florida Atlantic,61,57
Thomas University,Georgia State,69,111
Toccoa Falls,Troy,76,135
Tougaloo,Southern Miss,96,101
Utah State,UC-Irvine,72,56
Vanderbilt,Marquette,71,95
Vanguard,Loyola Marymount,51,99
VMI,Richmond,69,72
Webber,Stetson,62,78
Western Carolina,Miami (FL),43,92
Western Illinois,Kansas State,55,82
