Home,Away,Home_Score,Away_Score
VCU,USC,59,46
UTSA,Alabama State,70,61
Bethune-Cookman,Virginia Tech,54,79
Duquesne,Montana,87,76
Florida Atlantic,Miami (FL),62,85
Idaho,San Francisco,73,81
Iona,Valparaiso,85,77
Long Beach State,Washington State,74,85
Miami (OH),Rhode Island,59,76
Milwaukee,Northwestern,61,70
Ole Miss,California,74,77
Nebraska,Wichita State,49,76
Oral Roberts,SMU,57,64
Portland,Hawaii,64,76
St. Bonaventure,UCF,54,69
Tennessee Tech,Western Michigan,66,74
Texas Southern,Colorado,74,88
Weber State,Oregon,59,68
Pitt,UNC Asheville,74,51
Florida,UCSB,79,51
San Diego State,Northern Colorado,68,50
UConn,Bucknell,81,52
Wofford,BYU,66,74
Morehead State,Louisville,62,61
Princeton,Kentucky,57,59
Wisconsin,Belmont,72,58
Utah State,Kansas State,68,73
Vanderbilt,Richmond,66,69
West Virginia,Clemson,84,76
Missouri,Cincinnati,63,78
St. John's (NY),Gonzaga,71,86
Temple,Penn State,66,64
UCLA,Michigan State,78,76
Old Dominion,Butler,58,60
Hampton,Duke,45,87
Kansas,Boston University,72,53
UTSA,Ohio State,46,75
UNC,LIU-Brooklyn,102,87
Notre Dame,Akron,69,56
St. Peter's,Purdue,43,65
Syracuse,Indiana State,77,60
Texas,Oakland,85,81
Memphis,Arizona,75,77
VCU,Georgetown,74,56
Xavier,Marquette,55,66
Texas A&M,Florida State,50,57
Washington,Georgia,68,65
UNLV,Illinois,62,73
Tennessee,Michigan,45,75
Villanova,George Mason,57,61
Air Force,Santa Clara,75,88
California,Colorado,72,89
Pitt,Butler,70,71
Temple,San Diego State,64,71
UCLA,Florida,65,73
UConn,Cincinnati,69,58
Gonzaga,BYU,67,89
West Virginia,Kentucky,63,71
Wisconsin,Kansas State,70,65
Richmond,Morehead State,65,48
Buffalo,Western Michigan,49,48
College of Charleston,Cleveland State,64,56
Jacksonville,SMU,62,63
Northwestern,Boston College,85,67
Kansas,Illinois,73,59
Michigan,Duke,71,73
Ohio State,George Mason,98,66
Notre Dame,Florida State,57,71
Washington,UNC,83,86
Syracuse,Marquette,62,66
VCU,Purdue,94,76
Texas,Arizona,69,70
Kent State,Fairfield,72,68
San Francisco,Hawaii,77,74
Wichita State,Virginia Tech,79,76
Davidson,Creighton,92,102
Duquesne,Oregon,75,77
Evansville,Boise State,69,75
Missouri State,Miami (FL),72,81
New Mexico,Alabama,67,74
Oklahoma State,Washington State,64,74
Rhode Island,UCF,54,66
SMU,Northern Iowa,57,50
Buffalo,Iona,63,78
Kent State,Colorado,74,81
Ohio,ETSU,73,82
Santa Clara,San Francisco,95,91
Boise State,Oregon,71,79
UCF,Creighton,64,82
College of Charleston,Wichita State,75,82
Miami (FL),Alabama,64,79
Northwestern,Washington State,66,69
Duke,Arizona,77,93
Florida,BYU,83,74
San Diego State,UConn,67,74
Wisconsin,Butler,54,61
Ohio State,Kentucky,60,62
Richmond,Kansas,57,77
UNC,Marquette,81,63
VCU,Florida State,72,71
Santa Clara,SMU,72,55
Florida,Butler,71,74
UConn,Arizona,65,63
Iona,ETSU,83,80
VCU,Kansas,71,61
UNC,Kentucky,69,76
Oregon,Creighton,76,84
Alabama,Colorado,62,61
Wichita State,Washington State,75,44
Creighton,Oregon,58,71
Santa Clara,Iona,76,69
Wichita State,Alabama,66,57
Creighton,Oregon,69,71
Kentucky,UConn,55,56
VCU,Butler,62,70
UConn,Butler,53,41
