Home,Away,Home_Score,Away_Score
Syracuse,Arizona State,60,56
Texas Southern,North Carolina Central,64,46
Boise State,Washington,74,77
BYU,Stanford,83,86
UC-Davis,Utah,59,69
Central Arkansas,Seattle,92,90
Colgate,San Francisco,68,72
Harvard,Marquette,60,67
Jacksonville State,Canisius,80,78
Lamar,UTSA,69,76
Louisiana,LSU,76,84
Mercer,Grand Canyon,78,73
Miami (OH),Campbell,87,97
Nebraska,Mississippi State,59,66
Niagara,Eastern Michigan,65,83
North Texas,South Dakota,90,77
Saint Francis (PA),UIC,61,84
Temple,Penn State,57,63
Texas-Rio Grande Valley,New Orleans,74,77
Penn,Kansas,60,76
Radford,Villanova,61,87
Iona,Duke,67,89
Montana,Michigan,47,61
Stephen F. Austin,Texas Tech,60,70
Wright State,Tennessee,47,73
Buffalo,Arizona,89,68
UNC Greensboro,Gonzaga,64,68
Davidson,Kentucky,73,78
South Dakota State,Ohio State,73,81
Loyola (IL),Miami (FL),64,62
San Diego State,Houston,65,67
St. Bonaventure,Florida,62,77
Oklahoma,Rhode Island,78,83
Alabama,Virginia Tech,86,83
NC State,Seton Hall,83,94
Louisiana-Monroe,Austin Peay,66,80
UMBC,Virginia,74,54
Texas Southern,Xavier,83,102
Cal State Fullerton,Purdue,48,74
Georgia State,Cincinnati,53,68
Lipscomb,UNC,66,84
Bucknell,Michigan State,78,82
College of Charleston,Auburn,58,62
Marshall,Wichita State,81,75
Murray State,West Virginia,68,85
New Mexico State,Clemson,68,79
Syracuse,TCU,57,52
Butler,Arkansas,79,62
Providence,Texas A&M,69,73
Texas,Nevada,83,87
Florida State,Missouri,67,54
Kansas State,Creighton,69,59
Central Michigan,Wofford,98,94
Alabama,Villanova,58,81
Seton Hall,Kansas,79,83
Rhode Island,Duke,62,87
Florida,Texas Tech,66,69
Houston,Michigan,63,64
Loyola (IL),Tennessee,63,62
Ohio State,Gonzaga,84,90
Buffalo,Kentucky,75,95
Penn State,Notre Dame,73,63
Portland State,San Diego,64,67
Florida State,Xavier,75,70
Butler,Purdue,73,76
Nevada,Cincinnati,75,73
Texas A&M,UNC,86,65
Syracuse,Michigan State,55,53
Clemson,Auburn,84,53
Marshall,West Virginia,71,94
UMBC,Kansas State,43,50
Drake,Northern Colorado,72,81
Middle Tennessee,Louisville,68,84
Mississippi State,Baylor,78,77
Oregon,Marquette,92,101
Washington,Saint Mary's,81,85
Eastern Michigan,Sam Houston State,62,69
Jacksonville State,Central Arkansas,80,59
LSU,Utah,71,95
Mercer,North Texas,67,96
New Orleans,Campbell,69,71
Stanford,Oklahoma State,65,71
Utah Valley,San Francisco,73,78
Western Kentucky,USC,79,75
Mississippi State,Louisville,79,56
Penn State,Marquette,85,80
Utah,Saint Mary's,67,58
UIC,Austin Peay,83,81
Jacksonville State,North Texas,68,90
Northern Colorado,San Diego,86,75
Western Kentucky,Oklahoma State,92,84
Texas A&M,Michigan,72,99
Florida State,Gonzaga,75,60
Kansas State,Kentucky,61,58
Loyola (IL),Nevada,69,68
Campbell,San Francisco,62,65
Sam Houston State,UTSA,76,69
Clemson,Kansas,76,80
West Virginia,Villanova,78,90
Syracuse,Duke,65,69
Texas Tech,Purdue,78,65
Florida State,Michigan,54,58
Loyola (IL),Kansas State,78,62
Central Michigan,Liberty,71,84
Duke,Kansas,81,85
Texas Tech,Villanova,59,71
North Texas,San Francisco,62,72
Penn State,Mississippi State,75,60
Western Kentucky,Utah,64,69
UIC,Liberty,67,51
Sam Houston State,Northern Colorado,80,99
San Francisco,North Texas,55,69
Penn State,Utah,82,66
UIC,Northern Colorado,71,76
San Francisco,North Texas,77,88
Villanova,Kansas,95,79
Loyola (IL),Michigan,57,69
Michigan,Villanova,62,79
