Home,Away,Home_Score,Away_Score
Boston University,Oregon State,96,78
College of Charleston,Eastern Kentucky,82,79
Colorado State,Morehead State,60,74
Duquesne,Princeton,51,65
Green Bay,Akron,70,66
Harvard,Appalachian State,71,93
Illinois,Stony Brook,76,66
Illinois State,Dayton,42,63
IUPUI,Hofstra,74,60
Middle Tennessee,Missouri State,79,87
Nevada,Wichita State,74,70
Northwestern,Rhode Island,64,76
Pacific,Loyola Marymount,86,76
Portland,Northern Colorado,73,81
Quinnipiac,Virginia Tech,61,81
St. John's (NY),Memphis,71,73
Troy,Ole Miss,65,84
Tulsa,Kent State,74,75
Weber State,Cincinnati,62,76
Kentucky,ETSU,100,71
Lehigh,Kansas,74,90
North Texas,Kansas State,62,82
Villanova,Robert Morris,73,70
New Mexico,Montana,62,57
Ohio,Georgetown,97,83
Sam Houston State,Baylor,59,68
Vanderbilt,Murray State,65,66
UTEP,Butler,59,77
Old Dominion,Notre Dame,51,50
Tennessee,San Diego State,62,59
Washington,Marquette,80,78
Florida,BYU,92,99
Saint Mary's,Richmond,80,71
Northern Iowa,UNLV,69,66
Wake Forest,Texas,81,80
Southern Miss,Louisiana Tech,57,66
Duke,Arkansas-Pine Bluff,73,44
Vermont,Syracuse,56,79
Ohio State,UCSB,68,51
West Virginia,Morgan State,77,50
Pitt,Oakland,89,66
Maryland,Houston,89,77
Siena,Purdue,64,72
Wofford,Wisconsin,49,53
New Mexico State,Michigan State,67,70
Temple,Cornell,65,78
Utah State,Texas A&M,53,69
Xavier,Minnesota,65,54
Missouri,Clemson,86,78
Oklahoma State,Georgia Tech,59,64
Gonzaga,Florida State,67,60
Louisville,California,62,77
Memphis,Ole Miss,81,90
Northern Iowa,Kansas,69,67
Wake Forest,Kentucky,60,90
Kansas State,BYU,84,72
Villanova,Saint Mary's,68,75
Old Dominion,Baylor,68,76
Washington,New Mexico,82,64
Murray State,Butler,52,54
Tennessee,Ohio,83,68
Jacksonville,Texas Tech,64,69
UNC,Mississippi State,76,74
NC State,Alabama-Birmingham,52,72
Duke,California,68,53
Syracuse,Gonzaga,87,65
Ohio State,Georgia Tech,75,66
West Virginia,Missouri,68,59
Xavier,Pitt,71,68
Michigan State,Maryland,85,83
Texas A&M,Purdue,61,63
Wisconsin,Cornell,69,87
Appalachian State,Marshall,80,72
College of Charleston,VCU,86,93
UConn,Virginia Tech,63,65
Dayton,Cincinnati,81,66
Fairfield,Creighton,55,73
Green Bay,Saint Louis,62,68
Kent State,Illinois,58,75
Louisiana Tech,Missouri State,40,69
Morehead State,Boston University,89,91
Nevada,Rhode Island,83,85
Pacific,Northern Colorado,63,59
Princeton,IUPUI,74,68
UNC,Alabama-Birmingham,60,55
Texas Tech,Ole Miss,87,90
Boston University,VCU,75,88
Creighton,Missouri State,61,67
Dayton,Illinois,77,71
Princeton,Saint Louis,59,69
Rhode Island,Virginia Tech,79,71
Kentucky,Cornell,62,45
Syracuse,Butler,59,63
West Virginia,Washington,69,56
Xavier,Kansas State,96,101
Pacific,Appalachian State,64,56
Purdue,Duke,57,70
Tennessee,Ohio State,76,73
Saint Mary's,Baylor,49,72
Northern Iowa,Michigan State,52,59
West Virginia,Kentucky,73,66
Kansas State,Butler,56,63
Duke,Baylor,78,71
Tennessee,Michigan State,69,70
Saint Louis,VCU,56,68
Dayton,Ole Miss,68,63
UNC,Rhode Island,68,67
Pacific,Missouri State,65,78
VCU,Saint Louis,71,65
Dayton,UNC,79,68
West Virginia,Duke,57,78
Michigan State,Butler,50,52
Duke,Butler,61,59
