Home,Away,Home_Score,Away_Score
BYU,Houston,67,77
Louisiana Tech,Clemson,53,69
Oklahoma State,Miami (FL),59,62
Old Dominion,Colorado,79,61
Vanderbilt,Notre Dame,69,79
Wake Forest,Minnesota,58,73
Western Kentucky,South Carolina,55,74
Southern,Duke,54,70
UCLA,Belmont,78,44
Winthrop,Tennessee,61,63
South Alabama,Florida,50,76
Xavier,Gonzaga,75,79
Illinois,Air Force,78,69
LSU,Iona,80,64
Pacific,Boston College,76,88
Nevada,Montana,79,87
Texas A&M,Syracuse,66,58
Washington,Utah State,75,61
Oklahoma,Milwaukee,74,82
San Diego State,Indiana,83,87
Marquette,Alabama,85,90
Wichita State,Seton Hall,86,66
UNC Wilmington,George Washington,85,88
Akron,Creighton,60,71
Nebraska,Hofstra,62,73
Rutgers,St. Joseph's,62,71
UTEP,Michigan,67,82
UConn,Albany (NY),72,59
Oral Roberts,Memphis,78,94
Villanova,Monmouth,58,45
Ohio State,Davidson,70,62
Texas,Penn,60,52
UNC,Murray State,69,65
Northwestern State,Iowa,64,63
Kansas,Bradley,73,77
Pitt,Kent State,79,64
Michigan State,George Mason,65,75
West Virginia,Southern Illinois,64,46
NC State,California,58,52
Northern Iowa,Georgetown,49,54
Bucknell,Arkansas,59,55
Kentucky,Alabama-Birmingham,69,64
Wisconsin,Arizona,75,94
Butler,Florida State,63,67
Charlotte,Cincinnati,80,86
Delaware State,Louisville,54,71
Stanford,Missouri State,67,76
George Washington,Duke,61,74
UCLA,Alabama,62,59
Wichita State,Tennessee,80,73
Indiana,Gonzaga,80,90
Milwaukee,Florida,60,82
Montana,Boston College,56,69
Texas A&M,LSU,57,58
Washington,Illinois,67,64
Manhattan,Maryland,87,84
Kentucky,UConn,83,87
Memphis,Bucknell,72,56
Villanova,Arizona,82,78
Ohio State,Georgetown,52,70
Texas,NC State,75,54
UNC,George Mason,60,65
Pitt,Bradley,66,72
West Virginia,Northwestern State,67,54
Clemson,Louisville,68,74
Hofstra,St. Joseph's,77,75
Houston,Missouri State,59,60
Manhattan,Old Dominion,66,70
Miami (FL),Creighton,53,52
Notre Dame,Michigan,84,87
Minnesota,Cincinnati,62,76
South Carolina,Florida State,69,68
Miami (FL),Michigan,65,71
Missouri State,Louisville,56,74
Old Dominion,Hofstra,61,51
LSU,Duke,62,54
Memphis,Bradley,80,64
UCLA,Gonzaga,73,71
West Virginia,Texas,71,74
South Carolina,Cincinnati,65,62
Villanova,Boston College,60,59
Washington,UConn,92,98
Georgetown,Florida,53,57
Wichita State,George Mason,55,63
UCLA,Memphis,50,45
Texas,LSU,60,70
George Mason,UConn,86,84
Villanova,Florida,62,75
Michigan,Old Dominion,66,43
South Carolina,Louisville,78,63
South Carolina,Michigan,76,64
UCLA,LSU,59,45
George Mason,Florida,58,73
UCLA,Florida,57,73
