Home,Away,Home_Score,Away_Score
Michigan State,Kansas,87,92
Duke,Kentucky,118,84
Idaho State,Gonzaga,79,120
Towson,Virginia,42,73
Lenoir-Rhyne,Tennessee,41,86
BYU,Nevada,70,86
UNC,Wofford,78,67
Morgan State,Villanova,77,100
South Alabama,Auburn,58,101
Portland State,Oregon,57,84
Eastern Washington,Syracuse,34,66
Florida,Florida State,60,81
Norfolk State,Michigan,44,63
Purdue-Fort Wayne,UCLA,71,96
Citadel,Clemson,80,100
Southeastern Louisiana,LSU,63,94
Fairfield,Purdue,57,90
Western Kentucky,Washington,55,73
Alabama A&M,South Florida,63,80
Alabama State,Iowa State,53,79
Alaska-Anchorage,Fresno State,63,91
Alcorn State,Tulsa,56,73
Angelo State,North Texas,55,89
Arkansas-Pine Bluff,San Diego State,60,76
Arlington Baptist,Abilene Christian,54,107
Bemidji State,Northern Iowa,51,97
Bob Jones University,Furman,48,102
Boston University,Northeastern,77,74
Brevard,South Carolina State,51,99
Bryant,Rhode Island,63,97
Cal State Fullerton,Arizona State,94,102
UC-Riverside,Oregon State,59,72
UCSB,Wyoming,76,66
Cedarville,Akron,50,70
Centenary (LA),Northwestern State,62,102
Central Arkansas,Missouri,55,68
Central Connecticut,Hartford,75,68
Chattanooga,Charlotte,80,69
Chicago State,Indiana,55,104
CCNY,Fordham,58,106
Cleveland State,Davidson,63,83
Colgate,NJIT,78,81
Columbia International,Charleston Southern,68,100
Concordia (IL),Valparaiso,65,121
Concordia (MI),Central Michigan,67,98
Coppin State,Wisconsin,63,85
Cornell,Binghamton,86,75
Cumberland,UT-Martin,58,91
Davis & Elkins,Radford,57,91
Delaware,Maryland,67,73
Delaware State,East Carolina,56,81
Detroit,Western Michigan,76,89
East Mennonite,James Madison,58,86
ETSU,Georgia State,68,74
East Texas Baptist,Sam Houston State,64,85
Eastern Illinois,Texas,59,71
Elon,Manhattan,62,56
Ferrum,Coastal Carolina,47,91
Florida A&M,Jacksonville,65,50
Florida Gulf Coast,Illinois State,66,74
Fort Valley State,Troy,60,95
Gardner-Webb,VCU,57,69
Grand Canyon,South Dakota State,74,79
Huston-Tillotson,Lamar,59,79
Idaho,UC-Irvine,68,86
UIC,Notre Dame,67,84
Incarnate Word,Texas Tech,37,87
Indiana State,Ball State,69,86
IUPUI,Xavier,69,82
Johnson & Wales,Air Force,65,90
Kentucky Christian,Morehead State,82,102
La Salle,Temple,67,75
Lees-McRae,Middle Tennessee,69,91
Lehigh,Monmouth,85,61
