Home,Away,Home_Score,Away_Score
North Carolina State,Drexel,63,56
Niagara,Florida A&M,77,69
Toledo,Florida State,61,77
Alabama,UMass,87,89
Utah State,Michigan,58,68
Mississippi Valley State,Mississippi State,63,82
Marist,Oklahoma State,67,64
Delaware State,West Virginia,50,74
Austin Peay,Air Force,51,75
Providence,Bradley,78,90
ETSU,Clemson,57,64
Hofstra,DePaul,71,83
Fresno State,Georgia,78,88
Vermont,Kansas State,57,59
Appalachian State,Ole Miss,59,73
San Diego State,Missouri State,74,70
South Alabama,Syracuse,73,79
Georgetown,Belmont,80,55
Texas Tech,Boston College,75,84
Xavier,BYU,79,77
Old Dominion,Butler,46,57
Ohio State,Central Connecticut,78,57
Maryland,Davidson,82,70
VCU,Duke,79,77
UNC,Eastern Kentucky,86,65
Michigan,Florida State,66,87
Vanderbilt,George Washington,77,44
Indiana,Gonzaga,70,57
Stanford,Louisville,58,78
Michigan State,Marquette,61,49
Washington State,Oral Roberts,70,54
Texas A&M,Penn,68,52
Wright State,Pitt,58,79
Weber State,UCLA,42,70
UMass,West Virginia,77,90
Virginia,Albany (NY),84,57
Purdue,Arizona,72,63
USC,Arkansas,77,60
Nevada,Creighton,77,71
Jackson State,Florida,69,112
UNLV,Georgia Tech,67,63
Southern Illinois,Holy Cross,61,51
Virginia Tech,Illinois,54,52
Niagara,Kansas,67,107
Villanova,Kentucky,58,67
Tennessee,Long Beach State,121,86
North Texas,Memphis,58,73
Oregon,Miami (OH),58,56
Texas,New Mexico State,79,67
Marist,North Carolina State,62,69
Winthrop,Notre Dame,74,64
Wisconsin,Texas A&M-Corpus Christi,76,63
Georgetown,Boston College,62,55
Maryland,Butler,59,62
UCLA,Indiana,54,49
Texas A&M,Louisville,72,69
UNC,Michigan State,81,67
Bradley,Mississippi State,72,101
Xavier,Ohio State,71,78
VCU,Pitt,79,84
Washington State,Vanderbilt,74,78
Purdue,Florida,67,74
Kentucky,Kansas,76,88
Nevada,Memphis,62,78
Wisconsin,UNLV,68,74
Winthrop,Oregon,61,75
Texas,USC,68,87
Virginia Tech,Southern Illinois,48,63
Virginia,Tennessee,74,77
Georgia,Air Force,52,83
Ole Miss,Clemson,68,89
DePaul,Kansas State,70,65
San Diego State,Syracuse,64,80
Florida State,Mississippi State,71,86
North Carolina State,West Virginia,66,71
DePaul,Air Force,51,52
Syracuse,Clemson,70,74
Southern Illinois,Kansas,58,61
Texas A&M,Memphis,64,65
Tennessee,Ohio State,84,85
UCLA,Pitt,64,55
Florida,Butler,65,57
Vanderbilt,Georgetown,65,66
Oregon,UNLV,76,72
USC,UNC,64,74
UCLA,Kansas,68,55
Ohio State,Memphis,92,76
Oregon,Florida,77,85
UNC,Georgetown,84,96
Clemson,Air Force,68,67
West Virginia,Mississippi State,63,62
West Virginia,Clemson,78,73
UCLA,Florida,66,76
Ohio State,Georgetown,67,60
Ohio State,Florida,75,84
