Home,Away,Home_Score,Away_Score
Alabama A&M,Birmingham-Southern,69,79
Princeton,Bucknell,61,48
UC-Riverside,University of California,61,78
Mississippi State,Fairfield,53,49
George Mason,IPFW,69,51
Savannah State,Memphis,40,102
Belmont,Saint Mary's (CA),58,67
Northern Colorado,Syracuse,54,104
Fairfield,Alabama A&M,62,47
UC-Riverside,Belmont,74,65
Mississippi State,Birmingham-Southern,55,48
Saint Mary's (CA),University of California,61,52
Santa Clara,Duquesne,74,65
North Carolina A&T,New Mexico,59,75
Bucknell,Northern Colorado,67,54
Princeton,Syracuse,45,56
George Mason,Memphis,58,75
Santa Clara,New Mexico,59,93
Duquesne,North Carolina A&T,82,69
IPFW,Savannah State,71,60
Air Force,Jacksonville State,59,42
Western Carolina,Marquette,64,75
Duquesne,New Mexico,74,82
Santa Clara,North Carolina A&T,90,52
Illinois State,Penn State,82,73
Ole Miss,South Carolina State,64,52
College of Charleston,Colorado,57,72
Alcorn State,Creighton,40,74
South Carolina State,Jacksonville State,80,72
Illinois State,Marquette,32,60
Binghamton,Michigan,46,59
Air Force,Ole Miss,60,36
Brown,Missouri,60,68
Robert Morris,Morgan State,68,49
Iona,Northern Arizona,77,67
Towson,Ohio State,53,74
Houston,Sam Houston State,72,69
American,VCU,76,82
George Washington,Wake Forest,76,97
Penn State,Western Carolina,78,63
Northern Arizona,Alcorn State,70,61
San Diego,Arizona,69,80
Sam Houston State,Brown,92,79
Iona,Creighton,62,68
Air Force,Marquette,65,69
Illinois State,Ole Miss,70,52
Houston,Missouri,61,77
Towson,Morgan State,71,69
Robert Morris,Ohio State,50,82
South Carolina State,Penn State,63,43
Quinnipiac,Penn,60,74
Niagara,Providence,78,83
Wright State,Tulsa,72,66
Jacksonville State,Western Carolina,90,74
Fairleigh Dickinson,Elon,59,73
Colorado,Michigan,60,69
New Orleans,North Carolina State,58,92
East Carolina,Pepperdine,80,58
Oregon State,Siena,69,67
UCF,Wright State,74,66
Arizona,Utah State,83,71
Georgia Southern,Syracuse,61,71
Mississippi State,Fairleigh Dickinson,58,71
New Orleans,Elon,58,45
North Carolina State,East Carolina,71,64
Oregon State,Penn,62,52
Providence,Memphis,89,81
Saint Mary's (CA),Pepperdine,66,87
Siena,VCU,72,67
Western Carolina,Alabama,66,97
Kent State,Binghamton,77,52
Idaho,Boise State,66,76
Maine,Boston College,58,72
Southeast Missouri State,Bradley,73,77
Rider,Bucknell,50,69
Butler,Samford,80,69
Cal State Fullerton,UC-Irvine,57,106
Colgate,Central Connecticut,70,87
College of Charleston,Charleston Southern,56,41
Long Beach State,Charlotte,64,93
Valparaiso,Cincinnati,70,88
Hampton,Clemson,54,98
Longwood,Columbia,69,82
Akron,Drake,88,90
Oregon State,Elon,65,55
Central Michigan,Evansville,85,100
Pepperdine,Fairleigh Dickinson,80,79
Florida Atlantic,Florida International,62,65
Texas Southern,Florida State,62,71
Maryland-Eastern Shore,Fresno State,42,83
Campbell,Furman,52,64
Alabama State,Georgia Tech,37,74
Portland State,Gonzaga,80,98
Southeastern Louisiana,McNeese State,73,72
Houston,Delaware State,85,67
Illinois,Coastal Carolina,87,46
Indiana State,St. Bonaventure,70,49
Iona,Western Illinois,73,62
Iowa,Florida,85,81
Jacksonville,Mississippi Valley State,59,76
Jacksonville State,Vermont,83,61
Kansas,Kansas State,68,70
New Hampshire,Liberty,59,58
Tulane,LSU,58,83
Louisiana,Louisiana Tech,84,63
Cornell,Marist,67,72
Sam Houston State,Marquette,71,84
Jackson State,Maryland,57,93
Navy,UMBC,61,67
Syracuse,Memphis,77,62
Purdue,Miami (OH),71,81
Sacramento State,Michigan,49,70
Florida A&M,Michigan State,72,104
Middle Tennessee,Tennessee Tech,95,68
Ole Miss,Davidson,91,84
Missouri,Morehead State,81,66
Mount St. Mary's,New Mexico,65,93
North Carolina-Greensboro,East Carolina,98,66
North Carolina State,Marshall,100,57
North Carolina-Wilmington,North Texas,58,100
Birmingham-Southern,Northeastern,81,70
Harvard,Notre Dame,59,66
Delaware,Ohio State,49,74
Northwestern State,Oklahoma State,53,91
