Home,Away,Home_Score,Away_Score
Ball State,LSU,75,65
Louisiana Tech,Villanova,64,67
UNLV,South Carolina,65,75
Temple,Louisville,65,62
Tennessee Tech,Yale,80,61
BYU,Memphis,69,80
Syracuse,Richmond,62,46
Indiana,Duke,74,73
Oklahoma,Arizona,88,67
Pitt,Kent State,73,78
UCLA,Missouri,73,82
Ball State,South Carolina,47,82
Kansas,Illinois,73,69
Maryland,Kentucky,78,68
Southern Illinois,UConn,59,71
Texas,Oregon,70,72
Villanova,Temple,57,63
Oklahoma,Missouri,81,75
Kent State,Indiana,69,81
Tennessee Tech,Memphis,73,79
Maryland,UConn,90,82
Oregon,Kansas,86,104
Memphis,Temple,78,77
South Carolina,Syracuse,66,59
Memphis,South Carolina,72,62
Temple,Syracuse,65,54
Maryland,Kansas,97,88
Oklahoma,Indiana,64,73
Maryland,Indiana,64,52
