Home,Away,Home_Score,Away_Score
Temple,Belmont,70,81
Fairleigh Dickinson,Prairie View,82,76
Arkansas,Providence,84,72
Cal State Northridge,Utah Valley,84,92
Campbell,UNC Greensboro,69,84
Cornell,Robert Morris,89,98
Dayton,Colorado,73,78
Hofstra,NC State,78,84
IUPUI,Marshall,73,78
Lipscomb,Davidson,89,81
Loyola (IL),Creighton,61,70
Saint Francis (PA),Indiana,72,89
San Diego,Memphis,60,74
South Dakota State,Texas,73,79
Wright State,Clemson,69,75
St. John's (NY),Arizona State,65,74
North Carolina Central,North Dakota State,74,78
Alabama-Birmingham,Brown,78,83
Butler,Nebraska,76,80
Central Michigan,DePaul,86,100
Grambling,Texas-Rio Grande Valley,73,74
Grand Canyon,West Virginia,63,77
Green Bay,ETSU,102,94
Harvard,Georgetown,71,68
Howard,Coastal Carolina,72,81
Loyola Marymount,California Baptist,56,55
Norfolk State,Alabama,80,79
Presbyterian,Seattle,73,68
Sam Houston State,TCU,69,82
Southern Miss,Longwood,68,90
Stony Brook,South Florida,79,82
Texas Southern,New Orleans,95,89
Toledo,Xavier,64,78
Wichita State,Furman,76,70
Fairleigh Dickinson,Gonzaga,49,87
Abilene Christian,Kentucky,44,79
Bradley,Michigan State,65,76
Montana,Michigan,55,74
Old Dominion,Purdue,48,61
Yale,LSU,74,79
Northeastern,Kansas,53,87
Vermont,Florida State,69,76
Murray State,Marquette,83,64
New Mexico State,Auburn,77,78
Belmont,Maryland,77,79
Saint Mary's,Villanova,57,61
Florida,Nevada,70,61
Minnesota,Louisville,86,76
Seton Hall,Wofford,68,84
Baylor,Syracuse,78,69
Cal State Bakersfield,Cal State Fullerton,66,58
Florida Atlantic,Charleston Southern,66,68
Kent State,Louisiana-Monroe,77,87
St. Francis (NY),Hampton,72,81
Gardner-Webb,Virginia,56,71
Iona,UNC,73,88
North Dakota State,Duke,62,85
Colgate,Tennessee,70,77
Georgia State,Houston,55,84
Northern Kentucky,Texas Tech,57,72
UC-Irvine,Kansas State,70,64
Saint Louis,Virginia Tech,52,66
Liberty,Mississippi State,80,76
Oregon,Wisconsin,72,54
Arizona State,Buffalo,74,91
Ohio State,Iowa State,62,59
Iowa,Cincinnati,79,72
UCF,VCU,73,58
Oklahoma,Ole Miss,95,72
Washington,Utah State,78,61
Drake,Southern Utah,73,80
Memphis,Creighton,67,79
Baylor,Gonzaga,71,83
Florida,Michigan,49,64
Minnesota,Michigan State,50,70
Wofford,Kentucky,56,62
Maryland,LSU,67,69
Villanova,Purdue,61,87
Auburn,Kansas,89,75
Murray State,Florida State,62,90
Arkansas,Indiana,60,63
Florida International,Texas State,87,81
Lipscomb,UNC Greensboro,86,69
UCF,Duke,76,77
Oklahoma,Virginia,51,63
Washington,UNC,59,81
Iowa,Tennessee,77,83
Buffalo,Texas Tech,58,78
Ohio State,Houston,59,74
Liberty,Virginia Tech,58,67
UC-Irvine,Oregon,54,73
Harvard,NC State,77,78
Nebraska,TCU,72,88
Presbyterian,Robert Morris,77,70
Wichita State,Clemson,63,55
Xavier,Texas,76,78
Brown,Loyola Marymount,63,81
Cal State Bakersfield,Southern Utah,70,67
Coastal Carolina,West Virginia,109,91
Longwood,DePaul,89,97
Norfolk State,Colorado,60,76
Texas Southern,Texas-Rio Grande Valley,94,85
Utah Valley,South Florida,57,66
Charleston Southern,Hampton,67,73
Creighton,TCU,58,71
Florida International,Green Bay,68,98
Presbyterian,Marshall,66,83
Wichita State,Indiana,73,63
Coastal Carolina,DePaul,87,92
Colorado,Texas,55,68
Lipscomb,NC State,94,93
Florida State,Gonzaga,58,72
Oregon,Virginia,49,53
Purdue,Tennessee,99,94
Texas Tech,Michigan,63,44
Hampton,NJIT,82,70
Loyola Marymount,South Florida,47,56
Texas Southern,Louisiana-Monroe,108,102
Auburn,UNC,97,80
Virginia Tech,Duke,73,75
Houston,Kentucky,58,62
LSU,Michigan State,63,80
Cal State Bakersfield,Green Bay,65,80
Purdue,Virginia,75,80
Texas Tech,Gonzaga,75,69
Michigan State,Duke,68,67
Auburn,Kentucky,77,71
DePaul,South Florida,61,63
Hampton,Marshall,78,80
Texas,TCU,58,44
Texas Southern,Green Bay,86,87
Wichita State,Lipscomb,64,71
South Florida,DePaul,96,100
Green Bay,Marshall,70,90
Lipscomb,Texas,66,81
South Florida,DePaul,77,65
Auburn,Virginia,62,63
Texas Tech,Michigan State,61,51
Texas Tech,Virginia,77,85
