Home,Away,Home_Score,Away_Score
Wake Forest,Memphis,85,76
Marquette,St. John's (NY),52,45
St. Joseph's,Gonzaga,73,66
Pitt,Alabama,71,62
Coppin State,Xavier,37,62
UIC,UC-Irvine,77,65
Mercer,Ohio,67,64
Oakland,San Diego,93,68
UC-Irvine,San Diego,65,60
Mercer,Xavier,58,72
Mount St. Mary's,New Hampshire,68,94
Oakland,UIC,79,66
Ohio,Coppin State,51,47
Yale,UConn,60,70
Brown,Texas,51,89
College of Charleston,Auburn,62,66
Gardner-Webb,South Carolina,74,83
Georgia State,Utah,38,46
Idaho,Elon,84,60
UIC,Mercer,75,64
Mississippi Valley State,Richmond,46,62
UMKC,Minnesota,67,78
Oakland,Xavier,66,76
Ohio,UC-Irvine,60,63
San Diego,Coppin State,62,76
San Francisco,UT-Martin,73,62
Vermont,Nevada,49,69
Western Illinois,Missouri State,71,82
Davidson,Texas Tech,58,89
Gardner-Webb,Elon,68,65
Hofstra,Marist,79,74
Idaho,South Carolina,66,76
Louisiana,Georgia Tech,45,79
Mount St. Mary's,Mississippi Valley State,71,72
New Hampshire,Richmond,49,63
San Francisco,Missouri State,42,63
St. Francis (NY),UMass,58,80
UT-Martin,Western Illinois,96,67
Nevada,UConn,79,93
Minnesota,Utah,54,66
Hofstra,Georgia Tech,56,75
UTSA,Alaska-Fairbanks,48,66
Washington State,VMI,66,46
Bucknell,Michigan State,52,64
Chattanooga,Kansas,76,90
Idaho,Gonzaga,63,84
Winthrop,Kentucky,44,65
Eastern Washington,Oklahoma,59,69
Wisconsin,Penn,64,53
Savannah State,Marquette,41,79
UNC Asheville,NC State,46,71
Northwestern State,Oklahoma State,62,90
Alabama A&M,Jacksonville State,68,74
Albany (NY),Siena,50,71
Albertson,Weber State,49,79
Alcorn State,Southern Miss,67,79
Allen,High Point,71,107
Arkansas State,Ole Miss,74,69
Birmingham-Southern,Kansas State,50,70
Boise State,Portland,76,66
Brown,Rider,53,69
Cal Poly,California,63,62
Cal State Fullerton,Northern Arizona,60,77
UC-Riverside,Loyola Marymount,53,59
UCSB,Hawaii,57,51
Canisius,Buffalo,60,58
Chicago State,Northern Iowa,59,83
Colgate,Princeton,64,73
College of Charleston,Charleston Southern,83,66
Colorado,Northwestern,67,56
Columbia,Army,57,60
Concordia (NY),Hartford,55,74
Coppin State,Towson,54,57
Dartmouth,Stony Brook,53,56
Dayton,Pepperdine,90,77
Delaware,Mount St. Mary's,75,72
Delaware State,UNLV,59,65
ETSU,Houston,65,51
Eastern Kentucky,Saint Louis,58,64
Fairfield,Harvard,65,60
Flagler,Stetson,56,78
Florida Atlantic,South Florida,66,79
Fort Lewis,Utah State,54,86
Fresno State,Oregon,67,80
Gardner-Webb,Clemson,55,86
George Washington,Charlotte,80,76
Grambling,Georgetown,36,83
Green Bay,Southeast Missouri State,62,63
Houghton,Kent State,52,111
Howard,Florida International,67,55
UIC,Evansville,70,54
Iona,VCU,61,65
Jarvis Christian,Sam Houston State,60,74
Long Beach State,San Diego State,44,74
LIU-Brooklyn,Lehigh,67,54
Louisiana-Monroe,Bradley,65,73
Louisiana Tech,Alabama,63,69
Loyola (IL),DePaul,61,73
Lubbock Christian,Miami (FL),66,86
Maine,Florida State,49,69
UMBC,Loyola (MD),72,50
UMass,Texas Tech,50,90
Menlo,Cal State Northridge,64,88
Miami (OH),Liberty,71,55
Monmouth,Appalachian State,69,65
Montana State,Quinnipiac,87,75
Morehead State,George Mason,82,95
Navy,South Carolina,40,73
Nicholls State,Arkansas,60,89
UNC Greensboro,Indiana,64,71
UNC Wilmington,Marshall,65,56
Northeastern,Rhode Island,77,89
Northern Georgia,Georgia Southern,55,94
Northwest Oklahoma State,North Texas,47,57
Oakland,Michigan,58,84
Ohio State,San Francisco,65,76
Oral Roberts,South Carolina State,63,60
Portland State,Washington,65,73
Puerto Rico-Mayaguez,Jacksonville,47,88
Rice,Idaho State,76,46
Robert Morris,St. Bonaventure,76,78
Saint Francis (IN),IUPUI,75,99
Saint Mary's,Binghamton,76,58
San Jose State,Pacific,65,76
Simpson (IA),Drake,72,87
Southern,LSU,59,70
USC,Western Michigan,65,83
Southern Utah,BYU,54,88
Spring Hill,McNeese State,65,78
Toledo,Purdue-Fort Wayne,71,53
Urbana,Bowling Green State,78,103
Valparaiso,Arkansas-Monticello,72,53
Vanderbilt,Belmont,74,59
Villanova,Temple,73,48
Western Carolina,Georgia,67,78
Western Kentucky,Auburn,64,86
Wichita State,La Salle,74,71
Wofford,Tennessee,70,81
Sacred Heart,UConn,64,111
Detroit,Duke,56,67
Old Dominion,UNC,64,90
Western Illinois,Illinois,66,94
Oral Roberts,Oklahoma,68,84
Akron,Cincinnati,66,88
Sacramento State,Stanford,59,77
Elon,Wake Forest,55,97
Saint Francis (PA),Pitt,69,90
Valparaiso,Marquette,70,75
Alabama State,North Carolina A&T,76,43
American,Maryland,48,79
Anderson (SC),Georgia State,62,79
Little Rock,Arizona State,72,89
Arkansas-Monticello,Savannah State,86,67
Arkansas-Pine Bluff,Air Force,40,63
Belhaven (MS),Centenary (LA),72,106
Bluefield College (VA),Radford,79,101
Boston College,Appalachian State,92,67
