Home,Away,Home_Score,Away_Score
Bryant,Indiana,54,97
Maryland,Kentucky,69,72
Slippery Rock,Michigan,62,100
Miami (OH),NC State,59,97
Southeast Missouri State,Kansas,55,74
Georgia State,Duke,55,74
Gardner-Webb,UNC,59,76
Indiana State,UCLA,59,86
Michigan State,UConn,62,66
North Texas,Creighton,51,71
Lehigh,Baylor,77,99
Southern Utah,Gonzaga,65,103
South Alabama,Florida State,76,71
Akron,Coastal Carolina,70,74
Alabama State,Middle Tennessee,53,97
Albion,Oakland,62,96
American,Minnesota,36,72
Arizona Christian,Weber State,52,110
Averett,Campbell,55,74
Belmont,Lipscomb,89,60
Bethune-Cookman,St. Bonaventure,55,65
Binghamton,Loyola (MD),45,71
Boston University,Northeastern,64,65
Brescia,Murray State,43,88
Bucknell,Purdue,70,65
Cal Poly,TCU,46,53
UC-Davis,Oklahoma State,65,73
UC-Merced,Sacramento State,62,96
UC-Riverside,DePaul,59,91
UCSB,LSU,63,77
Charleston Southern,Charlotte,58,68
Cincinnati Christian,Eastern Kentucky,56,89
Colgate,Illinois,55,75
Coppin State,USC,73,87
Denver,Iona,58,65
District of Columbia,Villanova,58,78
Drexel,Kent State,62,66
Duquesne,Albany (NY),66,69
East Texas Baptist,Northwestern State,77,118
Eastern Illinois,Bradley,53,76
Emory,Davidson,67,93
Fairleigh Dickinson,Xavier,75,117
Florida A&M,Houston,76,81
Florida Gulf Coast,VCU,57,80
Fordham,Texas State,76,86
Fresno State,Texas,53,55
Georgia Southern,Valparaiso,54,85
Grambling,Cleveland State,49,92
Greensboro,North Carolina A&T,52,83
Hampton,William & Mary,51,69
Hofstra,Monmouth,62,91
Holy Cross,Old Dominion,46,45
Houston Baptist,Arkansas-Pine Bluff,72,68
Howard Payne,Stephen F. Austin,30,84
Purdue-Fort Wayne,Auburn,50,61
Jacksonville,Georgia,62,68
Kennesaw State,Tennessee,67,76
Lake Erie,Bowling Green State,53,63
Liberty,Richmond,42,84
Longwood,Marshall,47,81
Louisiana College,McNeese State,54,72
Louisiana Tech,Texas A&M,59,71
Mary,Milwaukee,46,76
UMBC,Penn,75,80
Maryland-Eastern Shore,Hawaii,64,76
Marymount (VA),Navy,48,75
MIT,Harvard,54,69
Miles,Alabama A&M,48,68
Mississippi State,Troy,53,56
Mississippi Valley State,Ole Miss,57,93
UMKC,Seton Hall,36,75
Montana,Colorado State,65,72
Montreat,Appalachian State,54,86
Morehead State,LIU-Brooklyn,77,74
Mount St. Mary's,Pitt,48,80
Niagara,Oregon State,83,102
