Home,Away,Home_Score,Away_Score
Grand Canyon,Kentucky,45,85
Mount St. Mary's,Arizona,55,78
Northern Kentucky,Wisconsin,31,62
Presbyterian,Duke,44,113
UCSB,Kansas,59,69
North Carolina Central,UNC,60,76
William & Mary,Florida,45,68
Minnesota,Louisville,68,81
Virginia,James Madison,79,51
North Dakota State,Texas,50,85
New Mexico State,Wichita State,54,71
Villanova,Lehigh,77,66
Sacramento State,Gonzaga,58,104
Oakland,Iowa State,82,93
VCU,Tennessee,85,69
Cal State Northridge,San Diego State,58,79
Bryant,UConn,53,66
Michigan State,Navy,64,59
UMass-Lowell,Ohio State,55,92
Lamar,SMU,54,93
Kennesaw State,Syracuse,42,89
Ball State,Utah,72,90
MIT,Harvard,52,73
Air Force,Army,78,84
Alabama A&M,Dayton,52,76
Alcorn State,California,57,91
Alma,Central Michigan,64,106
American,Temple,37,40
Arkansas-Monticello,North Texas,62,84
Arkansas-Pine Bluff,Hawaii,57,85
Auburn Montgomery,Alabama State,64,105
Austin College,Sam Houston State,52,100
Averett,Longwood,53,79
Barber-Scotia,Campbell,58,97
Belmont,Wright State,70,73
Berry,Lipscomb,70,91
Bethesda University (CA),San Jose State,44,67
Binghamton,Notre Dame,39,82
Black Hills State,Northern Colorado,62,83
Brewton-Parker,Troy,71,85
Cal State Fullerton,Santa Clara,72,89
Cal State Los Angeles,Saint Mary's,67,77
Carroll (MT),South Alabama,64,83
Central Arkansas,Creighton,77,104
Chapman,UC-Irvine,36,87
Charleston Southern,Ole Miss,66,65
Chicago State,Arizona State,50,86
Chowan,UNC Greensboro,62,76
Cleveland State,Iona,73,78
College of Charleston,Furman,75,40
Columbia,Stony Brook,56,57
Concordia (OR),Portland,59,87
Coppin State,Oregon,65,107
Cornell,George Mason,68,60
Drexel,Colorado,48,65
ETSU,Valparaiso,76,90
Eastern Illinois,Missouri State,53,64
Eastern Oregon,Idaho,65,77
Edward Waters,Stetson,61,75
Fairfield,Central Connecticut,71,63
Fairleigh Dickinson,St. Joseph's,58,57
Flagler,South Florida,61,75
Florida A&M,Clemson,41,86
Florida Atlantic,Elon,58,64
Florida College,Florida International,42,64
Fresno State,Pepperdine,74,89
Georgia,Georgia Tech,73,80
Georgia Southern,Illinois,71,80
Grambling,George Washington,40,92
Greensboro,North Carolina A&T,61,91
Hampton,Iowa,56,90
Harris-Stowe,SIU-Edwardsville,56,104
High Point,Cal State Bakersfield,100,99
Hillsdale,Abilene Christian,61,101
Hiwassee,Chattanooga,53,110
Houston,Murray State,77,74
Houston Baptist,Northwestern,58,65
