Home,Away,Home_Score,Away_Score
Oakland,Alabama A&M,79,69
DePaul,Missouri,75,70
Holy Cross,Notre Dame,78,73
Miami (FL),South Carolina,67,69
Temple,Virginia Tech,50,60
Drexel,Buffalo,76,81
Boston University,Georgetown,34,64
Vanderbilt,Indiana,67,60
Oral Roberts,Maryland,72,85
Northeastern,Memphis,65,90
Texas Christian,Miami (OH),60,58
Rice,Missouri State,82,105
Cal State Fullerton,Oregon State,85,83
Hofstra,St. Joseph's,44,53
Denver,San Francisco,67,69
Clemson,Texas A&M,74,82
Davidson,VCU,77,62
Kent State,Western Kentucky,80,88
Houston,Wichita State,69,85
Milwaukee,Alabama,83,73
LSU,Alabama-Birmingham,68,82
Utah State,Arizona,53,66
Penn,Boston College,65,85
Wake Forest,Chattanooga,70,54
Iowa,Cincinnati,64,76
West Virginia,Creighton,63,61
Kentucky,Eastern Kentucky,72,64
Illinois,Fairleigh Dickinson,67,55
Winthrop,Gonzaga,64,74
Washington,Montana,88,77
Texas,Nevada,57,61
Arizona State,UNLV,78,89
Oklahoma,Niagara,84,67
Pitt,Pacific,71,79
Utah,UTEP,60,54
UCLA,Texas Tech,66,78
Kansas,Bucknell,63,64
UConn,UCF,77,71
North Carolina State,Charlotte,75,63
Duke,Delaware State,57,46
Ohio,Florida,62,67
Georgia Tech,George Washington,80,68
Minnesota,Iowa State,53,64
Louisville,Louisiana,68,62
Old Dominion,Michigan State,81,89
Stanford,Mississippi State,70,93
Villanova,New Mexico,55,47
Oakland,UNC,68,96
Wisconsin,Northern Iowa,57,52
Southeastern Louisiana,Oklahoma State,50,63
Southern Illinois,Saint Mary's (CA),65,56
Cal State Fullerton,San Francisco,85,69
Vermont,Syracuse,60,57
Arizona,Alabama-Birmingham,85,63
Milwaukee,Boston College,83,75
Kentucky,Cincinnati,69,60
Texas A&M,DePaul,75,72
Texas Tech,Gonzaga,71,69
Nevada,Illinois,59,71
Virginia Tech,Memphis,62,83
Davidson,Missouri State,82,71
Utah,Oklahoma,67,58
Washington,Pacific,97,79
Buffalo,St. Joseph's,50,55
West Virginia,Wake Forest,111,105
Western Kentucky,Wichita State,81,84
Wisconsin,Bucknell,71,62
North Carolina State,UConn,65,62
Mississippi State,Duke,55,63
Villanova,Florida,76,65
Louisville,Georgia Tech,76,54
UNC,Iowa State,92,65
Vermont,Michigan State,61,72
Southern Illinois,Oklahoma State,77,85
Holy Cross,St. Joseph's,60,68
Wichita State,Vanderbilt,63,65
Texas Christian,Western Michigan,78,76
Cal State Fullerton,Georgetown,57,74
UNLV,South Carolina,66,77
Davidson,Maryland,63,78
Vanderbilt,Memphis,68,81
St. Joseph's,Texas A&M,58,51
Oklahoma State,Arizona,78,79
Milwaukee,Illinois,63,77
Washington,Louisville,79,93
Georgetown,South Carolina,66,69
West Virginia,Texas Tech,65,60
Michigan State,Duke,78,68
Utah,Kentucky,52,62
Villanova,UNC,66,67
Wisconsin,North Carolina State,65,56
Illinois,Arizona,90,89
West Virginia,Louisville,85,93
Texas Christian,Maryland,73,85
Michigan State,Kentucky,94,88
Wisconsin,UNC,82,88
South Carolina,Maryland,75,67
St. Joseph's,Memphis,70,58
South Carolina,St. Joseph's,60,57
Louisville,Illinois,57,72
UNC,Michigan State,87,71
UNC,Illinois,75,70
