Home,Away,Home_Score,Away_Score
Elon,Duke,68,97
North Florida,Michigan State,66,98
Northern Arizona,Arizona,67,101
Tennessee State,Kansas,56,92
Utah Valley,Kentucky,63,73
Columbia,Villanova,60,75
UMKC,Wichita State,57,109
Northern Iowa,UNC,69,86
Cal State Fullerton,USC,42,84
Texas A&M,West Virginia,88,65
Savannah State,Cincinnati,77,107
Gardner-Webb,Miami (FL),45,77
USC Upstate,Minnesota,77,92
Morehead State,Xavier,49,101
Texas Southern,Gonzaga,69,97
Loyola (MD),Northwestern,75,79
SIU-Edwardsville,Purdue,74,105
Georgia Tech,UCLA,60,63
Fairleigh Dickinson,Seton Hall,68,90
Central Arkansas,Baylor,66,107
Alabama State,Mississippi State,68,96
Alcorn State,LSU,59,99
American,Kansas State,45,83
Antelope Valley,San Jose State,45,97
Arkansas-Pine Bluff,Hawaii,70,82
Arkansas State,Evansville,63,77
Army,Hofstra,74,77
Austin Peay,Vanderbilt,54,73
Avila,Oral Roberts,72,86
Ball State,Dayton,77,78
Belmont,Washington,82,86
Bob Jones University,Furman,48,101
Bowling Green State,Drexel,78,69
Brescia,Murray State,61,118
Bridgewater (VA),James Madison,50,80
Bryant,Georgia,54,79
Bucknell,Monmouth,78,79
Cairn,Delaware State,50,71
Cal Poly,Stanford,62,78
UC-Irvine,South Dakota State,54,65
UC-Riverside,California,74,66
UC-Santa Cruz,Fresno State,65,96
Campbell,Penn State,75,86
Carver Bible,Georgia State,50,90
Centenary (LA),Southeastern Louisiana,67,99
Central Connecticut,Hartford,84,85
Charleston Southern,Davidson,62,110
Chattanooga,Wyoming,65,74
Chicago State,Iowa,62,95
CCNY,Rutgers,38,94
Clarks Summit,Liberty,42,87
Colgate,UConn,58,70
Coppin State,Oregon,54,70
Cornell,Syracuse,45,77
Delaware,Richmond,76,63
Detroit,Virginia Tech,79,111
East Central,New Mexico State,55,81
ETSU,Northern Kentucky,63,81
Eastern Kentucky,Rice,73,72
Eastern Oregon,Boise State,65,104
Emory,Lipscomb,83,98
Eureka,North Texas,65,122
Florida A&M,Grand Canyon,51,67
Florida Atlantic,South Florida,59,60
Florida Memorial,Florida International,47,70
Georgia Southern,Wake Forest,85,83
Georgia Southwestern,Radford,63,72
Grambling,VCU,65,94
Greensboro,North Carolina A&T,80,104
Hampton,Rider,75,90
Hillsdale,Abilene Christian,68,86
Holy Cross,Sacred Heart,69,64
Houston Baptist,Providence,55,84
Howard,George Washington,75,84
Idaho,Nevada,64,88
Idaho State,Arizona State,74,94
Indiana State,Indiana,90,69
Iona,Albany (NY),67,69
Iowa State,Missouri,59,74
Purdue-Fort Wayne,Oakland,71,85
Jacksonville,Alabama-Birmingham,67,96
Johnson University,Bethune-Cookman,66,108
Kennesaw State,Butler,64,82
La Verne,Santa Clara,70,120
Lafayette,George Mason,65,67
Lamar,Tulsa,74,67
Life Pacific,Cal State Northridge,50,76
Long Beach State,San Francisco,83,71
LIU-Brooklyn,Tulane,96,102
Louisiana College,UTEP,50,100
Louisiana,Ole Miss,76,94
Louisiana-Monroe,TCU,73,83
Maine,Boston College,65,85
Maryland,Stony Brook,76,61
UMBC,SMU,67,78
MIT,Harvard,64,73
UMass-Lowell,UMass,69,74
McNeese State,Houston,53,81
Memphis,Alabama,70,82
Mercer,UCF,79,88
Methodist,Charlotte,76,116
Miami (OH),Fordham,55,54
Midway,Tennessee Tech,56,94
Millsaps,Jackson State,46,84
Missouri Baptist University,Southeast Missouri State,69,81
Missouri State,Western Kentucky,85,80
Morgan State,Binghamton,59,76
Mount St. Mary's,Marquette,59,80
Omaha,Montana State,80,89
New Orleans,St. John's (NY),61,77
Niagara,St. Bonaventure,77,75
Nicholls State,Texas-Rio Grande Valley,111,106
Norfolk State,Auburn,74,102
UNC Asheville,Rhode Island,60,84
North Carolina Central,UIC,55,65
UNC Greensboro,Virginia,48,60
North Park,Valparaiso,46,88
Northeastern,Boston University,65,59
Northern Colorado,Colorado,51,66
Northwestern State,Texas,59,105
Oglethorpe,Citadel,73,109
Our Lady of the Lake,Texas A&M-Corpus Christi,68,69
Pepperdine,Oklahoma State,47,78
Piedmont,Coastal Carolina,50,102
Pitt,Navy,62,71
Prairie View,Utah,62,83
Presbyterian,Tennessee,53,88
Robert Morris,Ohio State,64,95
Sacramento State,Colorado State,61,72
Samford,Arkansas,56,95
San Diego Christian,San Diego State,52,91
Seattle,Saint Louis,46,62
Siena,College of Charleston,60,68
Siena Heights,Central Michigan,48,108
South Alabama,Texas Tech,50,75
South Carolina,Wofford,73,52
South Carolina State,Wisconsin,50,85
Southern,Illinois,55,102
Southern Illinois,Winthrop,81,66
Southern-New Orleans,Southern Miss,69,79
Southern Utah,Oregon State,82,99
Southwestern,Incarnate Word,71,87
Spring Arbor,Eastern Michigan,60,92
UT-Martin,Marshall,91,102
Tennessee Wesleyan,Jacksonville State,42,100
Texas-Tyler,Louisiana Tech,71,112
Towson,Old Dominion,54,57
Trevecca Nazarene,Middle Tennessee,52,104
Troy,North Dakota,80,83
Utah State,Weber State,59,65
Valley Forge,Maryland-Eastern Shore,69,95
VMI,NC State,67,102
Walla Walla,Eastern Washington,61,82
Webber,Stetson,89,98
Western Carolina,Clemson,57,85
Wheelock,New Hampshire,39,95
Whittier,Cal State Bakersfield,66,88
Whitworth,Montana,60,72
William & Mary,High Point,66,100
Wisconsin-La Crosse,Milwaukee,73,83
Wright State,Loyola (IL),80,84
Yale,Creighton,76,92
Utah Valley,Duke,69,99
Notre Dame,DePaul,72,58
Saint Francis (PA),Saint Mary's,68,85
Alabama A&M,Ohio,53,61
Canisius,Buffalo,75,80
Cleveland State,Akron,57,67
Coe,Drake,54,101
Dartmouth,Quinnipiac,77,78
Eastern Illinois,Nebraska,68,72
Florida A&M,UNLV,66,108
Illinois State,Florida Gulf Coast,87,98
IUPUI,Bradley,53,68
Johnson University,Presbyterian,87,107
Johnson & Wales (RI),Brown,78,106
Lehigh,Marist,84,76
Loyola Marymount,Texas-Arlington,80,85
Mayville State,South Dakota,59,87
Mississippi Valley State,BYU,61,91
North Carolina Wesleyan,UNC Wilmington,81,105
North Dakota State,UCSB,66,85
North Florida,Michigan,66,86
Northern New Mexico,New Mexico,76,147
Ouachita,Little Rock,81,79
Peace,Elon,53,96
Penn,Fairfield,72,80
Portland State,Portland,80,75
St. Joseph's,Toledo,87,98
Saint Mary's (MN),Western Illinois,68,109
St. Peter's,La Salle,40,61
Siena Heights,Western Michigan,72,103
St. Francis (NY),Duquesne,70,80
Stephen F. Austin,Longwood,74,61
Texas-Tyler,Sam Houston State,51,91
Toccoa Falls,Appalachian State,34,135
Wagner,NJIT,60,49
Youngstown State,Kent State,78,111
UMBC,Arizona,78,103
Vermont,Kentucky,69,73
Navy,Miami (FL),55,89
George Mason,Louisville,61,72
Chicago State,Purdue,42,111
