Home,Away,Home_Score,Away_Score
UNC Asheville,Kentucky,57,89
McNeese State,Michigan State,56,98
Davidson,Duke,77,111
Louisiana-Monroe,Kansas,63,80
Cal Poly,Arizona,62,73
UMass-Lowell,Michigan,42,69
Cornell,Syracuse,60,82
Mississippi Valley State,Oklahoma State,62,117
North Florida,Florida,69,77
Oakland,UNC,61,84
Illinois State,VCU,58,96
Southern,Marquette,56,63
Maryland,UConn,77,78
Oregon,Georgetown,82,75
Wisconsin,St. John's (NY),86,75
Miami (OH),Notre Dame,62,74
Drexel,UCLA,67,72
James Madison,Virginia,41,61
Colorado,Baylor,60,72
Alabama State,Illinois,63,80
Albany (NY),Siena,74,62
Albion,Eastern Michigan,45,77
Alcorn State,Creighton,61,107
American,George Mason,60,63
Appalachian State,NC State,77,98
Arizona Christian,Southern Utah,78,85
Army,Air Force,68,79
Ave Maria,Florida Atlantic,51,86
Belmont,Lipscomb,87,83
Bethesda,Santa Clara,39,84
Boston College,Providence,78,82
Bucknell,Stanford,68,72
Buffalo,Texas A&M,58,82
Cal State Bakersfield,Washington State,56,62
Caldwell,Fairleigh Dickinson,71,89
UC-Davis,Portland,83,100
UC-Riverside,San Diego State,41,77
UC-Santa Cruz,Sacramento State,43,73
Chicago State,Indiana,72,100
Citadel,VMI,71,82
Coastal Carolina,Akron,63,72
Colgate,Wake Forest,78,89
Colorado-Colorado Springs,Colorado State,70,99
Columbia International,Georgia Southern,74,110
Columbus State,Alabama-Birmingham,56,76
Coppin State,California,64,83
Covenant,Chattanooga,56,119
Delaware,Richmond,69,71
Detroit,South Alabama,58,74
ETSU,Charlotte,75,80
Emporia State,UMKC,81,76
Evergreen State,Utah,44,128
Florida A&M,Rutgers,84,92
Florida Gulf Coast,Nebraska,55,79
Florida International,Eastern Kentucky,61,83
Fresno State,UC-Irvine,98,97
Gardner-Webb,Xavier,59,83
Greensboro,North Carolina A&T,64,91
Hawaii Pacific,UCSB,50,76
High Point,UNC Greensboro,74,82
Hope International,Cal State Northridge,74,86
Houston Baptist,Texas Tech,61,76
Huston-Tillotson,Texas A&M-Corpus Christi,45,79
IUPUI,Utah Valley,66,74
Jackson State,Southern Miss,51,67
Jacksonville,Florida State,67,91
Jacksonville State,Bradley,65,72
Johnson University,Charleston Southern,51,130
Lafayette,Villanova,59,75
Lehigh,Minnesota,62,81
LeTourneau,Northwestern State,76,92
Louisiana Tech,Saint Mary's,70,83
Loyola Marymount,Grand Canyon,78,75
Loyola (MD),Binghamton,79,74
Maine,Rhode Island,77,97
Manchester,Central Michigan,49,101
Marist,Stony Brook,55,71
Martin Methodist,Samford,62,79
UMBC,Arizona State,61,96
Mercer,Texas,73,76
Milwaukee,Loyola (IL),72,76
Missouri State,Old Dominion,79,67
Monmouth,Hofstra,88,84
Mount St. Mary's,West Virginia,62,77
Murray State,Valparaiso,74,77
Navy,Towson,45,72
Omaha,Northern Illinois,68,66
Nicholls State,Auburn,54,76
NJIT,Tulane,64,75
North Carolina Central,Cincinnati,61,74
North Carolina Wesleyan,East Carolina,51,97
UNC Wilmington,Iowa,39,82
Northern Colorado,Kansas State,60,58
Northern Kentucky,Purdue,76,77
Northwood (TX),North Texas,67,72
Notre Dame de Namur,San Francisco,57,95
Oakland City,Austin Peay,69,84
Ohio Northern,Kent State,48,84
Oklahoma,Alabama,82,73
Pacific,Nevada,80,78
Portland State,UNLV,48,67
Prairie View,Mississippi State,56,71
Presbyterian,Georgia Tech,57,88
Radford,George Washington,54,76
Randolph,Liberty,53,74
Saint Francis (PA),Fordham,67,87
Sam Houston State,Texas-Rio Grande Valley,77,73
Savannah State,Pitt,55,88
Sewanee,Furman,49,66
Shenandoah,Campbell,62,87
South Carolina State,Marshall,69,85
South Dakota State,San Diego,70,74
Southeast Missouri State,Saint Louis,64,87
Southeastern Louisiana,Missouri,53,89
USC,Utah State,65,78
SIU-Edwardsville,Arkansas,65,99
St. Francis (NY),Miami (FL),66,62
Stetson,Clemson,51,71
Tampa,UCF,72,97
UT-Martin,Wyoming,60,78
Tennessee State,Hawaii,55,85
Texas-Arlington,Boise State,87,116
TCU,SMU,61,69
Texas State,Houston,70,76
Texas-Tyler,Stephen F. Austin,64,90
Troy,Ole Miss,54,69
Viterbo University,North Dakota State,49,93
Washington College,Howard,52,69
Washington & Lee,Elon,64,114
Weber State,BYU,72,81
Western Michigan,New Mexico State,70,64
William & Mary,Hampton,69,77
Wittenberg,Western Carolina,55,77
Wofford,Georgia,52,72
Youngstown State,Kennesaw State,73,57
College of Charleston,Louisville,48,70
Morgan State,Ohio State,50,89
Bryant,Gonzaga,76,100
Emporia State,Wichita State,50,93
Alabama A&M,New Mexico,52,88
Abilene Christian,Duquesne,75,94
Air Force,VMI,63,71
Ball State,Indiana State,73,82
Cairn,Delaware State,48,107
Cal State Fullerton,Montana State,84,55
Citadel,Army,69,84
Drake,UIC,61,59
