Home,Away,Home_Score,Away_Score
Bethune-Cookman,Syracuse,37,68
Cornell,Saint Francis (PA),75,54
Cornell,Syracuse,62,67
Albany (NY),Oakland,90,73
Bethune-Cookman,Saint Francis (PA),63,52
St. Peter's,Florida,51,80
Mississippi Valley State,Wake Forest,64,78
Albany (NY),Florida,64,83
George Mason,UC-Irvine,79,56
Georgia Southern,Portland,89,75
Oakland,St. Peter's,72,69
Radford,Virginia Tech,50,80
San Jose State,Texas Tech,54,88
Western Carolina,Bowling Green State,56,50
George Mason,Wake Forest,78,83
UC-Irvine,Mississippi Valley State,94,40
Georgia Southern,Texas Tech,61,74
San Jose State,Portland,82,53
Louisiana-Monroe,West Virginia,69,88
Bowling Green State,Virginia Tech,72,71
Radford,Western Carolina,69,56
Wofford,Fairleigh Dickinson,73,62
South Dakota State,Kentucky,54,71
Wofford,West Virginia,41,61
Air Force,Northern Arizona,62,49
Alabama State,Wyoming,54,69
Charlotte,Coppin State,82,65
Fairleigh Dickinson,Louisiana-Monroe,74,58
Green Bay,UNC Greensboro,71,48
Lipscomb,Northern Colorado,72,60
Miami (FL),Texas-Arlington,76,65
Morgan State,Washington,51,118
UNC Wilmington,Butler,75,59
Northwestern,Lehigh,61,59
Radford,Bowling Green State,81,63
Western Carolina,Virginia Tech,40,54
Boston University,Duke,47,64
Lipscomb,Kentucky,49,67
Maryland-Eastern Shore,Iowa,41,86
Air Force,Miami (FL),57,53
Butler,Alabama State,70,61
Colgate,Utah Valley,55,42
Drexel,Princeton,54,41
Green Bay,Washington,54,87
Lehigh,Coppin State,65,64
Manhattan,Seton Hall,52,66
UNC Greensboro,Morgan State,62,49
UNC Wilmington,Wyoming,62,59
Northwestern,Charlotte,61,47
Sam Houston State,Missouri,80,77
South Dakota State,Northern Colorado,61,59
Texas-Arlington,Northern Arizona,68,59
Southern,Texas,56,89
Milwaukee,Memphis,52,79
Miami (OH),Alabama,58,64
New Mexico State,UCLA,70,83
Colgate,Iowa,51,73
Air Force,Washington,74,85
Alabama State,Coppin State,68,67
Army,Temple,37,69
Butler,Lehigh,66,41
Charlotte,Wyoming,78,87
Maryland-Eastern Shore,Utah Valley,75,72
Miami (FL),Green Bay,80,54
UNC Greensboro,Texas-Arlington,61,49
UNC Wilmington,Northwestern,56,48
Northern Arizona,Morgan State,71,51
Samford,Sacramento State,52,49
Texas College,Grambling,70,88
Seton Hall,Duke,40,93
Samford,Texas,33,77
