Home,Away,Home_Score,Away_Score
Valparaiso,Arizona,64,73
Eastern Kentucky,Mississippi State,66,76
William & Mary,St. John's (NY),59,74
Duquesne,Arizona,59,67
Akron,Mississippi State,68,58
Lehigh,St. John's (NY),73,78
Liberty,Texas A&M,59,81
Army,Air Force,71,87
North Florida,Alabama,44,64
Appalachian State,Montana State,90,72
Arizona State,South Carolina Upstate,78,63
Arkansas,McNeese State,83,62
Auburn,Texas Southern,84,57
Baylor,Boise State,77,95
Northeastern,Boston University,82,74
Howard,Bowling Green State,48,63
Brown,St. Peter's,86,65
Buffalo,Cal State Fullerton,72,118
UC-Irvine,University of California,56,77
Southern Utah,UC-Davis,76,75
UC-Riverside,UCSB,72,74
Houston Baptist,Campbell,68,82
Yale,Central Connecticut,73,69
North Carolina Central,Charlotte,57,73
Virginia Military Institute,Citadel,103,100
Gardner-Webb,Clemson,44,65
Coastal Carolina,Holy Cross,96,69
College of Charleston,Colorado,78,85
Montana,Colorado State,58,64
Columbia,UConn,57,70
Coppin State,North Carolina A&T,80,65
Creighton,Davidson,97,111
Portland State,Denver,61,69
Texas-Rio Grande Valley,DePaul,72,91
Detroit,Belmont,95,76
Duke,East Carolina,77,101
UIC,Eastern Michigan,57,68
Quinnipiac,Fairfield,60,72
Jackson State,Florida,59,99
Jacksonville,Florida State,67,79
Illinois State,Fresno State,47,55
Furman,Rhode Island,75,90
George Mason,Maryland-Eastern Shore,92,48
George Washington,Wofford,64,49
Georgia,Valparaiso,62,90
Georgia Southern,Florida A&M,81,59
Georgia Tech,Eastern Washington,92,69
Gonzaga,Green Bay,77,94
Sacred Heart,Hartford,70,50
Harvard,LIU-Brooklyn,76,71
Hofstra,Loyola (IL),89,49
Illinois,Stony Brook,67,66
Indiana,Eastern Illinois,96,72
Indiana State,Chicago State,79,53
Iowa,IUPUI,96,101
Jacksonville State,Towson,87,54
Kansas,Charleston Southern,100,67
Kansas State,Marist,72,58
Kentucky,Lafayette,108,53
La Salle,Arkansas State,79,62
Lamar,Liberty,65,81
Lipscomb,Navy,96,78
Longwood,Northern Arizona,70,66
Louisiana,UT-Martin,83,48
Louisville,Mount St. Mary's,83,37
Marquette,Alabama State,91,49
Marshall,Penn,67,59
UMBC,Elon,45,67
UMass,Tennessee Tech,85,58
Miami (FL),Michigan,69,59
UNC,Michigan State,67,55
Austin Peay,Middle Tennessee,71,80
Bucknell,Minnesota,58,70
Louisiana-Monroe,Ole Miss,38,60
Southeast Missouri State,Missouri,68,83
UMKC,Murray State,62,76
South Dakota,Nebraska,48,65
Missouri State,Nevada,68,46
UNLV,New Hampshire,83,85
New Mexico,North Carolina-Asheville,92,75
North Carolina State,North Texas,84,81
Northwestern State,Wright State,87,42
Ohio State,Idaho State,73,74
Oklahoma,Texas A&M-Corpus Christi,78,39
Oklahoma State,Albany (NY),71,56
Pitt,Presbyterian,89,103
Northern Illinois,Purdue,34,96
Delaware,Radford,54,58
American,Richmond,56,66
Rider,Robert Morris,57,83
Dartmouth,Rutgers,56,62
Sacramento State,Tennessee State,70,37
Saint Louis,Saint Mary's (CA),71,98
Bryant,San Diego State,63,75
North Dakota State,San Francisco,73,65
Santa Clara,Western Carolina,80,50
South Carolina,South Carolina State,75,70
Southern,Cal State Northridge,67,59
USC,SMU,66,78
Cornell,St. Bonaventure,58,79
Central Arkansas,Stanford,52,91
Stephen F. Austin,Bethune-Cookman,84,60
Stetson,North Carolina-Greensboro,65,63
Tennessee,Florida Gulf Coast,92,72
Texas Christian,UTSA,73,73
