Home,Away,Home_Score,Away_Score
Alabama,Oklahoma,68,62
Memphis,Syracuse,70,63
Texas,Georgia,77,71
Marquette,Villanova,73,61
Eastern Washington,Wisconsin,55,81
Northern Illinois,Winthrop,56,50
Eastern Washington,Winthrop,75,61
Florida Atlantic,Cleveland State,71,66
Purdue-Fort Wayne,Colorado State,62,80
Northern Illinois,Wisconsin,56,84
Belmont,Notre Dame,48,76
Furman,Alabama State,74,73
IUPUI,Brown,66,65
Texas-Arlington,Creighton,50,106
St. Peter's,Xavier,48,87
Belmont,Brown,83,77
Boston University,Stanford,57,61
Cleveland State,Purdue-Fort Wayne,78,71
Columbia,Rutgers,36,60
Eastern Illinois,Boise State,73,59
Florida Atlantic,Colorado State,56,81
Furman,Creighton,57,82
IUPUI,Notre Dame,45,89
Penn State,UNC,55,85
Texas-Arlington,Alabama State,59,47
Holy Cross,Kansas,57,81
Louisiana Tech,Florida,55,76
Cleveland State,Colorado State,63,77
Florida Atlantic,Purdue-Fort Wayne,93,86
Wagner,UNC Greensboro,65,84
Xavier,Stanford,62,63
Rutgers,UNC,67,71
Eastern Illinois,Florida,65,99
Green Bay,Alaska-Fairbanks,55,78
Nebraska,Centenary (LA),68,45
UNC Greensboro,Kansas,66,105
Alabama State,Alabama,56,82
UC-Irvine,Oklahoma,65,87
UNC Asheville,Michigan State,52,66
Coppin State,Marquette,46,64
American,Missouri,57,72
Hofstra,Gonzaga,61,69
Albany (NY),Siena,75,79
Alcorn State,Southern Miss,70,78
Little Rock,Hawaii,65,81
Austin Peay,Memphis,81,80
Ball State,Jacksonville State,72,64
Birmingham-Southern,Alabama-Birmingham,53,71
BYU,Toledo,71,56
Bucknell,Notre Dame,42,73
Butler,Purdue-Fort Wayne,69,53
Cal Poly,Colorado,69,97
Cal State Northridge,Portland State,65,69
UC-Riverside,USC,67,81
UCF,Navy,56,68
Chattanooga,Samford,68,66
Coastal Carolina,Western Carolina,77,72
Colgate,Marist,65,72
College of Charleston,Charleston Southern,84,70
Cornell,Buffalo,78,72
Dartmouth,Lehigh,62,68
Delaware,La Salle,56,73
Delaware State,West Virginia,46,59
Drexel,Villanova,41,64
East Carolina,Middle Tennessee,65,63
Florida Atlantic,Drake,62,74
Fordham,William & Mary,79,76
Gardner-Webb,Tennessee,69,71
George Mason,Central Michigan,58,61
