Home,Away,Home_Score,Away_Score
Florida International,UNC,72,88
Murray State,California,70,75
Alcorn State,Ohio State,60,100
Albany (NY),Syracuse,43,75
North Carolina Central,UNC,42,89
Detroit,California,61,95
Robert Morris,Syracuse,60,100
James Madison,Ohio State,44,72
Georgia State,NC State,53,69
Hofstra,Kansas,65,101
Florida Gulf Coast,Michigan State,58,97
Morehead State,Kentucky,59,75
Fairleigh Dickinson,Villanova,61,84
Cal State Northridge,Purdue,64,89
UNC Greensboro,Duke,62,96
Austin Peay,Tennessee,54,83
William & Mary,UConn,66,75
Wright State,Washington,69,74
Rider,Mississippi State,88,74
Georgetown,Tulane,74,58
SIU-Edwardsville,Illinois,69,96
Presbyterian,Clemson,41,84
Tennessee Tech,Minnesota,50,87
Alabama A&M,South Carolina,50,88
Alabama-Birmingham,Green Bay,68,56
Alcorn State,Arkansas,68,130
American,Saint Francis (PA),61,65
Angelo State,Texas A&M,69,88
Little Rock,Ole Miss,64,92
Arkansas-Pine Bluff,Colorado,72,88
Army,VMI,86,93
Averett,Stetson,65,70
Azusa Pacific,Milwaukee,73,89
Belmont,Portland State,74,67
Bethune-Cookman,VCU,51,77
Boise State,Loyola Marymount,90,87
Boston University,Iona,73,82
Bradley,BYU,60,70
Brevard,North Carolina A&T,63,92
Brown,St. Francis (NY),68,64
Bryant,Providence,53,96
Cal Poly,San Francisco,62,73
Cameron,North Texas,62,80
Centenary (LA),Marquette,62,85
Central Connecticut,Fairfield,58,67
Charleston Southern,Maryland,51,89
Cleveland State,St. Bonaventure,62,72
College of Charleston,Coastal Carolina,59,70
Colorado State,UC-Davis,91,73
Concordia (IL),Chicago State,61,81
Dartmouth,Boston College,58,89
Drexel,St. Joseph's,67,77
East Texas Baptist,Northwestern State,54,77
Erskine,South Carolina State,53,56
Florida International,Monmouth,70,99
Florida Tech,Florida Atlantic,63,86
Harvard,Holy Cross,87,77
Hendrix,Central Arkansas,40,68
Howard,Indiana,60,83
Howard Payne,Texas State,67,102
Huston-Tillotson,Lamar,57,80
Idaho,Utah,94,87
Idaho State,Iowa State,68,88
Jackson State,Memphis,53,82
Kenyon,Citadel,45,64
King (TN),Middle Tennessee,73,93
La Verne,UC-Irvine,54,82
Lees-McRae,Furman,49,88
Lehigh,Richmond,53,65
Liberty,George Mason,72,76
Lincoln (PA),Coppin State,69,76
LIU-Brooklyn,St. John's (NY),70,83
Longwood,Virginia,72,85
Louisiana-Monroe,LSU,62,82
Loyola (IL),Kansas State,54,92
Maine,Fordham,76,73
UMass,UCF,67,84
Mercer,Bucknell,89,80
Miami (OH),Towson,71,82
Mid-America Christian,TCU,69,74
Mississippi Valley State,Washington State,66,94
Morgan State,Albany (NY),69,65
Navy,Radford,65,76
Nebraska-Kearney,Indiana State,58,88
New Mexico State,Saint Mary's,68,100
New Orleans,Georgia,59,67
Niagara,Auburn,65,69
Nicholls State,Duquesne,62,85
Norfolk State,Baylor,58,86
UNC Asheville,Charlotte,70,86
UNC Wilmington,Appalachian State,68,79
North Dakota,Montana,37,61
