Home,Away,Home_Score,Away_Score
Maryland,Arizona,67,71
Temple,Florida,64,72
Temple,Maryland,74,82
Florida,Arizona,71,75
Detroit,Michigan State,70,80
Manhattan,Syracuse,58,78
Central Connecticut,Oklahoma,44,66
Fordham,DePaul,61,70
Maine,Arkansas,47,64
UNC Wilmington,Wake Forest,78,79
UT-Martin,Missouri,63,89
Maryland-Eastern Shore,Iowa,59,89
Wofford,Memphis,61,88
Wyoming,USC,55,68
Mississippi Valley State,Alabama,67,107
Loyola Marymount,Samford,60,72
Montana State,Fresno State,70,92
New Orleans,Boston University,63,69
Sacramento State,Old Dominion,52,69
Yale,Air Force,62,68
Air Force,Missouri,58,86
Boston University,Iowa,61,90
Old Dominion,Memphis,66,91
Oklahoma,Michigan State,55,67
DePaul,Syracuse,60,74
Samford,Alabama,51,83
Fairleigh Dickinson,San Jose State,57,65
Mississippi Valley State,Loyola Marymount,65,74
New Orleans,Maryland-Eastern Shore,46,48
Prairie View,NC State,51,95
Rutgers,East Carolina,74,79
Sacramento State,Wofford,46,56
VCU,Northwestern,73,78
Yale,UT-Martin,87,99
Western Kentucky,Kentucky,64,52
St. Joseph's,Eastern Washington,67,68
USC,Fresno State,58,65
Alabama State,Oregon,52,92
Fairleigh Dickinson,Prairie View,66,77
Marshall,George Washington,64,69
Ole Miss,Bowling Green State,78,82
Northwestern,East Carolina,68,71
Princeton,California,58,70
Rutgers,VCU,58,71
San Jose State,NC State,56,78
Washington,Alaska-Fairbanks,82,70
Western Michigan,Long Beach State,64,71
Gonzaga,Illinois,58,76
Marshall,Kentucky,73,90
Florida State,Florida,47,68
Princeton,St. Joseph's,63,74
Wagner,Virginia,74,105
Marymount (VA),Georgetown,47,108
Cincinnati,Oklahoma State,62,69
Hampton,UNC,77,69
Alabama State,Long Beach State,55,74
Appalachian State,Richmond,61,62
Little Rock,UMass,60,66
Arkansas-Monticello,UTEP,55,88
Belmont,Southern Illinois,71,82
Birmingham-Southern,Southeast Missouri State,62,51
Bucknell,Central Connecticut,55,68
Cal Poly,Northern Arizona,57,75
Cameron,Oral Roberts,75,71
Central Methodist,Arkansas State,75,107
Cleveland State,IUPUI,65,82
College of Charleston,Charleston Southern,76,48
Cornell,Canisius,48,65
Dartmouth,Binghamton,46,49
Davidson,Charlotte,51,65
Drexel,Marist,67,75
East Carolina,NC State,47,71
Eastern Washington,California,27,56
Evergreen State,Montana,77,80
Fairfield,Harvard,62,68
Fairleigh Dickinson,Rutgers,66,70
Florida A&M,Georgia Tech,62,97
Florida Tech,Jacksonville,67,77
Fort Lewis,Southern Utah,69,86
Furman,Georgia,62,75
George Washington,Western Kentucky,48,73
Guilford,ETSU,61,90
Hartford,Delaware State,57,69
High Point,Auburn,59,63
Howard,Mercer,76,68
Lander,Winthrop,58,60
Lehigh,St. Francis (NY),91,100
Liberty,Vanderbilt,61,96
Louisiana College,Southeastern Louisiana,56,89
Loyola (LA),Tulane,47,87
Maine,UTSA,56,73
Mary Washington,VMI,51,76
Missouri State,North Texas,77,79
Montana Tech,Denver,65,83
Montana Western,Idaho,72,86
Morehead State,Purdue-Fort Wayne,82,73
Morgan State,Pitt,55,76
Navy,Rice,72,75
New Hampshire,Notre Dame,53,95
Norfolk State,Hawaii,52,76
UNC Asheville,West Virginia,57,83
North Carolina A&T,Elon,82,94
Northeastern,Columbia,54,66
Northern Georgia,Georgia Southern,51,85
Northern Iowa,San Diego State,57,71
Northwestern State,TCU,79,93
Oakland,Michigan,73,81
Prairie View,VCU,66,82
