Home,Away,Home_Score,Away_Score
UNC,Temple,91,67
Albany (NY),Kentucky,65,78
Mount St. Mary's,Maryland,56,80
Northern Colorado,Kansas,72,109
Siena,Duke,74,92
Morgan State,Virginia,48,86
Colorado,Iowa State,62,68
Charleston Southern,Wichita State,63,88
Fairleigh Dickinson,Villanova,54,91
Pacific,Arizona,61,79
Florida Atlantic,Michigan State,55,82
Rice,California,65,97
Eastern Illinois,Indiana,49,88
Southern Utah,Utah,71,82
Western Illinois,Wisconsin,69,67
Austin Peay,Vanderbilt,41,80
Saint Francis (PA),Notre Dame,56,87
Maine,UConn,56,100
McNeese State,LSU,70,81
Stephen F. Austin,Baylor,55,97
North Carolina A&T,Purdue,40,81
Northern Michigan,Michigan,44,70
Air Force,Southern Illinois,75,77
Alabama A&M,Tulane,68,67
Alabama-Birmingham,Auburn,74,75
Allen,Mercer,70,96
American,Rhode Island,42,65
Arkansas-Pine Bluff,Seattle,58,56
Arkansas State,SIU-Edwardsville,70,79
Auburn Montgomery,South Alabama,68,88
Austin College,Lamar,58,101
Ball State,Bradley,53,54
Belmont,Marquette,83,80
Binghamton,St. Bonaventure,53,63
Boise State,Montana,72,74
Bristol University,Wyoming,62,101
Brown,St. Peter's,65,77
Cal Poly,UNLV,72,74
Cal State Fullerton,Loyola Marymount,74,79
Cal State Northridge,Northern Illinois,71,83
UC-San Diego,UC-Irvine,73,89
UCSB,Omaha,60,59
Canisius,Hofstra,85,96
Chadron State,South Dakota State,52,87
Chattanooga,Georgia,92,90
Cincinnati Christian,Morehead State,51,87
Colgate,George Mason,66,53
Coppin State,Eastern Kentucky,80,107
Cornell,Georgia Tech,81,116
Covenant,Liberty,62,64
Dartmouth,Seton Hall,67,84
Delaware,Delaware State,62,56
Drexel,St. Joseph's,81,82
Eastern Washington,Mississippi State,88,106
Elon,Charlotte,85,74
Fairfield,Yale,57,70
Ferrum,Army,54,93
Florida,Navy,59,41
Florida National University,Savannah State,69,87
Gardner-Webb,Iowa,59,76
Grambling,East Carolina,53,61
Great Falls,Idaho State,72,78
Green Bay,Stanford,89,93
Harris-Stowe,Murray State,55,105
Hartford,Central Connecticut,92,83
High Point,Texas Tech,73,77
Holy Cross,Marist,67,64
Houston Baptist,New Mexico State,69,91
Illinois State,San Diego State,60,71
Illinois Tech,Chicago State,59,137
Purdue-Fort Wayne,Valparaiso,64,78
IUPUI,Indiana State,72,70
Jackson State,Oregon,52,80
Jacksonville State,Central Michigan,83,89
James Madison,Richmond,87,75
Jarvis Christian,North Texas,82,112
Johnson University,Florida A&M,71,103
Kean,Columbia,62,107
Kennesaw State,Alabama,64,77
Lafayette,George Washington,76,85
Lehigh,Syracuse,47,57
Lipscomb,Santa Clara,65,63
Louisiana College,Louisiana,68,108
Lyndon State,New Hampshire,45,82
UMBC,Wake Forest,73,78
Maryland-Eastern Shore,Kansas State,53,80
MIT,Harvard,39,59
UMass-Lowell,Northwestern,57,79
McMurry,Louisiana-Monroe,43,88
Miami (OH),Xavier,72,81
Middle Georgia State,Georgia State,54,73
Milligan,UNC Wilmington,62,100
Millsaps,Louisiana Tech,33,95
Milwaukee,Denver,71,58
Minnesota-Morris,North Dakota,69,99
UMKC,Minnesota,58,76
Missouri State,Oral Roberts,65,80
Monmouth,UCLA,84,81
Montana State,Hawaii,76,87
Montreat,Campbell,42,87
Nevada,Coastal Carolina,73,56
Niagara,Old Dominion,50,67
UNC Asheville,Tennessee,78,82
North Carolina Central,Clemson,40,74
North Dakota State,UC-Davis,79,71
North Florida,Illinois,93,81
Northeastern,Boston University,87,84
Northern Arizona,Washington State,70,82
Northern Kentucky,West Virginia,61,107
Northwestern State,Ole Miss,76,90
Oregon Tech,Portland,81,98
Our Lady of the Lake,Texas A&M-Corpus Christi,72,94
Pepperdine,Fresno State,66,69
Pittsburgh-Bradford,Buffalo,49,109
Portland State,Grand Canyon,72,82
Prairie View,VCU,50,75
Presbyterian,Furman,53,63
Princeton,Rider,64,56
Quinnipiac,Sacred Heart,64,76
Randolph,Longwood,49,69
Robert Morris,Penn,75,76
Rutgers-Newark,Rutgers,59,72
Sacramento State,Arizona State,66,63
Samford,Louisville,45,86
San Diego,USC,45,83
San Francisco,UIC,78,75
San Francisco State,Saint Mary's,56,80
Seton Hill,Duquesne,71,96
Shenandoah,Bucknell,61,107
Simpson,Drake,52,97
South Carolina State,College of Charleston,54,74
USC Upstate,Texas A&M,64,104
South Dakota,Wright State,69,77
Southeast Missouri State,Dayton,53,84
Southeastern Louisiana,TCU,77,90
Southern,Arkansas,68,86
UT-Martin,Oklahoma State,57,91
Tennessee State,Loyola (MD),86,71
Texas,Washington,71,77
Texas Lutheran,Incarnate Word,65,86
Texas-Rio Grande Valley,Miami (FL),59,86
UTSA,Loyola (IL),64,76
Texas Southern,New Mexico,57,86
Trinity Baptist,Florida International,39,71
Trinity (FL),Bethune-Cookman,54,108
Troy,South Florida,82,77
University of the Southwest,Abilene Christian,63,94
Utah State,Weber State,73,70
Utah Valley,BYU,54,85
Vermont,Eastern Michigan,50,70
Wagner,St. John's (NY),57,66
Webber,Georgia Southern,49,116
Western Carolina,Cincinnati,72,97
William & Mary,NC State,85,68
Wofford,Missouri,74,83
NJIT,Kentucky,57,87
Bryant,Duke,75,113
Citadel,Butler,71,144
Alabama State,Virginia Tech,85,82
Averett,ETSU,59,107
Brigham Young-Hawaii,Long Beach State,57,91
Cal State Northridge,Wright State,72,67
Campbellsville,Western Kentucky,77,97
Central Arkansas,Tulsa,81,98
Central Baptist,Little Rock,57,76
UCF,Davidson,85,90
Cleveland State,Akron,53,65
Colorado State,Northern Iowa,84,78
Denver,Santa Clara,55,33
Eureka,Loyola (IL),51,84
Florida Gulf Coast,Ohio,75,85
Fordham,Texas-Arlington,72,77
Grambling,Mid-Atlantic Christian,85,26
Great Falls,Utah Valley,60,89
Greensboro,UNC Greensboro,69,86
Hampton,Winthrop,95,102
Harvard,Providence,64,76
Hawaii-Hilo,Montana State,85,90
Howard,UMass,79,85
Idaho,San Jose State,74,54
Jacksonville,Appalachian State,68,76
Loyola (LA),UTEP,49,96
Merchant Marine Academy,Stony Brook,32,103
Milwaukee,Lipscomb,71,65
Mississippi Valley State,Nebraska,51,97
New Orleans,Bowling Green State,61,79
Norfolk State,South Carolina,69,84
Northwest Christian,Oregon State,52,74
Piedmont,Tennessee Tech,72,110
Radford,Georgetown,82,80
Sam Houston State,SMU,50,85
San Diego Christian,Cal State Bakersfield,69,93
South Dakota,Northern Illinois,65,72
Southern Miss,Memphis,49,67
St. Francis (NY),Boston College,49,75
Summit,Liberty,52,90
Texas Southern,Creighton,70,93
Towson,La Salle,76,78
VMI,Penn State,50,62
West Virginia Tech,Toledo,65,96
Western Michigan,DePaul,63,69
William Jessup,UC-Riverside,68,100
Youngstown State,Kent State,70,79
Fairfield,UNC,65,92
Siena,Wisconsin,65,92
Vermont,Purdue,79,107
Army,Binghamton,75,60
Cal Poly,UCLA,83,88
Cal State Northridge,South Dakota,72,76
Central Connecticut,Penn,61,77
Charleston Southern,Stanford,59,93
Coastal Carolina,Hawaii,63,74
Coppin State,Iowa,68,103
Denver,Lipscomb,82,69
Florida A&M,Southern Illinois,51,81
Fort Valley State,Jacksonville State,68,81
George Fox,Eastern Washington,64,126
Hannibal-LaGrange,Western Illinois,57,94
Hartford,Saint Louis,68,85
Howard,Rutgers,70,82
Iona,Valparaiso,58,83
Louisiana-Monroe,Minnesota,56,67
Loyola Marymount,UC-Irvine,53,77
Maryland-Eastern Shore,Missouri,55,73
Milwaukee,Santa Clara,71,65
Montana State,Nevada,62,83
Mount St. Mary's,Ohio State,54,76
New Mexico,New Mexico State,83,74
Niagara,St. Joseph's,62,73
Nicholls State,Florida State,62,109
UNC Asheville,Western Carolina,81,90
North Carolina Wesleyan,High Point,69,93
North Dakota State,Illinois,74,80
Portland,UC-Davis,66,79
Reinhardt,Troy,82,97
Robert Morris,Cincinnati,44,106
Sacramento State,Seattle,77,65
Saint Mary's (MN),Omaha,58,104
St. Peter's,Lafayette,86,87
South Alabama,NC State,70,88
Southeast Missouri State,Evansville,65,80
Stetson,Richmond,85,108
UTSA,Clemson,45,78
Wagner,Seton Hall,59,69
Wake Forest,Bucknell,90,82
William Jewell,UMKC,59,73
Wright State,Northern Illinois,59,65
Virginia,George Washington,68,73
Chicago State,Iowa State,64,106
Bradley,Arizona,60,90
Austin Peay,Indiana,76,102
UCSB,California,67,85
San Diego State,Utah,76,81
Gardner-Webb,Vanderbilt,62,98
Baylor,Oregon,67,74
Kennesaw State,LSU,69,91
Elon,Michigan,68,88
Alabama State,Alabama-Birmingham,70,72
Albany (NY),Boston University,64,69
Allen,North Carolina Central,54,78
Arkansas-Pine Bluff,Oklahoma State,72,86
Auburn Montgomery,Samford,79,94
Belmont,Arizona State,74,83
Bethune-Cookman,UT-Martin,86,79
BYU,Long Beach State,65,66
Buffalo,Old Dominion,58,77
Campbell,Savannah State,57,59
Central State (OH),Detroit,65,88
Charlotte,East Carolina,74,88
College of Charleston,Navy,72,58
Columbia,Kansas State,71,81
Cornell,Colgate,101,98
Crowley's Ridge,Houston Baptist,62,102
Dickinson State (ND),Idaho State,85,110
Drake,Tulane,74,79
Eastern Illinois,Ball State,56,73
Eastern Kentucky,UNC Wilmington,59,78
Fairleigh Dickinson-Florham,Fairleigh Dickinson,70,111
Florida Memorial,Florida International,51,67
George Mason,Mercer,60,69
Georgia Southern,Ole Miss,72,82
Hiram,Akron,30,100
Hiwassee,Chattanooga,55,94
Holy Cross,Brown,55,71
IUPUI,Marquette,71,75
James Madison,West Virginia,73,86
La Roche,Longwood,65,89
Lamar,Fresno State,72,80
Lehigh,Canisius,89,98
LIU-Brooklyn,Loyola (MD),71,68
Louisiana,Miami (FL),77,93
Louisiana State-Alexandria,Northwestern State,99,97
Lyon,Arkansas State,37,81
Manchester,Purdue-Fort Wayne,53,85
Manhattan,Saint Mary's,63,89
UMBC,St. John's (NY),53,75
Molloy,Hofstra,64,96
Monmouth,USC,90,101
Montana,San Jose State,61,64
Morehead State,Illinois State,66,67
Morgan State,Towson,61,69
Nevada,Hawaii,75,76
New Mexico Highlands,UNLV,45,107
New Orleans,Duquesne,75,95
NJIT,South Florida,60,57
North Carolina A&T,Florida,54,104
Northern Arizona,Boise State,81,101
Oakwood,Jacksonville State,60,96
Oral Roberts,South Carolina,66,84
Pacific Lutheran,Portland State,60,105
Radford,VCU,74,92
Rice,San Francisco,54,80
Sacred Heart,Yale,77,99
San Diego Christian,Pepperdine,49,91
Schreiner,Incarnate Word,49,73
USC Upstate,Presbyterian,73,74
Southeastern Louisiana,Texas A&M,58,100
Southern,Mississippi State,76,72
Tennessee,Georgia Tech,67,69
Tennessee State,Ohio,67,75
Tennessee Tech,Air Force,70,80
Texas College,North Texas,61,110
Texas-Rio Grande Valley,North Florida,84,106
Texas-Tyler,Texas State,49,84
Texas Wesleyan,Florida Gulf Coast,62,85
Voorhees,South Carolina State,69,113
Weber State,South Dakota State,68,85
Wyoming,Indiana State,55,70
Kentucky,Duke,74,63
Georgetown,Maryland,71,75
Kansas,Michigan State,73,79
Oklahoma,Memphis,84,78
Wichita State,Tulsa,67,77
Nebraska,Villanova,63,87
Milwaukee,Notre Dame,78,86
New Hampshire,UConn,66,85
Adams State,Utah State,68,83
Alabama,Dayton,48,80
Alma,Central Michigan,64,79
Black Hills State,Grand Canyon,72,88
Cal State Fullerton,Pacific,77,76
Chowan,UNC Greensboro,60,81
Colorado,Auburn,91,84
Colorado Christian,Northern Colorado,70,85
Dartmouth,Marist,63,73
DePaul,Penn State,62,68
Furman,Appalachian State,79,70
Grambling,Ohio State,55,82
Green Bay,ETSU,90,103
Hampton,American,61,48
Hartford,Louisville,52,87
Howard Payne,Abilene Christian,56,70
Idaho,Cal State Bakersfield,45,68
UIC,Western Illinois,57,84
Iona,Oregon State,73,93
Jackson State,Southern Miss,78,60
Jacksonville,Florida State,79,98
Kenyon,Miami (OH),47,68
Louisiana College,McNeese State,73,70
Malone,Cleveland State,46,62
Marian,Evansville,59,84
UMass,Harvard,69,63
Middle Tennessee,Murray State,65,76
Missouri,Xavier,66,78
UMKC,Omaha,89,95
Mount Saint Vincent,St. Francis (NY),67,93
North Dakota,Wisconsin,64,78
Oakland City,Lipscomb,69,96
Penn,Delaware State,60,54
Queens (NY),Fordham,57,76
Rider,La Salle,60,73
Saint Joseph's (IN),Pitt,43,84
San Diego,Western Michigan,62,74
St. Bonaventure,Syracuse,66,79
St. Thomas (TX),Sam Houston State,92,114
Stephen F. Austin,Northern Iowa,60,70
Stetson,Citadel,93,94
Texas-Arlington,Louisiana Tech,68,80
UTSA,Creighton,78,103
Tiffin,Northern Kentucky,71,83
Truett-McConnell,Winthrop,78,106
Tusculum,VMI,76,88
Valparaiso,Rhode Island,58,55
Warner Southern,Florida Atlantic,75,72
Washington Adventist,Norfolk State,58,78
Wentworth,Northeastern,62,91
Westminster,Saint Francis (PA),72,103
William & Mary,Liberty,70,59
Wofford,UNC,58,78
Northern Arizona,Gonzaga,52,91
Incarnate Word,Purdue,61,96
Akron,Arkansas,88,80
Arkansas State,Savannah State,75,76
Army,Fairleigh Dickinson,96,85
Belmont Abbey,Elon,57,84
Binghamton,Cornell,59,76
Brown,Niagara,66,75
Bucknell,Robert Morris,81,76
Buffalo,St. Joseph's,67,89
Cal State Monterey Bay,Cal Poly,62,71
UC-Irvine,UCF,61,60
Catawba,Radford,60,68
Centenary (LA),Little Rock,49,95
Cincinnati,Bowling Green State,83,50
Eastern Michigan,Oakland,81,91
Edward Waters,North Florida,69,98
Emerson,Bryant,69,82
Fairfield,Northwestern,72,79
Fisk,Tennessee State,50,72
Fresno Pacific,UC-Davis,46,76
Goldey-Beacom,Coppin State,73,80
Grace Bible,Coastal Carolina,67,104
High Point,Drexel,75,66
Illinois,Providence,59,60
Indiana-Kokomo,Valparaiso,40,78
Indiana-Northwest,Chicago State,64,105
Purdue-Fort Wayne,Austin Peay,80,77
IUPUI,NC State,56,79
Jacksonville State,Virginia Tech,62,71
Johnson & Wales (NC),Charleston Southern,65,97
Kennesaw State,Arizona State,53,91
Kent State,Southern Illinois,69,72
Loyola (IL),New Mexico,51,75
Loyola (MD),UMBC,76,57
Mars Hill,UNC Asheville,51,84
Mississippi College,Southeastern Louisiana,69,76
Morgan State,Old Dominion,48,79
Prairie View,Houston,69,110
Quinnipiac,Vermont,70,83
Richmond,Wake Forest,91,82
Roanoke,North Carolina A&T,94,87
Sacred Heart,UMass-Lowell,84,87
Saint Louis,SIU-Edwardsville,70,60
San Diego Christian,San Diego State,61,71
Seattle,Eastern Washington,70,76
Southern Utah,UNLV,64,84
Tennessee Tech,New Mexico State,63,76
Thomas University,Florida A&M,68,70
Toccoa Falls,Presbyterian,75,116
Toledo,Youngstown State,100,78
Utah Valley,Denver,62,75
Valley City State,North Dakota State,49,69
Vanguard,Cal State Northridge,52,72
Western Kentucky,Belmont,85,90
Virginia,Bradley,82,57
Boise State,Arizona,76,88
Creighton,Indiana,65,86
Utah,Texas Tech,73,63
Stony Brook,Vanderbilt,72,79
Butler,Missouri State,93,59
South Alabama,LSU,66,78
Alabama-Birmingham,Troy,79,63
Alabama State,Mercer,49,70
Alcorn State,Grand Canyon,46,79
Antelope Valley,Weber State,47,90
Boston University,NJIT,76,90
Central Arkansas,UMass,62,89
Central Connecticut,Boston College,57,82
Colgate,Albany (NY),67,88
Delaware State,Nebraska,60,75
Emmanuel,Georgia State,58,77
Furman,Charlotte,68,77
George Washington,South Florida,73,67
Grambling,Memphis,65,83
Green Bay,Georgia Tech,77,107
Hartford,St. Peter's,67,66
Houston Baptist,TCU,63,90
Iowa,Marquette,89,61
Long Beach State,Seton Hall,80,77
Louisiana-Monroe,Northwestern State,80,64
Loyola Marymount,Colorado State,75,83
