Year,Home,Away,Home_Score,Away_Score,Rank_Home,Team_Home,Conf_Home,Wins_Home,Losses_Home,AdjEM_Home,AdjO_Home,AdjO Rank_Home,AdjD_Home,AdjD Rank_Home,AdjT_Home,AdjT Rank_Home,Luck_Home,Luck Rank_Home,OppAdjEM_Home,OppAdjEM Rank_Home,OppO_Home,OppO Rank_Home,OppD_Home,OppD Rank_Home,NCSOS AdjEM_Home,NCSOS AdjEM Rank_Home,Rank_Away,Team_Away,Conf_Away,Wins_Away,Losses_Away,AdjEM_Away,AdjO_Away,AdjO Rank_Away,AdjD_Away,AdjD Rank_Away,AdjT_Away,AdjT Rank_Away,Luck_Away,Luck Rank_Away,OppAdjEM_Away,OppAdjEM Rank_Away,OppO_Away,OppO Rank_Away,OppD_Away,OppD Rank_Away,NCSOS AdjEM_Away,NCSOS AdjEM Rank_Away
2018,Syracuse,Arizona State,60,56,56,Syracuse,ACC,20,13,13.49,107.7,127,94.2,11,63.3,342,0.006999999999999999,157,8.61,43,110.8,27,102.2,61,-0.22,172,47,Arizona State,P12,20,11,14.61,117.6,17,103.0,125,71.5,36,-0.07200000000000001,331,5.68,71,108.0,75,102.3,64,1.57,123
2018,Syracuse,TCU,57,52,56,Syracuse,ACC,20,13,13.49,107.7,127,94.2,11,63.3,342,0.006999999999999999,157,8.61,43,110.8,27,102.2,61,-0.22,172,22,TCU,B12,21,11,18.97,120.7,8,101.7,106,68.6,143,-0.057999999999999996,310,9.86,26,111.4,16,101.6,47,-0.42,177
2018,Syracuse,Michigan State,55,53,56,Syracuse,ACC,20,13,13.49,107.7,127,94.2,11,63.3,342,0.006999999999999999,157,8.61,43,110.8,27,102.2,61,-0.22,172,6,Michigan State,B10,29,4,26.31,120.0,10,93.7,9,67.1,222,0.048,64,6.44,64,109.0,62,102.6,67,-4.77,302
2018,Bucknell,Michigan State,78,82,101,Bucknell,Pat,25,9,6.69,109.1,100,102.4,115,71.4,39,0.02,125,-4.99,283,102.8,276,107.8,275,6.01,31,6,Michigan State,B10,29,4,26.31,120.0,10,93.7,9,67.1,222,0.048,64,6.44,64,109.0,62,102.6,67,-4.77,302
2018,Syracuse,Duke,65,69,56,Syracuse,ACC,20,13,13.49,107.7,127,94.2,11,63.3,342,0.006999999999999999,157,8.61,43,110.8,27,102.2,61,-0.22,172,3,Duke,ACC,26,7,29.04,122.6,3,93.6,7,69.9,78,-0.028999999999999998,261,10.8,12,110.9,26,100.1,10,4.63,53
2018,Iona,Duke,67,89,135,Iona,MAAC,20,13,2.78,110.2,80,107.4,212,70.6,56,-0.022000000000000002,239,-2.49,216,103.2,256,105.7,161,2.2,103,3,Duke,ACC,26,7,29.04,122.6,3,93.6,7,69.9,78,-0.028999999999999998,261,10.8,12,110.9,26,100.1,10,4.63,53
2018,Rhode Island,Duke,62,87,48,Rhode Island,A10,25,7,14.45,111.8,63,97.3,39,68.6,148,0.037000000000000005,87,2.75,97,107.4,88,104.7,117,4.1,66,3,Duke,ACC,26,7,29.04,122.6,3,93.6,7,69.9,78,-0.028999999999999998,261,10.8,12,110.9,26,100.1,10,4.63,53
2018,Texas Southern,North Carolina Central,64,46,249,Texas Southern,SWAC,15,19,-7.62,105.3,172,112.9,315,71.5,35,-0.009000000000000001,200,-6.72,312,101.0,328,107.7,272,17.51,1,308,North Carolina Central,MEAC,19,15,-12.73,98.2,300,110.9,288,64.9,320,0.017,128,-12.76,350,98.7,349,111.4,351,-1.54,204
2018,Texas Southern,Xavier,83,102,249,Texas Southern,SWAC,15,19,-7.62,105.3,172,112.9,315,71.5,35,-0.009000000000000001,200,-6.72,312,101.0,328,107.7,272,17.51,1,14,Xavier,BE,28,5,21.67,120.7,7,99.1,60,70.4,61,0.109,9,9.58,31,110.3,39,100.7,18,2.09,106
2018,Florida State,Xavier,75,70,35,Florida State,ACC,20,11,15.71,115.9,28,100.2,78,71.5,31,-0.032,266,7.85,54,109.0,60,101.2,36,-6.68,330,14,Xavier,BE,28,5,21.67,120.7,7,99.1,60,70.4,61,0.109,9,9.58,31,110.3,39,100.7,18,2.09,106
2018,Boise State,Washington,74,77,59,Boise State,MWC,23,8,13.15,110.6,78,97.5,42,68.3,164,0.011000000000000001,145,2.23,103,106.9,100,104.7,122,-1.55,205,99,Washington,P12,20,12,6.9,106.2,152,99.3,63,69.4,100,0.08,22,4.65,77,108.5,71,103.9,92,0.13,163
2018,BYU,Stanford,83,86,69,BYU,WCC,24,10,11.24,109.2,99,97.9,49,67.3,214,0.021,121,1.13,124,107.1,95,106.0,177,-1.88,219,85,Stanford,P12,18,15,8.63,108.5,116,99.9,71,70.3,66,0.013999999999999999,138,6.55,63,109.7,47,103.2,77,4.07,67
2018,UC-Davis,Utah,59,69,126,UC-Davis,BW,22,10,3.68,104.8,183,101.1,95,66.4,258,0.045,69,-0.96,166,104.1,207,105.0,132,4.69,51,65,Utah,P12,19,11,11.72,111.8,62,100.1,76,65.5,300,0.015,133,6.0,69,109.0,61,103.0,75,-0.86,185
2018,Penn State,Utah,82,66,29,Penn State,B10,21,13,17.07,113.0,57,96.0,21,67.5,206,-0.078,336,6.71,61,109.4,52,102.7,71,-6.13,324,65,Utah,P12,19,11,11.72,111.8,62,100.1,76,65.5,300,0.015,133,6.0,69,109.0,61,103.0,75,-0.86,185
2018,LSU,Utah,71,95,61,LSU,SEC,17,14,12.47,115.6,33,103.2,127,68.2,171,-0.03,264,8.73,42,110.4,35,101.7,49,-2.75,250,65,Utah,P12,19,11,11.72,111.8,62,100.1,76,65.5,300,0.015,133,6.0,69,109.0,61,103.0,75,-0.86,185
2018,Western Kentucky,Utah,64,69,58,Western Kentucky,CUSA,25,10,13.36,113.7,47,100.4,84,68.6,145,-0.005,191,2.32,102,106.5,111,104.1,99,3.93,72,65,Utah,P12,19,11,11.72,111.8,62,100.1,76,65.5,300,0.015,133,6.0,69,109.0,61,103.0,75,-0.86,185
2018,Central Arkansas,Seattle,92,90,203,Central Arkansas,Slnd,17,16,-3.72,106.1,155,109.8,266,72.6,17,-0.013999999999999999,215,-5.57,295,101.0,329,106.5,209,-1.67,210,187,Seattle,WAC,20,13,-2.19,104.5,190,106.6,194,67.2,218,0.055,58,-3.53,249,102.5,288,106.0,178,-4.81,306
2018,Colgate,San Francisco,68,72,210,Colgate,Pat,19,13,-4.26,105.3,174,109.5,262,66.2,268,0.044000000000000004,70,-6.77,315,101.9,305,108.7,320,-2.75,249,140,San Francisco,WCC,18,15,2.47,103.3,211,100.8,89,66.5,253,0.043,72,1.49,116,107.7,82,106.2,190,-1.1,188
2018,North Texas,San Francisco,62,72,185,North Texas,CUSA,15,17,-1.89,103.4,209,105.2,168,66.2,264,-0.04,280,-0.93,164,103.8,224,104.7,120,0.93,147,140,San Francisco,WCC,18,15,2.47,103.3,211,100.8,89,66.5,253,0.043,72,1.49,116,107.7,82,106.2,190,-1.1,188
