Year,Home,Away,Home_Score,Away_Score,Rank_Home,Team_Home,Conf_Home,Wins_Home,Losses_Home,AdjEM_Home,AdjO_Home,AdjO Rank_Home,AdjD_Home,AdjD Rank_Home,AdjT_Home,AdjT Rank_Home,Luck_Home,Luck Rank_Home,OppAdjEM_Home,OppAdjEM Rank_Home,OppO_Home,OppO Rank_Home,OppD_Home,OppD Rank_Home,NCSOS AdjEM_Home,NCSOS AdjEM Rank_Home,Rank_Away,Team_Away,Conf_Away,Wins_Away,Losses_Away,AdjEM_Away,AdjO_Away,AdjO Rank_Away,AdjD_Away,AdjD Rank_Away,AdjT_Away,AdjT Rank_Away,Luck_Away,Luck Rank_Away,OppAdjEM_Away,OppAdjEM Rank_Away,OppO_Away,OppO Rank_Away,OppD_Away,OppD Rank_Away,NCSOS AdjEM_Away,NCSOS AdjEM Rank_Away
2011,VCU,USC,59,46,53,VCU,CAA,28,12,13.49,112.0,47,98.5,78,65.6,156,0.021,128,4.79,70,105.8,74,101.0,75,2.26,89,57,USC,P10,19,15,13.29,107.9,91,94.6,33,61.7,318,-0.05,294,7.56,36,107.8,29,100.2,53,2.66,81
2011,VCU,Georgetown,74,56,53,VCU,CAA,28,12,13.49,112.0,47,98.5,78,65.6,156,0.021,128,4.79,70,105.8,74,101.0,75,2.26,89,31,Georgetown,BE,21,11,17.65,114.2,27,96.6,55,63.4,265,0.048,60,12.51,4,110.2,6,97.7,3,5.8,39
2011,VCU,Purdue,94,76,53,VCU,CAA,28,12,13.49,112.0,47,98.5,78,65.6,156,0.021,128,4.79,70,105.8,74,101.0,75,2.26,89,9,Purdue,B10,26,8,24.79,115.9,18,91.1,8,66.0,136,0.006999999999999999,161,10.16,14,108.8,18,98.7,12,1.21,120
2011,St. Peter's,Purdue,43,65,137,St. Peter's,MAAC,20,14,2.73,95.2,294,92.5,18,64.1,240,0.073,26,0.88,134,103.2,166,102.3,105,4.62,49,9,Purdue,B10,26,8,24.79,115.9,18,91.1,8,66.0,136,0.006999999999999999,161,10.16,14,108.8,18,98.7,12,1.21,120
2011,VCU,Florida State,72,71,53,VCU,CAA,28,12,13.49,112.0,47,98.5,78,65.6,156,0.021,128,4.79,70,105.8,74,101.0,75,2.26,89,35,Florida State,ACC,23,11,16.76,104.5,147,87.7,1,66.7,95,-0.017,225,7.01,44,107.1,41,100.1,46,-1.82,204
2011,Notre Dame,Florida State,57,71,11,Notre Dame,BE,27,7,23.25,120.9,3,97.7,66,63.1,277,0.07400000000000001,24,9.92,17,108.2,27,98.3,6,-3.83,257,35,Florida State,ACC,23,11,16.76,104.5,147,87.7,1,66.7,95,-0.017,225,7.01,44,107.1,41,100.1,46,-1.82,204
2011,Texas A&M,Florida State,50,57,49,Texas A&M,B12,24,9,14.62,110.0,65,95.4,42,60.9,328,0.05,57,5.43,67,105.9,72,100.5,62,-7.5,323,35,Florida State,ACC,23,11,16.76,104.5,147,87.7,1,66.7,95,-0.017,225,7.01,44,107.1,41,100.1,46,-1.82,204
2011,VCU,Kansas,71,61,53,VCU,CAA,28,12,13.49,112.0,47,98.5,78,65.6,156,0.021,128,4.79,70,105.8,74,101.0,75,2.26,89,3,Kansas,B12,35,3,28.38,118.9,6,90.6,6,68.4,42,0.06,38,7.75,32,108.2,28,100.5,61,-0.29,164
2011,Richmond,Kansas,57,77,39,Richmond,A10,29,8,16.01,112.6,41,96.5,54,62.1,309,0.052000000000000005,52,3.11,91,104.8,104,101.7,89,1.0,124,3,Kansas,B12,35,3,28.38,118.9,6,90.6,6,68.4,42,0.06,38,7.75,32,108.2,28,100.5,61,-0.29,164
2011,VCU,Butler,62,70,53,VCU,CAA,28,12,13.49,112.0,47,98.5,78,65.6,156,0.021,128,4.79,70,105.8,74,101.0,75,2.26,89,36,Butler,Horz,28,10,16.46,112.3,43,95.9,46,63.5,262,0.033,94,6.11,57,106.4,61,100.3,54,6.67,26
