Year,Home,Away,Home_Score,Away_Score,Rank_Home,Team_Home,Conf_Home,Wins_Home,Losses_Home,AdjEM_Home,AdjO_Home,AdjO Rank_Home,AdjD_Home,AdjD Rank_Home,AdjT_Home,AdjT Rank_Home,Luck_Home,Luck Rank_Home,OppAdjEM_Home,OppAdjEM Rank_Home,OppO_Home,OppO Rank_Home,OppD_Home,OppD Rank_Home,NCSOS AdjEM_Home,NCSOS AdjEM Rank_Home,Rank_Away,Team_Away,Conf_Away,Wins_Away,Losses_Away,AdjEM_Away,AdjO_Away,AdjO Rank_Away,AdjD_Away,AdjD Rank_Away,AdjT_Away,AdjT Rank_Away,Luck_Away,Luck Rank_Away,OppAdjEM_Away,OppAdjEM Rank_Away,OppO_Away,OppO Rank_Away,OppD_Away,OppD Rank_Away,NCSOS AdjEM_Away,NCSOS AdjEM Rank_Away
2006,BYU,Houston,67,77,91,BYU,MWC,20,9,7.87,110.1,55,102.2,150,70.7,18,0.07400000000000001,30,2.21,111,103.5,152,101.3,104,-2.84,228,75,Houston,CUSA,21,10,10.21,103.5,160,93.3,23,67.5,87,-0.013999999999999999,201,1.61,125,102.6,181,101.0,94,2.22,90
2006,Louisiana Tech,Clemson,53,69,96,Louisiana Tech,WAC,20,13,7.43,101.1,200,93.6,26,64.8,187,0.028999999999999998,94,3.38,95,104.0,126,100.6,88,2.94,78,59,Clemson,ACC,19,13,12.51,105.9,116,93.4,25,68.6,52,-0.049,281,6.35,57,106.2,52,99.8,63,-4.81,275
2006,Oklahoma State,Miami (FL),59,62,53,Oklahoma State,B12,17,16,12.76,107.9,80,95.2,45,64.7,193,-0.096,319,6.5,55,106.6,45,100.1,70,-1.32,192,55,Miami (FL),ACC,18,16,12.71,111.2,43,98.5,91,61.0,305,-0.039,260,9.46,12,108.0,17,98.5,21,-3.68,249
2006,Old Dominion,Colorado,79,61,67,Old Dominion,CAA,24,10,11.15,106.9,99,95.7,50,65.0,177,0.055999999999999994,49,2.16,113,104.2,114,102.1,133,-0.03,159,72,Colorado,B12,20,10,10.27,109.2,70,99.0,93,69.9,27,0.049,53,4.24,85,104.4,101,100.2,73,-5.98,293
2006,Old Dominion,Hofstra,61,51,67,Old Dominion,CAA,24,10,11.15,106.9,99,95.7,50,65.0,177,0.055999999999999994,49,2.16,113,104.2,114,102.1,133,-0.03,159,63,Hofstra,CAA,26,7,11.72,111.3,41,99.6,108,66.2,124,0.09699999999999999,12,2.1,115,102.7,179,100.6,89,-3.98,256
2006,Nebraska,Hofstra,62,73,111,Nebraska,B12,19,14,5.84,102.9,167,97.1,70,64.6,209,0.057,46,3.98,90,104.5,100,100.5,82,-9.69,324,63,Hofstra,CAA,26,7,11.72,111.3,41,99.6,108,66.2,124,0.09699999999999999,12,2.1,115,102.7,179,100.6,89,-3.98,256
2006,Vanderbilt,Notre Dame,69,79,49,Vanderbilt,SEC,17,13,13.58,114.7,17,101.2,131,61.9,291,-0.03,239,8.56,23,108.1,15,99.5,53,-2.76,226,29,Notre Dame,BE,16,14,15.97,117.3,7,101.4,136,64.2,222,-0.145,333,7.75,36,108.3,9,100.5,84,-4.54,269
2006,Wake Forest,Minnesota,58,73,80,Wake Forest,ACC,17,17,9.46,110.4,51,100.9,126,66.9,106,-0.033,249,8.32,26,107.4,30,99.1,38,-4.51,267,82,Minnesota,B10,16,15,9.34,104.4,142,95.1,43,64.2,224,-0.016,206,7.0,45,106.1,56,99.1,35,-5.16,279
2006,Western Kentucky,South Carolina,55,74,92,Western Kentucky,SB,23,8,7.78,111.3,42,103.5,175,68.5,54,0.08,21,-0.72,176,102.2,199,103.0,156,1.81,104,19,South Carolina,SEC,23,15,18.54,114.9,14,96.4,55,59.2,324,-0.057,288,10.3,8,108.4,6,98.1,11,0.22,149
2006,Southern,Duke,54,70,197,Southern,SWAC,19,13,-3.4,96.2,274,99.6,106,64.8,185,0.081,19,-7.68,301,96.6,323,104.3,196,13.07,5,2,Duke,ACC,32,4,27.54,119.4,1,91.8,16,69.8,29,0.047,56,10.51,5,108.1,16,97.6,4,6.81,37
