Year,Home,Away,Home_Score,Away_Score,Rank_Home,Team_Home,Conf_Home,Wins_Home,Losses_Home,AdjEM_Home,AdjO_Home,AdjO Rank_Home,AdjD_Home,AdjD Rank_Home,AdjT_Home,AdjT Rank_Home,Luck_Home,Luck Rank_Home,OppAdjEM_Home,OppAdjEM Rank_Home,OppO_Home,OppO Rank_Home,OppD_Home,OppD Rank_Home,NCSOS AdjEM_Home,NCSOS AdjEM Rank_Home,Rank_Away,Team_Away,Conf_Away,Wins_Away,Losses_Away,AdjEM_Away,AdjO_Away,AdjO Rank_Away,AdjD_Away,AdjD Rank_Away,AdjT_Away,AdjT Rank_Away,Luck_Away,Luck Rank_Away,OppAdjEM_Away,OppAdjEM Rank_Away,OppO_Away,OppO Rank_Away,OppD_Away,OppD Rank_Away,NCSOS AdjEM_Away,NCSOS AdjEM Rank_Away
2010,Portland,Northern Colorado,73,81,79,Portland,WCC,21,11,10.28,110.6,54,100.4,122,63.1,283,0.02,114,2.15,128,104.9,95,102.8,167,2.98,84,125,Northern Colorado,BSky,25,8,4.82,105.5,138,100.7,127,66.8,127,0.025,102,-4.94,255,101.9,193,106.8,331,-7.64,323
2010,Quinnipiac,Virginia Tech,61,81,187,Quinnipiac,NEC,23,10,-1.01,103.5,160,104.5,212,67.7,81,-0.023,240,-11.77,338,95.0,338,106.8,329,-5.63,298,47,Virginia Tech,ACC,25,9,15.86,108.3,84,92.4,24,67.8,80,0.034,86,5.72,69,105.8,70,100.1,78,-8.51,336
2010,UConn,Virginia Tech,63,65,51,UConn,BE,18,16,15.19,107.7,96,92.5,25,67.5,94,-0.078,329,10.27,10,108.5,9,98.2,20,2.59,92,47,Virginia Tech,ACC,25,9,15.86,108.3,84,92.4,24,67.8,80,0.034,86,5.72,69,105.8,70,100.1,78,-8.51,336
2010,Rhode Island,Virginia Tech,79,71,60,Rhode Island,A10,26,10,13.54,112.6,36,99.1,101,67.6,86,0.033,87,4.83,81,105.0,89,100.2,81,2.98,82,47,Virginia Tech,ACC,25,9,15.86,108.3,84,92.4,24,67.8,80,0.034,86,5.72,69,105.8,70,100.1,78,-8.51,336
2010,St. John's (NY),Memphis,71,73,67,St. John's (NY),BE,17,16,11.97,106.5,115,94.5,46,64.2,249,-0.032,257,9.38,19,108.5,8,99.1,48,-1.66,207,49,Memphis,CUSA,24,10,15.24,115.3,19,100.1,118,65.2,211,-0.038,273,1.87,134,103.8,139,102.0,135,-4.79,283
2010,Troy,Ole Miss,65,84,180,Troy,SB,20,13,-0.69,105.1,144,105.8,236,66.0,175,0.08199999999999999,18,-1.33,187,103.2,161,104.5,240,8.99,12,48,Ole Miss,SEC,24,11,15.77,112.9,32,97.2,70,68.7,55,-0.034,261,5.66,71,105.6,75,100.0,71,-2.73,232
2010,Memphis,Ole Miss,81,90,49,Memphis,CUSA,24,10,15.24,115.3,19,100.1,118,65.2,211,-0.038,273,1.87,134,103.8,139,102.0,135,-4.79,283,48,Ole Miss,SEC,24,11,15.77,112.9,32,97.2,70,68.7,55,-0.034,261,5.66,71,105.6,75,100.0,71,-2.73,232
2010,Dayton,Ole Miss,68,63,26,Dayton,A10,25,12,18.92,108.1,86,89.1,9,65.5,195,-0.09699999999999999,340,6.43,64,105.8,71,99.3,53,3.5,74,48,Ole Miss,SEC,24,11,15.77,112.9,32,97.2,70,68.7,55,-0.034,261,5.66,71,105.6,75,100.0,71,-2.73,232
2010,Texas Tech,Ole Miss,87,90,72,Texas Tech,B12,19,16,11.14,108.8,78,97.6,80,70.7,19,0.026000000000000002,101,10.08,11,108.8,5,98.8,38,-1.93,214,48,Ole Miss,SEC,24,11,15.77,112.9,32,97.2,70,68.7,55,-0.034,261,5.66,71,105.6,75,100.0,71,-2.73,232
2010,Tulsa,Kent State,74,75,83,Tulsa,CUSA,23,12,9.87,107.6,97,97.7,82,66.0,172,0.023,105,2.99,110,104.8,105,101.8,122,-1.56,199,86,Kent State,MAC,24,10,8.84,106.6,111,97.8,84,66.8,128,0.071,31,2.1,129,103.4,150,101.3,107,3.99,67
2010,Weber State,Cincinnati,62,76,105,Weber State,BSky,20,11,6.96,109.2,72,102.2,163,67.7,85,-0.013000000000000001,203,-0.16,164,103.9,136,104.1,219,7.28,29,68,Cincinnati,BE,19,16,11.92,106.3,120,94.4,44,65.3,206,-0.013000000000000001,207,9.77,14,108.3,14,98.5,30,-1.16,185
2010,Dayton,Cincinnati,81,66,26,Dayton,A10,25,12,18.92,108.1,86,89.1,9,65.5,195,-0.09699999999999999,340,6.43,64,105.8,71,99.3,53,3.5,74,68,Cincinnati,BE,19,16,11.92,106.3,120,94.4,44,65.3,206,-0.013000000000000001,207,9.77,14,108.3,14,98.5,30,-1.16,185
2010,Kentucky,ETSU,100,71,4,Kentucky,SEC,35,3,26.54,114.9,22,88.3,6,68.3,66,0.06,43,7.06,55,106.5,50,99.5,57,-1.28,194,150,ETSU,ASun,20,15,2.47,100.9,199,98.4,93,66.8,125,-0.004,179,-1.26,186,102.1,187,103.3,185,8.97,13
2010,Kentucky,Cornell,62,45,4,Kentucky,SEC,35,3,26.54,114.9,22,88.3,6,68.3,66,0.06,43,7.06,55,106.5,50,99.5,57,-1.28,194,46,Cornell,Ivy,29,5,15.92,117.4,9,101.5,149,63.9,261,0.068,36,-0.66,173,101.2,218,101.9,130,4.12,65
2010,Temple,Cornell,65,78,21,Temple,A10,29,6,20.12,107.8,93,87.7,3,60.4,332,0.076,26,6.07,67,106.4,57,100.3,86,5.68,49,46,Cornell,Ivy,29,5,15.92,117.4,9,101.5,149,63.9,261,0.068,36,-0.66,173,101.2,218,101.9,130,4.12,65
2010,Wisconsin,Cornell,69,87,9,Wisconsin,B10,24,9,23.56,115.2,20,91.6,19,59.2,339,-0.013000000000000001,202,8.69,33,107.9,18,99.2,49,1.01,128,46,Cornell,Ivy,29,5,15.92,117.4,9,101.5,149,63.9,261,0.068,36,-0.66,173,101.2,218,101.9,130,4.12,65
2010,Lehigh,Kansas,74,90,186,Lehigh,Pat,22,11,-0.97,105.6,134,106.6,249,68.9,48,0.018000000000000002,116,-10.02,326,96.8,322,106.8,330,-8.95,340,2,Kansas,B12,33,3,31.85,120.4,2,88.5,8,67.2,105,0.038,83,9.53,16,108.2,16,98.7,32,1.13,125
2010,Northern Iowa,Kansas,69,67,27,Northern Iowa,MVC,30,5,18.87,109.6,67,90.8,13,58.9,340,0.034,85,4.08,92,105.7,73,101.6,115,-1.58,200,2,Kansas,B12,33,3,31.85,120.4,2,88.5,8,67.2,105,0.038,83,9.53,16,108.2,16,98.7,32,1.13,125
2010,North Texas,Kansas State,62,82,175,North Texas,SB,24,9,-0.47,103.4,164,103.8,199,67.4,99,0.113,8,-5.87,275,99.9,261,105.7,294,-2.96,245,6,Kansas State,B12,29,8,25.52,116.1,15,90.6,12,69.4,36,-0.008,192,11.99,2,109.5,2,97.5,10,2.37,96
2010,Xavier,Kansas State,96,101,18,Xavier,A10,26,9,20.87,115.5,18,94.6,47,68.9,47,0.01,139,8.04,46,106.2,64,98.2,19,7.27,30,6,Kansas State,B12,29,8,25.52,116.1,15,90.6,12,69.4,36,-0.008,192,11.99,2,109.5,2,97.5,10,2.37,96
2010,Villanova,Robert Morris,73,70,17,Villanova,BE,25,8,21.24,117.2,11,96.0,59,71.2,12,0.025,103,10.03,12,108.7,7,98.7,33,-0.91,171,185,Robert Morris,NEC,23,12,-0.97,99.9,216,100.8,132,66.1,170,0.07400000000000001,27,-7.18,293,98.1,305,105.3,272,3.47,75
2010,Villanova,Saint Mary's,68,75,17,Villanova,BE,25,8,21.24,117.2,11,96.0,59,71.2,12,0.025,103,10.03,12,108.7,7,98.7,33,-0.91,171,29,Saint Mary's,WCC,28,6,18.59,116.5,14,97.9,85,66.2,158,0.038,82,2.72,115,105.4,81,102.7,166,1.18,123
2010,New Mexico,Montana,62,57,43,New Mexico,MWC,30,5,16.18,113.6,26,97.4,74,67.4,98,0.096,13,4.09,90,105.0,92,100.9,96,1.85,109,95,Montana,BSky,22,10,8.08,106.5,116,98.4,92,62.0,312,-0.042,278,-2.21,205,103.4,153,105.6,289,-0.86,168
2010,Ohio,Georgetown,97,83,94,Ohio,MAC,22,15,8.25,107.3,103,99.0,100,68.8,50,-0.068,319,0.76,155,103.1,163,102.3,152,-0.9,170,11,Georgetown,BE,23,11,22.64,116.8,13,94.2,42,65.8,182,-0.035,266,11.55,3,109.0,4,97.4,6,3.35,79
2010,Sam Houston State,Baylor,59,68,100,Sam Houston State,Slnd,25,8,7.42,110.2,57,102.7,172,69.3,37,0.052000000000000005,54,-3.33,230,101.3,216,104.6,244,4.67,56,8,Baylor,B12,28,8,24.95,119.2,5,94.3,43,64.5,235,-0.021,234,10.59,8,108.3,13,97.7,14,-2.79,237
2010,Old Dominion,Baylor,68,76,37,Old Dominion,CAA,27,9,17.51,107.8,90,90.3,10,62.6,295,0.009000000000000001,141,3.17,108,105.0,90,101.9,127,6.16,44,8,Baylor,B12,28,8,24.95,119.2,5,94.3,43,64.5,235,-0.021,234,10.59,8,108.3,13,97.7,14,-2.79,237
2010,Saint Mary's,Baylor,49,72,29,Saint Mary's,WCC,28,6,18.59,116.5,14,97.9,85,66.2,158,0.038,82,2.72,115,105.4,81,102.7,166,1.18,123,8,Baylor,B12,28,8,24.95,119.2,5,94.3,43,64.5,235,-0.021,234,10.59,8,108.3,13,97.7,14,-2.79,237
2010,Duke,Baylor,78,71,1,Duke,ACC,35,5,33.29,121.0,1,87.7,5,64.7,229,0.009000000000000001,145,11.53,4,107.9,19,96.4,1,2.5,94,8,Baylor,B12,28,8,24.95,119.2,5,94.3,43,64.5,235,-0.021,234,10.59,8,108.3,13,97.7,14,-2.79,237
2010,Vanderbilt,Murray State,65,66,36,Vanderbilt,SEC,24,9,17.54,113.7,25,96.2,64,68.7,56,0.019,115,8.14,45,107.1,37,99.0,47,1.5,117,53,Murray State,OVC,31,5,15.06,109.0,74,94.0,36,65.6,192,-0.011000000000000001,200,-5.78,272,100.2,252,106.0,311,-5.24,288
2010,UTEP,Butler,59,77,42,UTEP,CUSA,26,7,16.53,107.7,95,91.2,16,67.9,76,0.024,104,2.62,120,104.1,129,101.5,112,-4.26,270,12,Butler,Horz,33,5,22.45,111.0,49,88.5,7,63.0,286,0.032,91,6.85,60,106.7,45,99.9,68,11.11,4
2010,Duke,Butler,61,59,1,Duke,ACC,35,5,33.29,121.0,1,87.7,5,64.7,229,0.009000000000000001,145,11.53,4,107.9,19,96.4,1,2.5,94,12,Butler,Horz,33,5,22.45,111.0,49,88.5,7,63.0,286,0.032,91,6.85,60,106.7,45,99.9,68,11.11,4
2010,Kansas State,Butler,56,63,6,Kansas State,B12,29,8,25.52,116.1,15,90.6,12,69.4,36,-0.008,192,11.99,2,109.5,2,97.5,10,2.37,96,12,Butler,Horz,33,5,22.45,111.0,49,88.5,7,63.0,286,0.032,91,6.85,60,106.7,45,99.9,68,11.11,4
2010,Murray State,Butler,52,54,53,Murray State,OVC,31,5,15.06,109.0,74,94.0,36,65.6,192,-0.011000000000000001,200,-5.78,272,100.2,252,106.0,311,-5.24,288,12,Butler,Horz,33,5,22.45,111.0,49,88.5,7,63.0,286,0.032,91,6.85,60,106.7,45,99.9,68,11.11,4
2010,Syracuse,Butler,59,63,3,Syracuse,BE,30,5,27.62,118.5,6,90.9,14,68.7,59,-0.008,191,8.62,36,108.5,10,99.8,67,-2.96,246,12,Butler,Horz,33,5,22.45,111.0,49,88.5,7,63.0,286,0.032,91,6.85,60,106.7,45,99.9,68,11.11,4
2010,Michigan State,Butler,50,52,20,Michigan State,B10,28,9,20.13,112.8,33,92.7,27,65.3,203,0.027000000000000003,96,9.03,24,107.5,26,98.5,29,-0.94,173,12,Butler,Horz,33,5,22.45,111.0,49,88.5,7,63.0,286,0.032,91,6.85,60,106.7,45,99.9,68,11.11,4
2010,Old Dominion,Notre Dame,51,50,37,Old Dominion,CAA,27,9,17.51,107.8,90,90.3,10,62.6,295,0.009000000000000001,141,3.17,108,105.0,90,101.9,127,6.16,44,35,Notre Dame,BE,23,12,17.71,119.4,4,101.7,153,62.4,302,-0.068,320,6.28,66,106.5,51,100.2,84,-9.08,341
2010,Tennessee,San Diego State,62,59,30,Tennessee,SEC,28,9,18.5,108.9,75,90.4,11,67.5,91,0.08199999999999999,20,8.67,34,107.4,32,98.7,35,-0.48,160,40,San Diego State,MWC,25,9,16.58,111.4,48,94.9,51,63.1,284,0.006,155,5.4,76,105.3,84,99.9,69,2.24,99
2010,Tennessee,Ohio,83,68,30,Tennessee,SEC,28,9,18.5,108.9,75,90.4,11,67.5,91,0.08199999999999999,20,8.67,34,107.4,32,98.7,35,-0.48,160,94,Ohio,MAC,22,15,8.25,107.3,103,99.0,100,68.8,50,-0.068,319,0.76,155,103.1,163,102.3,152,-0.9,170
2010,Tennessee,Ohio State,76,73,30,Tennessee,SEC,28,9,18.5,108.9,75,90.4,11,67.5,91,0.08199999999999999,20,8.67,34,107.4,32,98.7,35,-0.48,160,7,Ohio State,B10,29,8,24.99,117.5,8,92.5,26,64.6,232,0.006999999999999999,152,7.88,49,106.3,60,98.4,26,-2.92,243
2010,Tennessee,Michigan State,69,70,30,Tennessee,SEC,28,9,18.5,108.9,75,90.4,11,67.5,91,0.08199999999999999,20,8.67,34,107.4,32,98.7,35,-0.48,160,20,Michigan State,B10,28,9,20.13,112.8,33,92.7,27,65.3,203,0.027000000000000003,96,9.03,24,107.5,26,98.5,29,-0.94,173
2010,Northern Iowa,Michigan State,52,59,27,Northern Iowa,MVC,30,5,18.87,109.6,67,90.8,13,58.9,340,0.034,85,4.08,92,105.7,73,101.6,115,-1.58,200,20,Michigan State,B10,28,9,20.13,112.8,33,92.7,27,65.3,203,0.027000000000000003,96,9.03,24,107.5,26,98.5,29,-0.94,173
2010,New Mexico State,Michigan State,67,70,112,New Mexico State,WAC,22,12,6.03,111.6,45,105.5,231,70.3,24,0.122,5,4.03,94,105.8,72,101.7,120,2.09,102,20,Michigan State,B10,28,9,20.13,112.8,33,92.7,27,65.3,203,0.027000000000000003,96,9.03,24,107.5,26,98.5,29,-0.94,173
