Year,Home,Away,Home_Score,Away_Score,Team_Home,G_Home,SRS_Home,SOS_Home,Tm._Home,Opp._Home,MP_Home,FG_opp_Home,FGA_opp_Home,FG%_opp_Home,3P_opp_Home,3PA_opp_Home,3P%_opp_Home,FT_opp_Home,FTA_opp_Home,FT%_opp_Home,ORB_opp_Home,TRB_opp_Home,AST_opp_Home,STL_opp_Home,BLK_opp_Home,TOV_opp_Home,PF_opp_Home,FG_Home,FGA_Home,FG%_Home,3P_Home,3PA_Home,3P%_Home,FT_Home,FTA_Home,FT%_Home,ORB_Home,TRB_Home,AST_Home,STL_Home,BLK_Home,TOV_Home,PF_Home,Team_Away,G_Away,SRS_Away,SOS_Away,Tm._Away,Opp._Away,MP_Away,FG_opp_Away,FGA_opp_Away,FG%_opp_Away,3P_opp_Away,3PA_opp_Away,3P%_opp_Away,FT_opp_Away,FTA_opp_Away,FT%_opp_Away,ORB_opp_Away,TRB_opp_Away,AST_opp_Away,STL_opp_Away,BLK_opp_Away,TOV_opp_Away,PF_opp_Away,FG_Away,FGA_Away,FG%_Away,3P_Away,3PA_Away,3P%_Away,FT_Away,FTA_Away,FT%_Away,ORB_Away,TRB_Away,AST_Away,STL_Away,BLK_Away,TOV_Away,PF_Away
2012,Iowa,Oregon,97,108,Iowa,35,7.04,6.53,2555,2537,1400,910,1993,0.457,244,707,0.345,473,648,0.73,381,1193,515,193,111,473,650,902,1984,0.455,201,539,0.373,550,763,0.721,399,1106,521,262,119,433,586,Oregon,34,10.19,4.72,2527,2341,1360,860,1962,0.43799999999999994,203,594,0.342,418,617,0.677,376,1105,429,203,109,428,655,883,1884,0.469,246,658,0.374,515,726,0.7090000000000001,360,1066,485,204,121,438,583
2012,USC Upstate,Old Dominion,56,65,USC Upstate,34,-0.16,-1.6,2426,2321,1365,807,1788,0.451,197,578,0.341,510,744,0.685,352,1112,413,240,110,568,630,888,2024,0.439,207,615,0.337,443,695,0.637,505,1158,440,286,144,512,663,Old Dominion,36,4.08,0.36,2368,2234,1470,756,1882,0.402,219,689,0.318,503,744,0.6759999999999999,376,1227,428,260,143,544,674,844,2082,0.405,207,647,0.32,473,766,0.617,562,1333,456,316,165,495,661
2012,Mercer,Old Dominion,79,73,Mercer,38,3.75,-1.44,2589,2388,1530,805,2085,0.386,232,753,0.308,546,810,0.674,474,1247,383,297,119,514,707,899,1968,0.457,264,730,0.36200000000000004,527,734,0.718,389,1182,519,259,181,566,722,Old Dominion,36,4.08,0.36,2368,2234,1470,756,1882,0.402,219,689,0.318,503,744,0.6759999999999999,376,1227,428,260,143,544,674,844,2082,0.405,207,647,0.32,473,766,0.617,562,1333,456,316,165,495,661
2012,Weber State,Loyola Marymount,78,84,Weber State,32,1.51,-3.65,2473,2210,1295,780,1824,0.428,229,640,0.358,421,605,0.696,326,1079,394,146,87,395,573,825,1797,0.45899999999999996,285,728,0.391,538,661,0.8140000000000001,277,1021,424,178,78,340,578,Loyola Marymount,34,2.2,1.17,2402,2301,1380,810,1953,0.415,209,692,0.302,472,654,0.722,414,1220,432,208,110,491,617,825,1936,0.426,221,639,0.34600000000000003,531,720,0.738,395,1104,404,253,102,462,596
2012,Butler,Penn,63,53,Butler,37,2.86,1.14,2352,2245,1495,754,1835,0.41100000000000003,189,617,0.306,548,811,0.6759999999999999,332,1176,393,216,110,521,725,823,2014,0.409,183,651,0.281,523,806,0.649,468,1201,454,239,123,485,715,Penn,33,1.12,-0.1,2146,2106,1335,707,1657,0.42700000000000005,192,564,0.34,500,700,0.7140000000000001,341,1099,388,182,114,464,530,767,1731,0.44299999999999995,238,637,0.374,374,513,0.7290000000000001,281,888,447,241,83,414,647
2012,Illinois State,Stanford,88,92,Illinois State,35,6.33,2.64,2439,2310,1425,817,1971,0.415,254,709,0.358,422,610,0.6920000000000001,342,1147,426,198,87,392,659,804,1832,0.439,297,783,0.379,534,708,0.754,309,1117,459,177,118,422,588,Stanford,37,12.64,3.99,2657,2337,1505,821,1987,0.413,207,618,0.335,488,751,0.65,362,1202,396,245,143,560,708,938,2107,0.445,252,665,0.379,529,794,0.6659999999999999,451,1227,475,246,126,512,716
2012,Nevada,Stanford,56,84,Nevada,35,4.54,-0.37,2461,2277,1420,827,2004,0.413,230,685,0.336,393,560,0.7020000000000001,377,1157,484,232,105,443,701,842,1871,0.45,236,642,0.368,541,832,0.65,418,1173,450,197,167,481,568,Stanford,37,12.64,3.99,2657,2337,1505,821,1987,0.413,207,618,0.335,488,751,0.65,362,1202,396,245,143,560,708,938,2107,0.445,252,665,0.379,529,794,0.6659999999999999,451,1227,475,246,126,512,716
2012,Middle Tennessee,Tennessee,71,64,Middle Tennessee,34,8.69,-0.13,2459,2128,1370,722,1820,0.397,180,566,0.318,504,754,0.6679999999999999,410,1108,329,223,113,510,688,882,1782,0.495,163,445,0.366,532,838,0.635,376,1101,525,238,150,473,670,Tennessee,34,9.49,6.58,2338,2216,1385,785,1905,0.41200000000000003,181,532,0.34,465,673,0.691,372,1145,372,244,131,407,632,809,1848,0.43799999999999994,229,649,0.353,491,699,0.7020000000000001,382,1159,436,193,149,466,628
2012,Minnesota,Miami (FL),78,60,Minnesota,38,10.7,7.89,2569,2462,1555,842,2033,0.414,246,711,0.34600000000000003,532,746,0.713,425,1184,445,297,141,492,702,915,1979,0.462,203,571,0.35600000000000004,536,769,0.6970000000000001,435,1184,573,269,186,558,703,Miami (FL),33,10.75,6.17,2332,2181,1350,778,1847,0.42100000000000004,209,641,0.326,416,609,0.6829999999999999,381,1152,410,200,120,436,576,814,1890,0.431,250,714,0.35,454,630,0.721,372,1043,392,210,118,382,539
2012,Minnesota,Middle Tennessee,78,72,Minnesota,38,10.7,7.89,2569,2462,1555,842,2033,0.414,246,711,0.34600000000000003,532,746,0.713,425,1184,445,297,141,492,702,915,1979,0.462,203,571,0.35600000000000004,536,769,0.6970000000000001,435,1184,573,269,186,558,703,Middle Tennessee,34,8.69,-0.13,2459,2128,1370,722,1820,0.397,180,566,0.318,504,754,0.6679999999999999,410,1108,329,223,113,510,688,882,1782,0.495,163,445,0.366,532,838,0.635,376,1101,525,238,150,473,670
